rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.70788975761951,76.8342836953166,000338,潍柴动力,bottom_area,2022-10-13,9.35,2022-10-12,9.1,2.7472527472527473,4.725274725274723,31.475903614457827,False,-1.8888,0.9341,3,3,3,100.0,10.526989027165893,13.774104683195592,5.252747252747253,2.7472527472527473,历史3/3次成功; 当前距低点2.75%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
2,78.52206689711149,76.14516866831795,000715,中兴商业,bottom_area,2022-10-13,4.69,2022-10-12,4.58,2.401746724890837,5.458515283842795,28.881987577639755,False,-2.2917,3.2411,2,2,2,100.0,19.253501081016484,24.33862433862435,5.598253275109164,2.401746724890837,历史2/2次成功; 当前距低点2.40%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
3,78.25750952997089,75.2689410878717,688025,杰普特,confirmed_rebound,2022-10-13,47.49,2022-10-12,46.57,1.975520721494528,8.653639682198841,28.900763358778626,True,-5.5113,3.0759,2,2,2,100.0,20.554453402576446,23.866292660121555,6.024479278505472,1.975520721494528,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-5.51%; 状态confirmed_rebound; 底部已确认
4,78.23524415546542,76.33941304194633,601155,新城控股,bottom_area,2022-10-13,16.59,2022-10-12,16.15,2.7244582043343737,4.024767801857599,29.321663019693666,False,-1.25,0.8005,2,2,2,100.0,24.2536438055306,24.642857142857142,5.275541795665626,2.7244582043343737,历史2/2次成功; 当前距低点2.72%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
5,77.87208591075563,76.16767257625214,601919,中远海控,bottom_area,2022-10-13,11.19,2022-10-10,10.88,2.8492647058823413,5.055147058823519,28.13738441215323,False,-1.2357,0.6922,2,2,2,100.0,24.8601941164725,40.45881126173098,5.150735294117659,2.8492647058823413,历史2/2次成功; 当前距低点2.85%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
6,77.74720290483812,76.92665195069735,002774,快意电梯,bottom_area,2022-10-13,6.0,2022-10-11,5.8,3.448275862068969,5.51724137931035,32.00468933177022,False,0.3344,1.9364,2,2,2,100.0,13.810327506530031,15.049226441631497,4.551724137931031,3.448275862068969,历史2/2次成功; 当前距低点3.45%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
7,77.65671530569792,79.12256492965788,000889,中嘉博创,bottom_area,2022-10-13,1.9,2022-10-12,1.81,4.972375690607727,7.182320441988945,28.74015748031496,True,0.0,1.8756,3,3,3,100.0,18.438610237868215,34.408602150537625,3.027624309392273,4.972375690607727,历史3/3次成功; 当前距低点4.97%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,77.1447150663544,77.99714285714285,300446,航天智造,bottom_area,2022-10-13,9.15,2022-10-10,8.75,4.571428571428576,5.942857142857138,32.69230769230769,False,0.1094,1.3936,1,1,1,100.0,51.92697768762679,51.92697768762679,3.4285714285714244,4.571428571428576,历史1/1次成功; 当前距低点4.57%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
9,76.63947533145935,74.80012792350432,000530,冰山冷热,bottom_area,2022-10-13,4.88,2022-10-11,4.75,2.7368421052631557,7.578947368421058,28.030303030303028,True,-3.7475,6.0227,2,2,2,100.0,17.151225395184554,25.382262996941883,5.263157894736844,2.7368421052631557,历史2/2次成功; 当前距低点2.74%; 最新日涨幅-3.75%; 状态bottom_area; 底部已确认
10,76.12698813897829,77.07667679761198,002805,丰元股份,confirmed_rebound,2022-10-13,45.06,2022-10-12,43.06,4.644681839294009,9.498374361356237,27.532817233254796,True,-3.1593,5.2356,4,4,4,100.0,29.658878447324323,50.09389671361502,3.355318160705991,4.644681839294009,历史4/4次成功; 当前距低点4.64%; 最新日涨幅-3.16%; 状态confirmed_rebound; 底部已确认
11,76.01271293105412,72.70623835681872,000560,我爱我家,bottom_area,2022-10-13,2.41,2022-10-12,2.37,1.6877637130801704,5.485232067510544,30.498533724340177,False,-2.4291,3.5679,1,1,1,100.0,8.679245283018867,8.679245283018867,6.31223628691983,1.6877637130801704,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
