rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.95125425438822,86.2379409581538,002265,建设工业,bottom_area,2023-09-20,12.31,2023-08-25,12.16,1.2335526315789502,7.1546052631578885,28.344136711844424,True,-1.4412,0.5326,4,4,4,100.0,16.669037409429027,32.75229357798165,6.7664473684210495,1.2335526315789502,历史4/4次成功; 当前距低点1.23%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
2,88.2603904362045,85.66856421829961,002339,积成电子,confirmed_rebound,2023-09-20,6.69,2023-08-25,6.53,2.450229709035224,9.494640122511488,27.201783723522855,True,-1.3274,0.8437,4,4,4,100.0,38.73703201559097,82.94930875576038,5.5497702909647755,2.450229709035224,历史4/4次成功; 当前距低点2.45%; 最新日涨幅-1.33%; 状态confirmed_rebound; 底部已确认
3,86.04511530059284,82.14330816285711,002386,天原股份,bottom_area,2023-09-20,5.76,2023-08-31,5.67,1.5873015873015848,5.996472663139327,31.604342581423396,False,-1.7065,0.3892,3,3,3,100.0,24.851375171530723,48.85290148448042,6.412698412698416,1.5873015873015848,历史3/3次成功; 当前距低点1.59%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
4,84.14509577460325,78.15065562816405,002534,西子洁能,bottom_area,2023-09-20,12.62,2023-09-20,12.6,0.15873015873015534,3.015873015873022,27.16763005780347,False,-2.2463,0.4043,3,3,3,100.0,25.712690269187092,33.11594202898551,7.8412698412698445,0.15873015873015534,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
5,83.78980350688134,78.35108208385923,603232,格尔软件,bottom_area,2023-09-20,11.79,2023-09-20,11.73,0.5115089514066388,3.4953111679454403,27.94840294840295,False,-2.803,3.3621,4,4,4,100.0,14.447970392829903,22.78481012658228,7.488491048593361,0.5115089514066388,历史4/4次成功; 当前距低点0.51%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
6,81.19730506890917,77.19234650544668,000028,国药一致,bottom_area,2023-09-20,31.07,2023-09-08,30.65,1.3703099510603647,5.481239804241435,30.577576443941112,False,-1.6461,0.8656,2,2,2,100.0,12.240070934754426,14.150943396226415,6.629690048939635,1.3703099510603647,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
7,80.99285830982612,76.22181893230602,603106,恒银科技,bottom_area,2023-09-20,7.17,2023-09-11,7.11,0.843881856540079,6.610407876230657,30.634146341463413,False,0.561,3.7726,1,1,1,100.0,34.60144927536232,34.60144927536232,7.156118143459922,0.843881856540079,历史1/1次成功; 当前距低点0.84%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
8,78.79842441488597,72.96150408785738,300561,汇金科技,bottom_area,2023-09-20,12.58,2023-09-20,12.58,0.0,2.5437201907790166,31.88955062263129,False,-1.1783,2.4331,2,2,2,100.0,24.79303273041607,27.62128325508607,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
9,78.27544553247373,76.21415370774606,688259,创耀科技,confirmed_rebound,2023-09-20,80.13,2023-09-19,78.09,2.612370341913167,18.837239083109225,29.125068070430203,True,-7.3642,11.2557,3,3,3,100.0,16.776118748968262,19.50136612021858,5.387629658086833,2.612370341913167,历史3/3次成功; 当前距低点2.61%; 最新日涨幅-7.36%; 状态confirmed_rebound; 底部已确认
10,78.03286364136713,72.43548951088023,603191,望变电气,bottom_area,2023-09-20,15.26,2023-09-20,15.24,0.13123359580052213,2.624671916010501,27.669672520170856,False,-2.1167,2.0121,2,2,2,100.0,11.315602738201239,13.281249999999995,7.868766404199478,0.13123359580052213,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
11,77.48094176706738,75.34428185675712,603306,华懋科技,bottom_area,2023-09-20,29.0,2023-09-19,28.28,2.545968882602542,5.162659123055153,27.225939269171377,False,0.2766,4.4587,1,1,1,100.0,10.909090909090896,10.909090909090896,5.454031117397458,2.545968882602542,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
