rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.33024490654903,81.72442213217825,603326,我乐家居,bottom_area,2023-11-03,10.03,2023-11-02,9.88,1.518218623481767,2.1255060728744843,30.909090909090907,False,1.5182,2.06,2,2,2,100.0,15.946024697401477,20.141843971631218,8.481781376518233,1.518218623481767,历史2/2次成功; 当前距低点1.52%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
2,85.78416824595467,80.72453785214154,300342,天银机电,bottom_area,2023-11-03,16.88,2023-11-03,16.58,1.809408926417375,4.342581423401704,29.745762711864423,False,-0.5889,15.886,3,3,3,100.0,19.9461838944793,26.68539325842696,8.190591073582626,1.809408926417375,历史3/3次成功; 当前距低点1.81%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
3,84.66989400494134,81.52808018324555,000928,中钢国际,bottom_area,2023-11-03,6.15,2023-10-23,5.97,3.0150753768844325,5.192629815745402,31.06235565819862,False,0.4902,1.59,3,3,3,100.0,16.57232280936585,18.798449612403097,6.984924623115568,3.0150753768844325,历史3/3次成功; 当前距低点3.02%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
4,84.32126083120504,81.33525423728815,002685,华东重机,bottom_area,2023-11-03,3.65,2023-11-02,3.54,3.107344632768358,3.6723163841807875,27.01030927835051,False,2.8169,4.1099,1,1,1,100.0,109.52380952380952,109.52380952380952,6.892655367231643,3.107344632768358,历史1/1次成功; 当前距低点3.11%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
5,83.42418924948045,82.63747029849628,300620,光库科技,bottom_area,2023-11-03,38.76,2023-10-26,37.09,4.502561337287664,7.1178215152331985,28.46673095467695,True,3.5256,3.4538,6,6,6,100.0,14.91026961028043,22.444343480236245,5.497438662712336,4.502561337287664,历史6/6次成功; 当前距低点4.50%; 最新日涨幅3.53%; 状态bottom_area; 底部已确认
6,82.37157695310832,79.5311777478287,601155,新城控股,bottom_area,2023-11-03,11.76,2023-10-20,11.4,3.1578947368421004,6.052631578947364,27.06333973128599,False,0.2558,0.437,2,2,2,100.0,24.2536438055306,24.642857142857142,6.842105263157899,3.1578947368421004,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
7,82.04495040046952,80.21605132581556,300454,深信服,bottom_area,2023-11-03,83.51,2023-10-27,80.44,3.816509199403291,6.364992541024373,27.150878464046375,False,2.2154,0.7355,3,3,3,100.0,19.34243172287662,29.49391262831224,6.18349080059671,3.816509199403291,历史3/3次成功; 当前距低点3.82%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
8,81.8386076930041,76.95371941697033,000631,顺发恒能,bottom_area,2023-11-03,3.45,2023-11-03,3.39,1.7699115044247802,2.654867256637164,31.515151515151512,False,0.0,2.6627,1,1,1,100.0,10.04901960784314,10.04901960784314,8.23008849557522,1.7699115044247802,历史1/1次成功; 当前距低点1.77%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,81.75914376321353,77.69767441860465,600280,中央商场,bottom_area,2023-11-03,3.52,2023-10-23,3.44,2.325581395348839,7.558139534883727,27.57894736842105,True,0.2849,1.259,1,1,1,100.0,11.666666666666671,11.666666666666671,7.674418604651162,2.325581395348839,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
10,81.63186050212943,78.36437083481214,000938,紫光股份,bottom_area,2023-11-03,19.81,2023-11-02,19.26,2.8556593977154576,3.322949117341625,28.161133905259224,False,2.5362,1.7189,1,1,1,100.0,30.942334739803094,30.942334739803094,7.144340602284544,2.8556593977154576,历史1/1次成功; 当前距低点2.86%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
11,80.392588804677,74.39931097605071,600048,保利发展,bottom_area,2023-11-03,10.8,2023-10-30,10.7,0.9345794392523498,4.018691588785061,28.139691067830768,False,-0.8264,0.4776,2,2,2,100.0,31.721247836269217,31.987577639751546,9.06542056074765,0.9345794392523498,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
12,79.71591344457717,77.85302939134459,688023,安恒信息,bottom_area,2023-11-03,120.36,2023-10-30,116.0,3.7586206896551717,5.36206896551724,29.6159213639949,False,3.6514,0.9863,1,1,1,100.0,39.261744966442954,39.261744966442954,6.241379310344828,3.7586206896551717,历史1/1次成功; 当前距低点3.76%; 最新日涨幅3.65%; 状态bottom_area; 底部未确认
13,78.93258008204597,72.44497076023396,600325,华发股份,bottom_area,2023-11-03,8.04,2023-11-03,8.0,0.49999999999998934,2.6250000000000107,27.667269439421343,False,-1.8315,1.1833,1,1,1,100.0,32.553606237816766,32.553606237816766,9.50000000000001,0.49999999999998934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
14,78.54606004781242,76.60539016366621,300713,英可瑞,bottom_area,2023-11-03,18.0,2023-11-02,17.36,3.6866359447004644,4.1474654377880125,28.264462809917358,False,3.5673,4.2839,2,2,2,100.0,15.004946868727224,19.819819819819813,6.3133640552995365,3.6866359447004644,历史2/2次成功; 当前距低点3.69%; 最新日涨幅3.57%; 状态bottom_area; 底部未确认
