rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.42744173988193,76.58931297709925,002110,三钢闽光,bottom_area,2022-08-25,5.3,2022-08-25,5.24,1.1450381679389239,2.099236641221363,29.47510094212651,False,-0.5629,0.5024,1,1,1,100.0,22.90322580645161,22.90322580645161,8.854961832061077,1.1450381679389239,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
2,82.26155183520076,77.5086142186348,688083,中望软件,bottom_area,2022-08-25,186.77,2022-08-25,183.33,1.8763977526864113,3.8509791087110528,29.20801637255281,False,-0.469,0.7143,2,2,2,100.0,20.144091907310933,21.52777777777778,8.12360224731359,1.8763977526864113,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
3,79.31835735466966,74.20513346553005,688091,上海谊众,bottom_area,2022-08-25,105.36,2022-08-25,103.8,1.5028901734104068,5.6840077071291,30.786157231446293,False,-0.9029,3.9388,1,1,1,100.0,14.471629359708471,14.471629359708471,8.497109826589593,1.5028901734104068,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
4,79.05867312576136,76.14716391716392,000761,本钢板材,bottom_area,2022-08-25,3.4,2022-07-15,3.3,3.030303030303033,8.484848484848492,31.818181818181817,True,0.295,0.1259,1,1,1,100.0,11.969111969111971,11.969111969111971,6.969696969696967,3.030303030303033,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.29%; 状态bottom_area; 底部已确认
5,78.53753471932212,75.48833347628442,600248,陕建股份,bottom_area,2022-08-25,4.58,2022-08-03,4.45,2.921348314606739,5.393258426966296,28.2258064516129,False,2.0045,1.2506,1,1,1,100.0,16.28498727735369,16.28498727735369,7.078651685393261,2.921348314606739,历史1/1次成功; 当前距低点2.92%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
6,78.42210293117228,73.6989987789988,000547,航天发展,bottom_area,2022-08-25,11.11,2022-08-25,10.92,1.7399267399267355,3.205128205128202,28.157894736842103,False,-0.8921,2.9569,1,1,1,100.0,14.656084656084673,14.656084656084673,8.260073260073266,1.7399267399267355,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
7,77.50083982050072,71.38878620689655,002471,中超控股,bottom_area,2022-08-25,2.92,2022-08-25,2.9,0.6896551724137937,4.1379310344827624,30.78758949880669,False,-2.6667,6.7748,1,1,1,100.0,29.2,29.2,9.310344827586208,0.6896551724137937,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
8,76.88639444694543,75.03653541416566,002043,兔宝宝,bottom_area,2022-08-25,8.64,2022-08-04,8.33,3.7214885954381813,8.403361344537807,30.2928870292887,True,1.6471,1.4881,1,1,1,100.0,14.470588235294123,14.470588235294123,6.2785114045618196,3.7214885954381813,历史1/1次成功; 当前距低点3.72%; 最新日涨幅1.65%; 状态bottom_area; 底部已确认
9,76.69508879791651,72.08874046641824,688160,步科股份,confirmed_rebound,2022-08-25,41.3,2022-08-25,40.59,1.7491993101749044,11.234294161123417,30.7928388746803,False,-7.4199,10.9061,1,1,1,100.0,26.542553191489354,26.542553191489354,8.250800689825097,1.7491993101749044,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-7.42%; 状态confirmed_rebound; 底部未确认
10,74.35699105949199,71.13374331550804,603297,永新光学,bottom_area,2022-08-25,96.0,2022-08-25,93.5,2.6737967914438503,4.27807486631016,27.659574468085108,False,-0.8879,2.0247,1,1,1,100.0,12.31182795698925,12.31182795698925,7.326203208556151,2.6737967914438503,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
11,74.22237990001398,74.12084449659397,000715,中兴商业,bottom_area,2022-08-25,5.11,2022-08-03,4.87,4.928131416837787,7.802874743326487,27.421758569299552,True,0.5906,1.6758,1,1,1,100.0,24.33862433862435,24.33862433862435,5.071868583162214,4.928131416837787,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.59%; 状态bottom_area; 底部已确认
