rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.1033967238995,82.44390393242931,002304,洋河股份,bottom_area,2025-05-29,66.03,2025-05-29,65.0,1.5846153846153863,1.5846153846153863,31.57894736842105,False,0.5635,0.4241,2,2,2,100.0,20.62810220081931,20.781426953567394,18.415384615384614,1.5846153846153863,历史2/2次成功; 当前距低点1.58%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
2,95.21405036821902,81.73423416156056,688543,国科军工,bottom_area,2025-05-29,44.53,2025-05-29,43.82,1.620264719306255,1.825650387950701,31.133113311331133,False,0.9293,2.7481,1,1,1,100.0,33.916331836445266,33.916331836445266,18.379735280693748,1.620264719306255,历史1/1次成功; 当前距低点1.62%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
3,89.22789652500136,79.36426850778182,001212,中旗新材,bottom_area,2025-05-29,52.3,2025-05-29,50.5,3.5643564356435586,4.910891089108905,31.618144888287063,False,1.4352,7.4532,4,5,4,80.0,38.33871602714587,82.06521739130437,16.435643564356443,3.5643564356435586,历史4/5次成功; 当前距低点3.56%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
4,88.34148125995526,77.49733166945857,688010,福光股份,bottom_area,2025-05-29,31.13,2025-05-28,30.28,2.807133421400257,3.599735799207397,32.1988356471115,False,2.1325,1.42,3,4,3,75.0,29.852665969092307,42.08955223880597,17.192866578599745,2.807133421400257,历史3/4次成功; 当前距低点2.81%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
5,87.8926540796806,79.65727272727273,301058,中粮科工,bottom_area,2025-05-29,10.93,2025-04-30,10.45,4.593301435406703,8.038277511961722,29.77150537634409,True,1.8639,1.39,1,1,1,100.0,57.794273594909875,57.794273594909875,15.406698564593299,4.593301435406703,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.86%; 状态bottom_area; 底部已确认
6,83.79371145469507,73.95569387468609,002040,南京港,bottom_area,2025-05-29,10.84,2025-05-29,10.51,3.1398667935299724,7.802093244529022,27.51724137931035,False,-0.5505,13.2436,1,1,1,100.0,33.196721311475414,33.196721311475414,16.860133206470028,3.1398667935299724,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
7,79.40885033706508,68.65531219101692,000715,中兴商业,bottom_area,2025-05-29,5.58,2025-05-29,5.47,2.0109689213894026,3.2906764168190237,28.02631578947368,False,1.2704,3.4785,2,4,2,50.0,26.722157697767457,29.105691056910565,17.989031078610598,2.0109689213894026,历史2/4次成功; 当前距低点2.01%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
8,75.48341841157261,64.21038397417642,002819,东方中科,bottom_area,2025-05-29,28.81,2025-05-29,28.49,1.123201123201124,2.141102141102152,30.103042198233567,False,-0.1386,4.7569,2,5,2,40.0,36.08216416706984,51.677148846960186,18.87679887679888,1.123201123201124,历史2/5次成功; 当前距低点1.12%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
9,74.62866075576075,63.48507267112282,002041,登海种业,bottom_area,2025-05-29,9.89,2025-05-29,9.78,1.124744376278131,1.4314928425357931,27.876106194690276,False,0.6104,0.579,1,2,1,50.0,21.395106715252467,21.395106715252467,18.87525562372187,1.124744376278131,历史1/2次成功; 当前距低点1.12%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
10,74.29687227577577,64.62350011690441,002042,华孚时尚,bottom_area,2025-05-29,4.81,2025-05-27,4.7,2.3404255319148812,3.617021276595743,27.469135802469136,False,0.8386,1.3098,1,2,1,50.0,42.41758241758243,42.41758241758243,17.659574468085122,2.3404255319148812,历史1/2次成功; 当前距低点2.34%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
11,68.62228651257304,59.77387096774195,600137,浪莎股份,bottom_area,2025-05-29,19.05,2025-05-28,18.6,2.4193548387096735,9.892473118279568,31.617647058823522,False,-4.2714,11.4535,1,2,1,50.0,120.42139384116692,120.42139384116692,17.580645161290327,2.4193548387096735,历史1/2次成功; 当前距低点2.42%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
12,64.99859619009774,56.67469480204732,301459,丰茂股份,bottom_area,2025-05-29,45.55,2025-05-29,44.45,2.4746906636670287,5.309336332958379,29.75663716814159,False,0.8859,16.1171,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,17.525309336332974,2.4746906636670287,历史1/3次成功; 当前距低点2.47%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
13,62.42325433246528,54.063381266821466,300727,润禾材料,bottom_area,2025-05-29,27.64,2025-05-28,27.07,2.105652013298856,2.918359807905427,32.661691542288565,False,1.8048,1.2408,1,7,1,14.285714285714285,26.812499999999993,26.812499999999993,17.894347986701145,2.105652013298856,历史1/7次成功; 当前距低点2.11%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
