rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.01726441947572,81.67820224719104,300272,开能健康,bottom_area,2026-05-27,6.3,9.02,2026-05-27,6.23,1.1235955056179678,4.333868378812192,30.931263858093118,30.15521064301552,False,-2.7778,1.9172,1,1,1,100.0,65.74468085106382,65.74468085106382,18.876404494382033,1.1235955056179678,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
2,94.44483724551922,80.57793653883587,601390,中国中铁,bottom_area,2026-05-27,4.73,6.47,2026-05-22,4.67,1.2847965738758138,3.211991434689515,27.820710973724882,26.893353941267378,False,-1.4583,0.5017,1,1,1,100.0,46.06060606060606,46.06060606060606,18.715203426124187,1.2847965738758138,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
3,92.94484965328711,77.91333757997921,000919,金陵药业,bottom_area,2026-05-27,6.22,8.83,2026-05-27,6.2,0.32258064516128343,3.06451612903225,29.784824462061156,29.55832389580974,False,-2.3548,1.7562,3,3,3,100.0,26.44527661799429,31.2267657992565,19.67741935483872,0.32258064516128343,历史3/3次成功; 当前距低点0.32%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
4,92.79430885049794,77.59777251184836,300348,长亮科技,bottom_area,2026-05-27,10.57,14.95,2026-05-27,10.55,0.18957345971563577,4.64454976303316,29.431438127090292,29.297658862876247,False,-3.8217,2.2434,2,2,2,100.0,61.67178134052256,87.71331058020478,19.810426540284364,0.18957345971563577,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
5,92.34291627244711,79.54959744971251,605089,味知香,bottom_area,2026-05-27,21.9,31.08,2026-05-27,21.51,1.8131101813110042,2.789400278940018,30.79150579150578,29.53667953667954,False,-0.8601,0.9405,2,2,2,100.0,30.341336898395717,38.50267379679143,18.186889818688996,1.8131101813110042,历史2/2次成功; 当前距低点1.81%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
6,91.4607048748353,76.21725406236276,300355,蒙草生态,bottom_area,2026-05-27,3.15,4.38,2026-05-27,3.15,0.0,2.539682539682542,28.08219178082192,28.08219178082192,False,-1.2539,1.5051,3,3,3,100.0,25.63039818474601,33.201581027668,20.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
7,91.02868760644188,76.22629302736101,000913,钱江摩托,bottom_area,2026-05-27,11.36,15.85,2026-05-27,11.33,0.26478375992938535,3.3539276257722928,28.517350157728703,28.32807570977918,False,-2.8229,1.0898,1,1,1,100.0,53.534183082271134,53.534183082271134,19.735216240070617,0.26478375992938535,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
8,90.87232167053928,77.14239144928958,603277,银都股份,bottom_area,2026-05-27,11.99,17.69,2026-05-27,11.87,1.010951979780969,3.7068239258635325,32.899943470887514,32.221594120972306,False,-2.915,0.3243,1,1,1,100.0,24.23312883435582,24.23312883435582,18.98904802021903,1.010951979780969,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
9,90.40834936491504,77.83992788753311,601800,中国交建,bottom_area,2026-05-27,6.28,8.55,2026-05-27,6.17,1.782820097244738,1.94489465153971,27.836257309941526,26.549707602339183,False,-0.3175,0.4263,1,1,1,100.0,37.44493392070484,37.44493392070484,18.217179902755262,1.782820097244738,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
10,90.32353598473104,75.96073664826089,300411,金盾股份,bottom_area,2026-05-27,8.06,11.24,2026-05-27,8.02,0.49875311720699406,4.3640897755610935,28.64768683274022,28.291814946619215,False,-3.5885,2.6956,3,3,3,100.0,28.322009438133495,33.550488599348526,19.50124688279301,0.49875311720699406,历史3/3次成功; 当前距低点0.50%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
11,89.42151652216094,76.33764175352995,300149,睿智医药,bottom_area,2026-05-27,8.46,11.72,2026-05-27,8.35,1.3173652694610924,2.754491017964077,28.7542662116041,27.815699658703068,False,-1.1682,1.7339,1,1,1,100.0,23.662551440329203,23.662551440329203,18.682634730538908,1.3173652694610924,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
