rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.70761322328188,78.89164179104478,301009,可靠股份,bottom_area,2025-09-11,13.96,2025-09-05,13.4,4.1791044776119435,5.522388059701494,27.762803234501348,False,1.8235,3.3182,1,1,1,100.0,53.96648044692738,53.96648044692738,15.820895522388057,4.1791044776119435,历史1/1次成功; 当前距低点4.18%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
2,86.37018497458519,76.7771356199402,300645,正元智慧,bottom_area,2025-09-11,18.76,2025-09-05,18.12,3.532008830022078,4.74613686534216,27.3164861612515,False,1.8458,4.7287,1,1,1,100.0,30.699547055863096,30.699547055863096,16.467991169977925,3.532008830022078,历史1/1次成功; 当前距低点3.53%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
3,84.27538612043173,75.333613710452,300510,金冠股份,bottom_area,2025-09-11,4.6,2025-09-03,4.43,3.8374717832957095,6.997742663656896,30.01579778830964,False,0.6565,4.0421,3,4,3,75.0,30.849727829925854,40.000000000000014,16.162528216704292,3.8374717832957095,历史3/4次成功; 当前距低点3.84%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
4,75.35424629023377,68.41038443547815,603109,神驰机电,bottom_area,2025-09-11,31.27,2025-09-04,29.87,4.68697689989956,8.77134248409776,27.79792119893642,True,0.7734,2.8792,3,5,3,60.0,27.347805200264215,33.71428571428571,15.313023100100443,4.68697689989956,历史3/5次成功; 当前距低点4.69%; 最新日涨幅0.77%; 状态bottom_area; 底部已确认
5,75.2405497970258,64.41006697390577,002041,登海种业,bottom_area,2025-09-11,9.67,2025-06-23,9.53,1.4690451206715696,7.345225603357829,29.719764011799416,True,0.6243,0.9406,1,2,1,50.0,21.395106715252467,21.395106715252467,18.530954879328434,1.4690451206715696,历史1/2次成功; 当前距低点1.47%; 最新日涨幅0.62%; 状态bottom_area; 底部已确认
6,68.53238339655609,62.337055937507415,000561,烽火电子,bottom_area,2025-09-11,11.37,2025-09-04,10.85,4.792626728110595,6.267281105990781,32.60869565217392,False,1.4273,2.9329,2,4,2,50.0,26.85077891182564,31.050955414012744,15.207373271889407,4.792626728110595,历史2/4次成功; 当前距低点4.79%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
7,66.27504840184488,57.311017465009996,603839,安正时尚,bottom_area,2025-09-11,8.58,2025-09-11,8.41,2.0214030915576684,4.875148632580263,27.374784110535405,False,-3.4871,9.6873,1,2,1,50.0,31.88073394495412,31.88073394495412,17.97859690844233,2.0214030915576684,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
8,65.10556095841675,58.238248218391256,300902,国安达,bottom_area,2025-09-11,23.05,2025-09-04,22.19,3.875619648490308,4.551599819738612,32.798304058146584,False,1.7211,4.7298,1,2,1,50.0,26.906779661016937,26.906779661016937,16.124380351509693,3.875619648490308,历史1/2次成功; 当前距低点3.88%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
9,64.75455492466395,58.44200397288854,002256,兆新股份,bottom_area,2025-09-11,2.87,2025-09-11,2.75,4.363636363636368,5.4545454545454515,31.077694235588975,False,2.1352,8.2661,3,8,3,37.5,27.734381085911092,31.775700934579426,15.636363636363635,4.363636363636368,历史3/8次成功; 当前距低点4.36%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
10,61.55664012750746,54.80365307719055,605169,洪通燃气,bottom_area,2025-09-11,14.9,2025-09-05,14.38,3.6161335187760746,4.033379694019472,31.064237775647165,False,0.8802,1.4675,1,4,1,25.0,26.09375,26.09375,16.383866481223926,3.6161335187760746,历史1/4次成功; 当前距低点3.62%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
11,60.1194328850023,54.06113842118623,302132,中航成飞,bottom_area,2025-09-11,82.81,2025-09-09,79.5,4.163522012578619,5.031446540880504,27.595628415300546,False,2.7547,2.905,1,4,1,25.0,28.81165919282512,28.81165919282512,15.836477987421382,4.163522012578619,历史1/4次成功; 当前距低点4.16%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
12,57.44099481377067,51.9160594356291,603221,爱丽家居,bottom_area,2025-09-11,12.46,2025-09-02,11.93,4.442581726739323,5.616093880972338,32.2159090909091,False,0.4029,2.0874,1,4,1,25.0,20.699708454810505,20.699708454810505,15.557418273260678,4.442581726739323,历史1/4次成功; 当前距低点4.44%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
