rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.45302957515732,78.55671531386066,688303,大全能源,bottom_area,2023-12-01,30.47,2023-12-01,30.15,1.0613598673300175,2.05638474295191,28.92503536067893,False,-1.0393,1.0991,1,1,1,100.0,32.45492371705965,32.45492371705965,18.938640132669985,1.0613598673300175,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
2,87.97323632566304,74.510467058176,600048,保利发展,bottom_area,2023-12-01,10.25,2023-12-01,10.16,0.885826771653542,1.4763779527559089,31.766286098052387,False,-0.0975,0.4742,2,2,2,100.0,31.721247836269217,31.987577639751546,19.11417322834646,0.885826771653542,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
3,83.34662446539235,75.17131134243614,300637,扬帆新材,bottom_area,2023-12-01,10.85,2023-11-30,10.4,4.3269230769230695,5.288461538461528,27.221833449965004,False,2.4551,7.3254,1,1,1,100.0,31.810193321616865,31.810193321616865,15.67307692307693,4.3269230769230695,历史1/1次成功; 当前距低点4.33%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
4,80.49582847135544,72.13134751773049,002137,实益达,bottom_area,2023-12-01,7.33,2023-11-30,7.05,3.9716312056737624,4.539007092198586,27.31958762886598,False,2.2315,14.3112,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,16.02836879432624,3.9716312056737624,历史2/3次成功; 当前距低点3.97%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
5,77.2579376820957,70.03814638113309,000966,长源电力,bottom_area,2023-12-01,4.54,2023-10-24,4.34,4.60829493087558,9.907834101382482,27.424749163879607,True,-0.2198,0.608,1,1,1,100.0,20.94117647058823,20.94117647058823,15.39170506912442,4.60829493087558,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
6,74.4964594253248,64.2104022287318,300337,银邦股份,bottom_area,2023-12-01,8.29,2023-11-30,8.14,1.842751842751825,3.8083538083537927,32.11009174311926,False,0.3632,2.9234,1,2,1,50.0,34.09610983981694,34.09610983981694,18.157248157248176,1.842751842751825,历史1/2次成功; 当前距低点1.84%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
7,70.42544945796325,62.621591258039984,600328,中盐化工,bottom_area,2023-12-01,7.88,2023-10-26,7.61,3.547963206307484,8.147174770039422,28.207547169811313,True,0.5102,0.6061,1,2,1,50.0,37.26315789473683,37.26315789473683,16.452036793692518,3.547963206307484,历史1/2次成功; 当前距低点3.55%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
8,59.01522313351569,51.23182423785778,002331,皖通科技,bottom_area,2023-12-01,9.61,2023-12-01,9.4,2.2340425531914794,6.063829787234045,30.111524163568763,False,-3.0272,25.4076,1,3,1,33.33333333333333,21.247892074199,21.247892074199,17.76595744680852,2.2340425531914794,历史1/3次成功; 当前距低点2.23%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
