rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.3469624590021,82.8650723548041,600956,新天绿能,bottom_area,2024-09-04,6.75,2024-08-29,6.68,1.0479041916167708,7.035928143712584,28.860489882854107,True,-1.6035,0.2632,2,2,2,100.0,29.592978019840494,41.27358490566036,8.95209580838323,1.0479041916167708,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
2,86.97695252984175,83.6594236605443,002219,新里程,bottom_area,2024-09-04,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.0,0.666,2,2,2,100.0,34.81175156302061,45.685279187817265,7.0414201183431935,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,85.78925274448075,81.9545548244838,300562,乐心医疗,bottom_area,2024-09-04,11.84,2024-09-04,11.54,2.5996533795494,7.972270363951489,32.672112018669786,False,-1.5794,30.3589,4,4,4,100.0,19.57937919277642,22.71604938271605,7.400346620450601,2.5996533795494,历史4/4次成功; 当前距低点2.60%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
4,85.35754855487346,79.7430703745368,301571,国科天成,bottom_area,2024-09-04,38.32,2024-09-03,37.78,1.429327686606668,6.643726839597665,32.919034090909086,False,-1.5416,29.7015,1,1,1,100.0,43.34374999999999,43.34374999999999,8.570672313393333,1.429327686606668,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
5,85.00013778857912,80.98025464436255,000597,东北制药,bottom_area,2024-09-04,4.17,2024-08-26,4.07,2.457002457002448,5.65110565110564,32.053422370617696,False,-0.9501,1.2232,3,3,3,100.0,29.259248636172746,61.02150537634409,7.542997542997552,2.457002457002448,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
6,84.28989626560963,78.18857057046654,603069,海汽集团,bottom_area,2024-09-04,14.34,2024-09-04,14.19,1.0570824524312923,4.862579281183941,30.982490272373536,False,-5.0331,2.7047,5,6,5,83.33333333333334,26.74938294987391,76.0375880971026,8.942917547568708,1.0570824524312923,历史5/6次成功; 当前距低点1.06%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
7,82.98199164921996,80.22910666232318,000532,华金资本,bottom_area,2024-09-04,10.55,2024-09-04,10.22,3.2289628180039145,4.500978473581204,27.926657263751757,False,0.9569,3.0413,2,2,2,100.0,28.877106921355356,32.044198895027606,6.771037181996087,3.2289628180039145,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
8,82.16196202531647,74.69269275028769,000517,荣安地产,bottom_area,2024-09-04,1.99,2024-09-04,1.99,0.0,3.5175879396984957,29.432624113475175,False,-2.451,1.0397,2,2,2,100.0,34.10049865746067,40.92827004219408,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
9,81.81865234920605,78.54313122978111,600262,北方股份,bottom_area,2024-09-04,15.85,2024-08-29,15.41,2.8552887735236827,6.55418559377029,31.48065807025344,False,0.38,2.1353,2,2,2,100.0,15.232202330188693,17.269624573378834,7.144711226476318,2.8552887735236827,历史2/2次成功; 当前距低点2.86%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
10,81.7710414416473,75.84560365602069,000983,山西焦煤,bottom_area,2024-09-04,7.68,2024-08-26,7.6,1.0526315789473695,6.578947368421052,29.95391705069125,False,-1.7903,0.3639,3,4,3,75.0,21.938729333444627,27.212389380530986,8.947368421052632,1.0526315789473695,历史3/4次成功; 当前距低点1.05%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
11,81.02138378555948,75.74237011114626,300478,杭州高新,bottom_area,2024-09-04,6.93,2024-08-28,6.83,1.4641288433382087,8.052708638360173,28.10526315789474,True,-2.2567,2.5428,1,1,1,100.0,13.067655236329937,13.067655236329937,8.535871156661793,1.4641288433382087,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
