rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.99491385854577,82.01022313804985,002322,理工能科,bottom_area,2022-11-23,9.54,2022-11-23,9.34,2.141327623126331,2.997858672376867,28.429118773946367,False,0.7392,2.3741,2,2,2,100.0,25.120699563321974,28.6908077994429,5.8586723768736695,2.141327623126331,历史2/2次成功; 当前距低点2.14%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
2,79.3921876444863,75.92834891703161,002279,久其软件,bottom_area,2022-11-23,6.05,2022-11-23,5.95,1.680672268907557,5.042016806722685,27.261613691931537,False,-2.2617,8.7844,1,1,1,100.0,25.915492957746476,25.915492957746476,6.319327731092443,1.680672268907557,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
3,72.94552538819602,67.78801886792455,002467,二六三,bottom_area,2022-11-23,5.31,2022-11-23,5.3,0.18867924528301486,7.735849056603776,27.69440654843111,False,-9.8472,19.7939,1,1,1,100.0,13.91509433962264,13.91509433962264,7.811320754716985,0.18867924528301486,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-9.85%; 状态bottom_area; 底部未确认
4,72.53306199460917,67.16024258760108,000721,西安饮食,bottom_area,2022-11-23,8.39,2022-11-23,8.39,0.0,0.0,27.106863596872277,False,-9.9785,1.3626,1,1,1,100.0,20.485175202156327,20.485175202156327,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
5,69.35933159280479,68.48099298986635,002812,恩捷股份,bottom_area,2022-11-23,130.36,2022-11-23,126.15,3.3372968688069817,4.637336504161707,30.990153172866524,False,-6.9986,6.6007,1,1,1,100.0,16.39800995024876,16.39800995024876,4.662703131193018,3.3372968688069817,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
6,67.66067704829601,67.67614588164037,002567,唐人神,confirmed_rebound,2022-11-23,7.0,2022-10-31,6.73,4.011887072808315,11.292719167904899,27.867095391211144,True,-1.6854,2.8162,1,1,1,100.0,11.146496815286627,11.146496815286627,3.9881129271916853,4.011887072808315,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.69%; 状态confirmed_rebound; 底部已确认
7,54.18977550304011,51.07194385108331,000428,华天酒店,bottom_area,2022-11-23,4.39,2022-11-23,4.35,0.9195402298850583,2.7586206896551753,30.842607313195554,False,-1.5695,3.7914,1,2,1,50.0,14.454277286135685,14.454277286135685,7.080459770114941,0.9195402298850583,历史1/2次成功; 当前距低点0.92%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
