rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.33363192252676,88.23625708732037,688114,华大智造,bottom_area,2025-07-04,63.47,2025-06-23,62.1,2.206119162640898,7.004830917874398,28.20809248554913,True,0.4272,1.3859,4,4,4,100.0,16.861337516890426,27.745919717688572,5.793880837359103,2.206119162640898,历史4/4次成功; 当前距低点2.21%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
2,82.46289978584683,78.01610504639362,300640,德艺文创,bottom_area,2025-07-04,6.33,2025-06-23,6.26,1.1182108626198128,7.348242811501597,27.880184331797235,True,-3.211,9.1546,2,2,2,100.0,14.600138780466654,17.724867724867735,6.881789137380187,1.1182108626198128,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-3.21%; 状态bottom_area; 底部已确认
3,81.52448568775132,78.43806288748793,605198,安德利,bottom_area,2025-07-04,39.91,2025-06-20,39.13,1.9933554817275594,5.877843087145405,29.748653500897664,False,-0.3744,0.6141,1,1,1,100.0,43.241469816272954,43.241469816272954,6.006644518272441,1.9933554817275594,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
4,81.08538359613955,76.64007890212221,600241,时代万恒,bottom_area,2025-07-04,8.51,2025-07-04,8.42,1.0688836104513049,4.2755344418052195,28.03418803418803,False,-3.5147,9.2705,2,2,2,100.0,15.79104050511391,22.50673854447439,6.931116389548696,1.0688836104513049,历史2/2次成功; 当前距低点1.07%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
5,79.9284476252666,75.59986678358236,603193,润本股份,bottom_area,2025-07-04,30.18,2025-06-27,29.85,1.105527638190949,7.437185929648236,29.94602206054916,True,-3.7321,6.6115,1,1,1,100.0,18.120805369127517,18.120805369127517,6.894472361809051,1.105527638190949,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-3.73%; 状态bottom_area; 底部已确认
6,79.8063626151715,81.30269420423647,605136,丽人丽妆,confirmed_rebound,2025-07-04,10.78,2025-06-26,10.27,4.9659201557935715,8.95813047711782,29.318651066758434,True,0.6536,11.4367,4,4,4,100.0,23.62899010454739,52.667814113597245,3.034079844206429,4.9659201557935715,历史4/4次成功; 当前距低点4.97%; 最新日涨幅0.65%; 状态confirmed_rebound; 底部已确认
7,79.47165116388877,75.34591375074136,002141,贤丰控股,bottom_area,2025-07-04,4.12,2025-07-04,4.07,1.228501228501224,3.9312039312039344,27.9646017699115,False,-1.199,5.3551,1,1,1,100.0,17.241379310344833,17.241379310344833,6.771498771498777,1.228501228501224,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
8,79.1170158681892,75.36063769052244,000999,华润三九,bottom_area,2025-07-04,31.04,2025-06-23,30.59,1.4710689767897982,4.347826086956528,29.645814167433297,False,-0.5128,0.3613,1,1,1,100.0,20.293951384963254,20.293951384963254,6.528931023210202,1.4710689767897982,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
9,78.9310838644833,73.49421455601515,603022,新通联,bottom_area,2025-07-04,10.36,2025-07-04,10.33,0.2904162633107392,1.8393030009680493,31.270791749833666,False,-1.145,6.5737,2,2,2,100.0,18.958944281524914,26.099706744868023,7.709583736689261,0.2904162633107392,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
10,78.52514446129415,77.68275347729485,002127,南极电商,bottom_area,2025-07-04,3.91,2025-06-20,3.78,3.439153439153448,6.878306878306885,29.34579439252336,False,-1.2626,1.1349,3,3,3,100.0,23.570017841745774,33.53658536585366,4.560846560846552,3.439153439153448,历史3/3次成功; 当前距低点3.44%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
11,78.06434099333873,73.8805439005439,300827,上能电气,bottom_area,2025-07-04,22.25,2025-07-04,22.0,1.1363636363636365,3.5454545454545507,31.677018633540378,False,-1.2428,5.8909,1,1,1,100.0,8.233618233618236,8.233618233618236,6.863636363636363,1.1363636363636365,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
12,77.91321031599016,75.52796253693808,002811,郑中设计,bottom_area,2025-07-04,10.31,2025-06-23,10.07,2.383316782522346,6.156901688182713,31.728813559322035,False,-1.7159,3.2821,2,2,2,100.0,15.709273124134537,16.78832116788322,5.616683217477654,2.383316782522346,历史2/2次成功; 当前距低点2.38%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
13,77.72023522674377,77.23245132364706,002041,登海种业,bottom_area,2025-07-04,9.88,2025-06-23,9.53,3.672612801678924,3.9874081846799663,29.719764011799416,False,0.3046,1.185,2,2,2,100.0,18.2043468358871,21.395106715252467,4.327387198321076,3.672612801678924,历史2/2次成功; 当前距低点3.67%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
