rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.68689253282702,74.47451844645663,600227,赤天化,bottom_area,2024-05-29,1.67,2024-05-29,1.66,0.6024096385542175,3.6144578313253044,28.755364806866957,False,-1.7647,1.1259,1,1,1,100.0,44.72049689440993,44.72049689440993,14.397590361445781,0.6024096385542175,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,81.7123060824068,71.05417920209287,000702,正虹科技,bottom_area,2024-05-29,5.81,2024-05-29,5.81,0.0,4.991394148020655,29.57575757575758,False,-9.9225,25.8965,2,2,2,100.0,24.753651624155225,34.05275779376499,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
3,80.36028566762477,69.87850927619546,000525,红太阳,bottom_area,2024-05-29,5.14,2024-05-29,5.14,0.0,0.0,27.092198581560282,False,-4.9908,0.3505,2,2,2,100.0,18.432845570943286,20.348837209302317,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
4,78.67099572135578,72.54947960376059,688331,荣昌生物,bottom_area,2024-05-29,44.23,2024-05-27,42.88,3.1483208955223745,10.774253731343277,27.00034048348655,True,-3.0044,1.601,1,1,1,100.0,26.761565836298917,26.761565836298917,11.851679104477626,3.1483208955223745,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-3.00%; 状态bottom_area; 底部已确认
5,78.03920108713578,70.79037153008802,002837,英维克,bottom_area,2024-05-29,24.39,2024-05-27,23.85,2.264150943396223,4.402515723270428,28.335336538461537,False,0.8268,1.2115,2,3,2,66.66666666666666,21.860048464326542,24.517374517374524,12.735849056603776,2.264150943396223,历史2/3次成功; 当前距低点2.26%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
6,76.37338619943162,70.42101499565577,300598,诚迈科技,bottom_area,2024-05-29,28.24,2024-05-29,27.38,3.1409788166544903,5.441928414901395,31.240582621798097,False,1.2186,2.5937,2,3,2,66.66666666666666,30.622473284738376,43.96339317141851,11.859021183345508,3.1409788166544903,历史2/3次成功; 当前距低点3.14%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
7,71.72549312951342,62.52206133423726,605117,德业股份,bottom_area,2024-05-29,69.18,2024-05-29,69.09,0.13026487190621422,9.277753654653345,31.857185126738337,False,-1.0866,1.5497,4,9,4,44.44444444444444,45.04276414555002,60.22338317420285,14.869735128093787,0.13026487190621422,历史4/9次成功; 当前距低点0.13%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
8,62.047873061057324,57.38419340869933,688177,百奥泰,bottom_area,2024-05-29,26.59,2024-05-27,25.74,3.302253302253308,10.606060606060607,28.060368921185024,True,-0.4493,0.6606,1,2,1,50.0,28.56629536471435,28.56629536471435,11.697746697746691,3.302253302253308,历史1/2次成功; 当前距低点3.30%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
9,61.19072842621562,53.37039352369235,605108,同庆楼,bottom_area,2024-05-29,24.78,2024-05-29,24.74,0.16168148746969563,2.0614389652384864,28.600288600288604,False,-1.2356,0.778,1,2,1,50.0,17.52165223184544,17.52165223184544,14.838318512530305,0.16168148746969563,历史1/2次成功; 当前距低点0.16%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
10,59.65357526366979,55.13902399605841,605303,园林股份,bottom_area,2024-05-29,7.89,2024-05-28,7.64,3.2722513089005236,8.376963350785337,29.19369786839666,False,1.5444,8.0847,1,4,1,25.0,23.681489141675293,23.681489141675293,11.727748691099476,3.2722513089005236,历史1/4次成功; 当前距低点3.27%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
11,58.382141209119624,53.202992732878215,002031,巨轮智能,bottom_area,2024-05-29,2.45,2024-05-29,2.39,2.510460251046027,10.041841004184091,31.71428571428571,False,-6.8441,9.0877,1,2,1,50.0,15.789473684210522,15.789473684210522,12.489539748953971,2.510460251046027,历史1/2次成功; 当前距低点2.51%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
12,57.57280693289455,53.58741150442478,002520,日发精机,bottom_area,2024-05-29,3.98,2024-05-29,3.84,3.645833333333337,9.895833333333332,31.914893617021274,False,1.5306,7.4167,1,5,1,20.0,30.752212389380546,30.752212389380546,11.354166666666663,3.645833333333337,历史1/5次成功; 当前距低点3.65%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
13,56.93697525829255,49.510413268080484,688287,退市观典,bottom_area,2024-05-29,5.45,2024-05-29,5.45,0.0,8.807339449541276,27.81456953642384,False,-14.9766,9.5251,1,3,1,33.33333333333333,36.70473083197391,36.70473083197391,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-14.98%; 状态bottom_area; 底部未确认
