rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.39356733817363,79.23318181818182,300720,海川智能,bottom_area,2024-12-25,17.78,2024-12-25,17.6,1.022727272727271,6.647727272727262,27.06174886033982,False,-5.1227,2.3938,3,4,3,75.0,57.75229601757511,75.69193742478939,13.977272727272727,1.022727272727271,历史3/4次成功; 当前距低点1.02%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
2,87.47803434824652,77.67605586947893,002173,创新医疗,bottom_area,2024-12-25,9.03,2024-12-24,8.93,1.1198208286674092,10.3023516237402,28.041901692183725,True,-0.1106,18.2279,3,4,3,75.0,23.40993203677754,27.109266943291825,13.88017917133259,1.1198208286674092,历史3/4次成功; 当前距低点1.12%; 最新日涨幅-0.11%; 状态bottom_area; 底部已确认
3,85.95291915972648,76.35466344427395,000691,亚太实业,bottom_area,2024-12-25,3.54,2024-12-25,3.5,1.142857142857144,8.85714285714286,28.86178861788618,False,-6.8421,8.0008,3,4,3,75.0,35.99665446230238,76.05633802816902,13.857142857142858,1.142857142857144,历史3/4次成功; 当前距低点1.14%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
4,84.84262816711588,76.2414857142857,002016,世荣兆业,bottom_area,2024-12-25,6.36,2024-12-25,6.25,1.760000000000005,3.840000000000003,28.160919540229877,False,-1.548,0.757,1,1,1,100.0,28.571428571428566,28.571428571428566,13.239999999999993,1.760000000000005,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
5,83.2982411724426,77.40428865820168,600327,大东方,bottom_area,2024-12-25,5.24,2024-12-25,5.06,3.5573122529644388,6.719367588932822,30.494505494505503,False,-2.4209,6.1794,3,3,3,100.0,23.521293521293522,33.030303030303024,11.44268774703556,3.5573122529644388,历史3/3次成功; 当前距低点3.56%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
6,82.06751942703151,73.90530103739135,603216,梦天家居,bottom_area,2024-12-25,10.87,2024-12-25,10.67,1.8744142455482595,4.404873477038432,28.244788164088767,False,-2.336,6.7135,1,1,1,100.0,17.41379310344827,17.41379310344827,13.125585754451741,1.8744142455482595,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
7,81.87063800897849,73.86287383411897,002453,华软科技,bottom_area,2024-12-25,5.17,2024-12-25,5.07,1.972386587771196,6.903353057199204,28.89200561009817,False,-4.4362,2.5495,1,1,1,100.0,28.60169491525425,28.60169491525425,13.027613412228803,1.972386587771196,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
8,81.84987816409149,75.7416783010996,600148,长春一东,bottom_area,2024-12-25,18.6,2024-12-25,18.0,3.333333333333341,6.6666666666666625,30.71593533487298,False,-2.6178,2.806,2,2,2,100.0,28.503646780105495,40.489130434782616,11.666666666666659,3.333333333333341,历史2/2次成功; 当前距低点3.33%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
9,81.04411228016207,74.1610286893042,002741,光华科技,bottom_area,2024-12-25,17.67,2024-12-25,17.2,2.732558139534898,6.279069767441871,31.746031746031743,False,-2.6982,9.5119,3,4,3,75.0,33.47452283571915,40.99999999999999,12.267441860465102,2.732558139534898,历史3/4次成功; 当前距低点2.73%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
10,80.85732220285665,73.1793880238977,002178,延华智能,bottom_area,2024-12-25,6.2,2024-12-25,6.07,2.141680395387148,8.237232289950576,29.663962920046355,False,-4.7619,5.8679,4,5,4,80.0,20.335587770862393,29.076086956521735,12.85831960461285,2.141680395387148,历史4/5次成功; 当前距低点2.14%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
11,80.84280970830294,70.2980953985243,002848,高斯贝尔,bottom_area,2024-12-25,8.06,2024-12-25,8.06,0.0,0.0,30.577088716623592,False,-10.0446,2.6562,2,2,2,100.0,20.688684938302675,21.924482338611433,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
