rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.40787376864317,81.95108686350022,600935,华塑股份,bottom_area,2023-06-08,3.73,2023-05-31,3.69,1.084010840108402,3.2520325203252063,27.788649706457928,False,0.8108,0.1916,1,1,1,100.0,28.50877192982458,28.50877192982458,18.9159891598916,1.084010840108402,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
2,91.894597070703,76.5788308922525,605399,晨光新材,bottom_area,2023-06-08,18.55,2023-06-08,18.55,0.0,2.6954177897574123,32.02638329058263,False,-1.5915,1.1059,2,2,2,100.0,44.24102630243285,52.857533497402244,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
3,90.66673438335862,78.43722071974935,002041,登海种业,bottom_area,2023-06-08,15.47,2023-06-07,15.16,2.044854881266494,2.9023746701846935,28.49056603773585,False,1.9104,0.5278,1,1,1,100.0,21.395106715252467,21.395106715252467,17.955145118733505,2.044854881266494,历史1/1次成功; 当前距低点2.04%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
4,90.57971357509558,78.76808452210005,600995,南网储能,bottom_area,2023-06-08,10.99,2023-06-07,10.74,2.3277467411545625,3.072625698324023,32.7909887359199,False,0.5489,1.2421,1,1,1,100.0,26.64165103189493,26.64165103189493,17.672253258845437,2.3277467411545625,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
5,90.15238409815831,78.85189207984442,601111,中国国航,bottom_area,2023-06-08,8.15,2023-06-02,7.94,2.644836272040302,4.53400503778338,29.920564872021178,False,0.7417,0.3817,1,1,1,100.0,30.97913322632423,30.97913322632423,17.3551637279597,2.644836272040302,历史1/1次成功; 当前距低点2.64%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
6,88.70282671144196,77.60620364933301,688075,安旭生物,bottom_area,2023-06-08,66.37,2023-05-10,64.65,2.660479505027067,7.764887857695276,30.37906525953047,True,-0.0452,0.9989,4,5,4,80.0,31.086542584917854,40.134529147982065,17.339520494972934,2.660479505027067,历史4/5次成功; 当前距低点2.66%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
7,87.77617144726837,78.698804444437,002179,中航光电,bottom_area,2023-06-08,40.8,2023-06-08,39.23,4.002039255671681,4.460871781799644,31.702646239554323,False,1.5431,0.3974,1,1,1,100.0,46.79276315789475,46.79276315789475,15.99796074432832,4.002039255671681,历史1/1次成功; 当前距低点4.00%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
8,87.06648490283258,73.2395369889534,300363,博腾股份,bottom_area,2023-06-08,29.44,2023-06-08,29.29,0.5121201775350022,2.355752816660981,29.77703188683769,False,-1.1749,1.1492,1,1,1,100.0,36.97403760071621,36.97403760071621,19.487879822464997,0.5121201775350022,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
9,85.26874791173879,71.28758756616347,300762,上海瀚讯,bottom_area,2023-06-08,11.35,2023-06-08,11.33,0.17652250661959024,3.442188879082088,28.200253485424586,False,-3.2396,1.3731,1,1,1,100.0,32.580961727183514,32.580961727183514,19.823477493380413,0.17652250661959024,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
10,85.18374865132454,71.45305477699243,688176,亚虹医药,bottom_area,2023-06-08,11.23,2023-06-08,11.19,0.35746201966041935,3.3958891867739123,30.84054388133498,False,-2.0924,1.769,1,1,1,100.0,25.473484848484844,25.473484848484844,19.64253798033958,0.35746201966041935,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
11,85.07559354133392,75.56390999242251,600256,广汇能源,bottom_area,2023-06-08,7.42,2023-06-01,7.17,3.486750348675035,5.718270571827059,29.49852507374631,False,0.8152,0.6531,1,1,1,100.0,23.62204724409449,23.62204724409449,16.513249651324966,3.486750348675035,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
12,84.40270175327973,71.0160521934661,688289,圣湘生物,bottom_area,2023-06-08,17.22,2023-06-08,17.13,0.5253940455341498,2.626970227670749,30.50709939148073,False,-1.5437,0.7004,1,1,1,100.0,25.182530200451346,25.182530200451346,19.47460595446585,0.5253940455341498,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
13,81.99065581107342,69.63995891146904,600183,生益科技,bottom_area,2023-06-08,14.57,2023-06-08,14.42,1.0402219140083242,1.8723994452149764,27.09807886754298,False,-0.8844,0.4112,2,3,2,66.66666666666666,23.14515165989969,25.158227848101262,18.959778085991676,1.0402219140083242,历史2/3次成功; 当前距低点1.04%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
14,80.84726939563939,69.47453949767083,688001,华兴源创,bottom_area,2023-06-08,30.3,2023-06-07,29.8,1.6778523489932886,8.389261744966431,28.793309438470732,True,-3.1949,0.8312,2,3,2,66.66666666666666,31.093420358649794,35.3639240506329,18.322147651006713,1.6778523489932886,历史2/3次成功; 当前距低点1.68%; 最新日涨幅-3.19%; 状态bottom_area; 底部已确认
