rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.31224430581781,84.56710849152877,300347,泰格医药,bottom_area,2025-01-08,50.5,2025-01-08,49.92,1.161858974358971,3.9663461538461475,27.75687409551374,False,-2.6224,1.7078,4,4,4,100.0,16.000790070253917,23.423271500843175,6.838141025641028,1.161858974358971,历史4/4次成功; 当前距低点1.16%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
2,85.56767407664273,82.93009259508206,002761,浙江建投,bottom_area,2025-01-08,8.2,2025-01-08,8.01,2.372034956304613,3.7453183520599342,28.482142857142854,False,-1.2048,1.5095,7,7,7,100.0,22.034044599228856,43.73730534867976,5.627965043695387,2.372034956304613,历史7/7次成功; 当前距低点2.37%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
3,85.46298518227754,83.20452082409687,605266,健之佳,bottom_area,2025-01-08,21.25,2025-01-08,20.71,2.607436021245771,3.5248672139063277,27.536738978306502,False,-0.7009,1.5729,6,6,6,100.0,26.395026626544265,55.413271245634455,5.39256397875423,2.607436021245771,历史6/6次成功; 当前距低点2.61%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
4,84.86954268177278,82.80169092946034,002246,北化股份,bottom_area,2025-01-08,9.45,2025-01-06,9.2,2.717391304347826,4.347826086956526,27.38752959747435,False,-1.1506,1.638,4,4,4,100.0,25.577113458996685,31.992687385740403,5.282608695652175,2.717391304347826,历史4/4次成功; 当前距低点2.72%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
5,83.99783260200482,80.80304240269112,688225,亚信安全,bottom_area,2025-01-08,16.45,2025-01-06,16.13,1.9838809671419735,7.5635461872287815,31.068376068376068,False,-3.4058,1.267,4,4,4,100.0,16.05532799878933,21.557788944723633,6.016119032858026,1.9838809671419735,历史4/4次成功; 当前距低点1.98%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
6,83.76215561919105,80.67052037565064,600325,华发股份,bottom_area,2025-01-08,5.49,2025-01-08,5.38,2.044609665427515,2.9739776951672887,27.10027100271003,False,-1.0811,1.3286,3,3,3,100.0,22.53887318723322,32.553606237816766,5.955390334572485,2.044609665427515,历史3/3次成功; 当前距低点2.04%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
7,83.61614504506633,81.44068423975506,600199,金种子酒,bottom_area,2025-01-08,11.71,2025-01-08,11.41,2.629272567922881,4.645048203330406,27.232142857142854,False,-1.3479,1.7157,4,4,4,100.0,17.179708035587232,23.70304114490161,5.370727432077119,2.629272567922881,历史4/4次成功; 当前距低点2.63%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
8,83.25397195737266,81.58767327528707,688135,利扬芯片,bottom_area,2025-01-08,16.06,2025-01-08,15.6,2.9487179487179427,4.935897435897445,27.97783933518006,False,-2.3114,2.0974,4,4,4,100.0,21.885753754645094,40.41850220264317,5.051282051282058,2.9487179487179427,历史4/4次成功; 当前距低点2.95%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
9,82.84997077502148,81.57173330468008,603185,弘元绿能,bottom_area,2025-01-08,15.52,2025-01-08,15.04,3.1914893617021307,4.122340425531921,30.20881670533643,False,-0.1929,1.3568,6,6,6,100.0,24.77596263097275,43.51028702057404,4.80851063829787,3.1914893617021307,历史6/6次成功; 当前距低点3.19%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
10,82.11418927168907,81.78959349593497,300586,美联新材,bottom_area,2025-01-08,7.66,2025-01-08,7.38,3.794037940379407,5.826558265582652,30.508474576271183,False,-2.046,2.1366,3,3,3,100.0,50.871511414083926,124.33414043583537,4.205962059620593,3.794037940379407,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
11,82.10414179619931,79.51818457427177,603026,石大胜华,bottom_area,2025-01-08,31.98,2025-01-08,31.25,2.336000000000001,4.575999999999999,27.05415499533147,False,-2.6188,1.3676,3,3,3,100.0,19.915400936945073,31.14618918600542,5.663999999999999,2.336000000000001,历史3/3次成功; 当前距低点2.34%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
12,82.02477403400266,79.73218483526124,600316,洪都航空,bottom_area,2025-01-08,27.6,2025-01-08,26.92,2.5260029717682007,7.986627043090633,27.867095391211144,False,-4.5313,1.835,4,4,4,100.0,16.943395757487764,30.462519936204153,5.4739970282318,2.5260029717682007,历史4/4次成功; 当前距低点2.53%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
13,81.99361113688451,82.1078481429965,002314,南山控股,bottom_area,2025-01-08,2.3,2025-01-06,2.21,4.072398190045242,4.977375565610854,28.938906752411576,False,0.0,1.8291,4,4,4,100.0,15.983419442471158,26.12612612612611,3.9276018099547576,4.072398190045242,历史4/4次成功; 当前距低点4.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
