rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.36790250178655,81.30146050876101,600048,保利发展,bottom_area,2023-10-31,11.02,2023-10-30,10.7,2.9906542056074796,3.5514018691588856,28.139691067830768,False,1.1009,0.6836,2,2,2,100.0,31.721247836269217,31.987577639751546,17.009345794392523,2.9906542056074796,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
2,89.76064719474944,77.03309809580028,000938,紫光股份,bottom_area,2023-10-31,19.61,2023-10-23,19.3,1.6062176165803042,4.766839378238332,28.011935844834014,False,-1.8027,1.5041,1,1,1,100.0,30.942334739803094,30.942334739803094,18.393782383419698,1.6062176165803042,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
3,88.83876566577675,77.1323397361722,688023,安恒信息,bottom_area,2023-10-31,118.6,2023-10-30,116.0,2.2413793103448225,5.36206896551724,29.6159213639949,False,-1.8374,0.8546,1,1,1,100.0,39.261744966442954,39.261744966442954,17.75862068965518,2.2413793103448225,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
4,80.4864963406278,70.49730258247499,300511,雪榕生物,bottom_area,2023-10-31,5.66,2023-10-30,5.51,2.7223230490018215,3.9927404718693404,27.212681638044923,False,0.0,2.7717,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,17.27767695099818,2.7223230490018215,历史2/3次成功; 当前距低点2.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,80.3550019089397,72.5511777478287,601155,新城控股,bottom_area,2023-10-31,11.9,2023-10-20,11.4,4.385964912280701,6.052631578947364,27.06333973128599,False,-0.5017,0.7719,2,2,2,100.0,24.2536438055306,24.642857142857142,15.6140350877193,4.385964912280701,历史2/2次成功; 当前距低点4.39%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
6,77.40719708866592,70.21948065521434,600004,白云机场,bottom_area,2023-10-31,10.59,2023-10-23,10.12,4.644268774703564,9.584980237154157,31.38983050847458,True,-4.2495,1.2318,1,1,1,100.0,32.57211538461537,32.57211538461537,15.355731225296438,4.644268774703564,历史1/1次成功; 当前距低点4.64%; 最新日涨幅-4.25%; 状态bottom_area; 底部已确认
7,68.69877488745888,58.64244358478403,603326,我乐家居,bottom_area,2023-10-31,10.03,2023-10-23,9.9,1.313131313131303,5.05050505050505,30.76923076923077,False,-1.4735,3.0052,1,2,1,50.0,20.141843971631218,20.141843971631218,18.6868686868687,1.313131313131303,历史1/2次成功; 当前距低点1.31%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
8,61.823711702500376,54.564701305067096,000014,沙河股份,bottom_area,2023-10-31,11.17,2023-10-23,10.83,3.1394275161588165,5.909510618651899,31.671924290220822,False,-1.4991,4.5149,1,2,1,50.0,20.605355064027936,20.605355064027936,16.860572483841185,3.1394275161588165,历史1/2次成功; 当前距低点3.14%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
9,58.79063771311043,53.28633497901441,002080,中材科技,bottom_area,2023-10-31,17.29,2023-10-26,16.53,4.597701149425275,5.56563823351481,27.244718309859145,False,0.0579,0.4906,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,15.402298850574725,4.597701149425275,历史1/3次成功; 当前距低点4.60%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
10,58.61234362934365,52.167000000000016,002366,融发核电,bottom_area,2023-10-31,5.18,2023-10-23,5.0,3.5999999999999943,8.000000000000007,28.469241773962807,True,-1.5209,1.9321,1,4,1,25.0,25.0,25.0,16.400000000000006,3.5999999999999943,历史1/4次成功; 当前距低点3.60%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
11,58.53206994475163,53.43592765751435,600328,中盐化工,bottom_area,2023-10-31,7.99,2023-10-26,7.61,4.9934296977660955,6.17608409986859,28.207547169811313,False,-0.4981,0.4583,1,2,1,50.0,37.26315789473683,37.26315789473683,15.006570302233907,4.9934296977660955,历史1/2次成功; 当前距低点4.99%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
12,55.410557305651835,49.952139918599194,300454,深信服,bottom_area,2023-10-31,83.9,2023-10-27,80.44,4.301342615614132,6.364992541024373,27.150878464046375,False,-1.2709,0.797,1,3,1,33.33333333333333,29.49391262831224,29.49391262831224,15.69865738438587,4.301342615614132,历史1/3次成功; 当前距低点4.30%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
13,53.53978519361042,48.6613890152549,000428,华天酒店,bottom_area,2023-10-31,3.97,2023-10-23,3.79,4.749340369393145,6.596306068601583,32.32142857142857,False,-0.9975,0.9994,1,3,1,33.33333333333333,28.045977011494273,28.045977011494273,15.250659630606854,4.749340369393145,历史1/3次成功; 当前距低点4.75%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
14,52.643619055741325,47.2590282234433,300620,光库科技,bottom_area,2023-10-31,38.6,2023-10-26,37.09,4.071178215152326,7.1178215152331985,28.46673095467695,True,-2.402,2.9957,1,6,1,16.666666666666664,22.444343480236245,22.444343480236245,15.928821784847674,4.071178215152326,历史1/6次成功; 当前距低点4.07%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
