rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.34764293957333,78.39725432529735,000735,罗牛山,bottom_area,2026-01-15,7.98,11.38,2026-01-15,7.9,1.0126582278481022,3.670886075949356,30.579964850615116,29.876977152899826,False,-1.845,4.951,3,4,3,75.0,35.16728540210225,44.303797468354425,18.9873417721519,1.0126582278481022,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
2,89.89164300528765,78.97291996578204,301687,新广益,bottom_area,2026-01-15,63.07,88.3,2026-01-14,61.3,2.8874388254486187,3.572593800978801,30.577576443941112,28.573046432616078,False,1.3173,17.6133,1,1,1,100.0,34.60365853658537,34.60365853658537,17.112561174551384,2.8874388254486187,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
3,88.67574583098259,73.89645485915216,002413,雷科防务,bottom_area,2026-01-15,14.68,20.29,2026-01-15,14.68,0.0,4.427792915531337,27.649088220798422,27.649088220798422,False,-9.9939,10.4708,2,2,2,100.0,40.034703543828805,51.174934725848566,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
4,86.300716065445,71.91726338787083,603278,大业股份,bottom_area,2026-01-15,12.92,17.72,2026-01-15,12.92,0.0,4.953560371517033,27.088036117381485,27.088036117381485,False,-10.0279,12.7997,2,2,2,100.0,29.393889182101233,31.206657420249666,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
5,84.23150846271696,73.5548849587665,300779,惠城环保,bottom_area,2026-01-15,108.7,155.5,2026-01-15,105.99,2.5568449853759865,8.689499009340512,31.83922829581994,30.096463022508036,False,-5.4865,7.2786,1,1,1,100.0,34.11016949152542,34.11016949152542,17.443155014624015,2.5568449853759865,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-5.49%; 状态bottom_area; 底部未确认
6,83.044099378882,69.20341614906833,601698,中国卫通,bottom_area,2026-01-15,39.28,53.88,2026-01-15,39.28,0.0,9.47046843177189,27.097253155159617,27.097253155159617,False,-9.9908,4.8602,1,1,1,100.0,31.469979296066242,31.469979296066242,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
7,77.10156388325312,69.86880016306962,603178,圣龙股份,bottom_area,2026-01-15,18.47,24.59,2025-12-05,17.66,4.586636466591159,10.135900339750844,28.182187881252542,24.888165921106147,True,-1.0712,1.8308,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,15.413363533408841,4.586636466591159,历史5/7次成功; 当前距低点4.59%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
8,71.754535341258,59.93871553773131,600693,东百集团,bottom_area,2026-01-15,15.34,22.22,2026-01-15,15.32,0.13054830287205987,12.728459530026104,31.05310531053105,30.96309630963096,False,-9.8707,13.0993,2,4,2,50.0,29.335299291825866,30.632090761750412,19.86945169712794,0.13054830287205987,历史2/4次成功; 当前距低点0.13%; 最新日涨幅-9.87%; 状态bottom_area; 底部未确认
9,71.67878487940753,64.35372908080858,600325,华发股份,bottom_area,2026-01-15,4.34,5.74,2025-12-31,4.17,4.0767386091127085,6.474820143884903,27.351916376306622,24.39024390243903,False,0.9302,1.2583,2,4,2,50.0,28.917704890244938,32.553606237816766,15.923261390887292,4.0767386091127085,历史2/4次成功; 当前距低点4.08%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
10,71.39111978085198,65.1657850115885,000692,惠天热电,bottom_area,2026-01-15,3.58,4.77,2025-12-17,3.41,4.985337243401757,9.090909090909092,28.511530398322844,24.947589098532486,True,-1.6484,2.1368,3,5,3,60.0,36.0341608954005,59.042553191489375,15.014662756598243,4.985337243401757,历史3/5次成功; 当前距低点4.99%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
11,69.66893532946062,58.96074442073637,000572,海马汽车,bottom_area,2026-01-15,7.18,10.2,2026-01-15,7.12,0.8426966292134775,2.247191011235957,30.19607843137254,29.607843137254903,False,-1.9126,5.1408,3,8,3,37.5,49.67522975990913,95.5116696588869,19.157303370786526,0.8426966292134775,历史3/8次成功; 当前距低点0.84%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
12,59.42725443396774,52.131606214121916,000547,航天发展,bottom_area,2026-01-15,30.04,40.65,2026-01-15,29.22,2.806297056810405,11.054072553045872,28.11808118081181,26.10086100861009,False,-7.4838,22.1951,1,4,1,25.0,34.489051094890506,34.489051094890506,17.193702943189596,2.806297056810405,历史1/4次成功; 当前距低点2.81%; 最新日涨幅-7.48%; 状态bottom_area; 底部未确认
13,56.12099742606764,50.125246756364085,301517,陕西华达,bottom_area,2026-01-15,78.0,103.99,2026-01-15,75.15,3.7924151696606705,16.540252827677968,27.73343590729877,24.992787768054615,False,-12.927,23.5934,1,3,1,33.33333333333333,34.40118284869394,34.40118284869394,16.207584830339332,3.7924151696606705,历史1/3次成功; 当前距低点3.79%; 最新日涨幅-12.93%; 状态bottom_area; 底部未确认
