rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.00520640543118,76.08154755217113,002825,纳尔股份,bottom_area,2023-07-14,8.78,2023-07-07,8.66,1.3856812933025313,2.886836027713626,32.55451713395638,False,-0.791,0.7836,1,1,1,100.0,23.123123123123136,23.123123123123136,6.614318706697469,1.3856812933025313,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
2,77.45323820378097,75.66071847486057,688236,春立医疗,bottom_area,2023-07-14,24.38,2023-06-28,23.72,2.7824620573355827,7.082630691399662,32.228571428571435,True,-2.049,1.0167,1,1,1,100.0,28.788881535407025,28.788881535407025,5.217537942664417,2.7824620573355827,历史1/1次成功; 当前距低点2.78%; 最新日涨幅-2.05%; 状态bottom_area; 底部已确认
3,76.66335120643431,70.98458445040214,002755,奥赛康,bottom_area,2023-07-14,8.08,2023-07-14,8.08,0.0,1.2376237623762332,27.598566308243726,False,-0.9804,0.2606,1,1,1,100.0,30.831099195710454,30.831099195710454,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
4,75.57718499098102,74.8734139977903,000792,盐湖股份,bottom_area,2023-07-14,19.15,2023-05-30,18.5,3.513513513513506,7.5675675675675595,29.49695121951219,True,-0.7258,0.2711,2,2,2,100.0,16.850671013984325,24.904214559386965,4.486486486486494,3.513513513513506,历史2/2次成功; 当前距低点3.51%; 最新日涨幅-0.73%; 状态bottom_area; 底部已确认
5,75.57120174933983,76.75451750173441,688318,财富趋势,bottom_area,2023-07-14,94.39,2023-07-12,90.06,4.807905840550742,6.995336442371748,27.17127607957302,False,0.3082,1.2648,3,3,3,100.0,12.884638807473594,22.012826837691176,3.1920941594492582,4.807905840550742,历史3/3次成功; 当前距低点4.81%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
6,75.35025068062922,76.54115128873572,603335,迪生力,confirmed_rebound,2023-07-14,6.53,2023-06-27,6.23,4.815409309791329,8.828250401284105,27.134502923976612,True,0.0,2.637,3,3,3,100.0,12.85099201645131,20.081135902636923,3.184590690208671,4.815409309791329,历史3/3次成功; 当前距低点4.82%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
7,74.4497533123821,73.42676486864805,002507,涪陵榨菜,bottom_area,2023-07-14,18.26,2023-06-26,17.68,3.28054298642535,4.8076923076923155,28.967456809963842,False,0.3297,0.6138,1,1,1,100.0,9.604316546762583,9.604316546762583,4.71945701357465,3.28054298642535,历史1/1次成功; 当前距低点3.28%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,74.43409688062923,72.31128895445326,601669,中国电建,bottom_area,2023-07-14,5.75,2023-06-07,5.61,2.4955436720142545,5.882352941176471,29.78723404255319,False,-0.519,0.8613,1,1,1,100.0,16.457680250783696,16.457680250783696,5.504456327985746,2.4955436720142545,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
9,73.6724795080657,74.77245965002759,605178,时空科技,bottom_area,2023-07-14,22.84,2023-06-26,21.8,4.770642201834859,7.4311926605504635,29.4041450777202,True,0.1754,2.7358,2,2,2,100.0,9.244751990382023,9.557235421166304,3.229357798165142,4.770642201834859,历史2/2次成功; 当前距低点4.77%; 最新日涨幅0.18%; 状态bottom_area; 底部已确认
10,73.44190241834788,73.81274908039433,688156,路德科技,bottom_area,2023-07-14,26.91,2023-07-11,25.81,4.261913986826817,6.5478496706702884,28.285634898582945,False,-1.6088,1.0576,2,2,2,100.0,29.515661130964897,44.22535211267606,3.738086013173183,4.261913986826817,历史2/2次成功; 当前距低点4.26%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
11,71.6115696538787,71.91587484329828,601360,三六零,bottom_area,2023-07-14,12.1,2023-07-12,11.61,4.220499569336781,6.287683031869082,28.15594059405941,False,2.4555,3.0372,1,1,1,100.0,13.003300330033007,13.003300330033007,3.77950043066322,4.220499569336781,历史1/1次成功; 当前距低点4.22%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
12,70.72356273669035,70.87276856524876,600935,华塑股份,bottom_area,2023-07-14,3.8,2023-06-27,3.65,4.109589041095888,6.575342465753431,28.571428571428577,False,-0.5236,0.1753,1,1,1,100.0,28.50877192982458,28.50877192982458,3.8904109589041123,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
