rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.92672489877089,83.2499477658155,688181,八亿时空,bottom_area,2023-05-11,33.88,2023-05-10,33.33,1.6501650165016633,2.9402940294029527,28.751603249251822,False,0.3852,0.62,2,2,2,100.0,25.76518281418983,28.477257745550418,18.349834983498337,1.6501650165016633,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,93.81219842479216,80.18344502819068,688328,深科达,bottom_area,2023-05-11,19.78,2023-05-10,19.51,1.383905689390054,2.5627883136852896,29.285973178687925,False,0.2026,1.5837,1,1,1,100.0,22.681451612903224,22.681451612903224,18.616094310609945,1.383905689390054,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,92.98813987177921,79.80239870623716,002385,大北农,bottom_area,2023-05-11,6.96,2023-04-25,6.85,1.605839416058399,4.963503649635047,30.73811931243681,False,0.1439,0.8362,1,1,1,100.0,23.353293413173663,23.353293413173663,18.394160583941602,1.605839416058399,历史1/1次成功; 当前距低点1.61%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
4,90.63417548088283,77.61194699314424,300762,上海瀚讯,bottom_area,2023-05-11,11.61,2023-05-10,11.44,1.4860139860139854,3.1468531468531578,27.50316856780735,False,-1.2755,0.9504,1,1,1,100.0,32.580961727183514,32.580961727183514,18.513986013986017,1.4860139860139854,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
5,90.30706944876987,75.4089068825911,000935,四川双马,bottom_area,2023-05-11,18.07,2023-05-11,18.05,0.11080332409972062,2.216066481994452,32.949479940564636,False,-1.6866,0.4111,1,1,1,100.0,43.71794871794874,43.71794871794874,19.88919667590028,0.11080332409972062,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
6,89.67744357512517,76.58056908224505,688289,圣湘生物,bottom_area,2023-05-11,18.22,2023-04-26,17.98,1.334816462736365,12.45828698553948,27.058823529411757,False,-1.032,1.0063,1,1,1,100.0,25.182530200451346,25.182530200451346,18.665183537263637,1.334816462736365,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
7,88.0482996406268,77.77643924700355,300661,圣邦股份,bottom_area,2023-05-11,123.39,2023-04-25,119.58,3.186151530356249,6.790433182806494,30.20079383609619,False,0.3987,0.4884,1,1,1,100.0,31.832606108687024,31.832606108687024,16.81384846964375,3.186151530356249,历史1/1次成功; 当前距低点3.19%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
8,87.48198347539419,77.88966072589918,688075,安旭生物,bottom_area,2023-05-11,66.99,2023-05-10,64.65,3.619489559164716,4.485692188708416,30.37906525953047,False,2.2904,2.091,4,5,4,80.0,31.086542584917854,40.134529147982065,16.380510440835288,3.619489559164716,历史4/5次成功; 当前距低点3.62%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
9,86.87877139819801,76.31564208885426,001309,德明利,bottom_area,2023-05-11,64.3,2023-05-10,62.5,2.8799999999999955,4.783999999999992,27.325581395348834,False,1.5477,6.0296,1,1,1,100.0,20.226032735775533,20.226032735775533,17.120000000000005,2.8799999999999955,历史1/1次成功; 当前距低点2.88%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
10,85.9011020039237,75.86163164626349,300353,东土科技,bottom_area,2023-05-11,10.73,2023-05-10,10.4,3.173076923076924,4.038461538461537,32.90322580645161,False,1.6098,2.5106,1,1,1,100.0,21.377672209026137,21.377672209026137,16.826923076923077,3.173076923076924,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
11,83.98805109131614,74.57738586948722,688227,品高股份,bottom_area,2023-05-11,24.44,2023-05-04,23.62,3.471634208298054,12.066045723962734,29.132913291329128,True,-1.0927,2.262,1,1,1,100.0,31.412429378531087,31.412429378531087,16.528365791701948,3.471634208298054,历史1/1次成功; 当前距低点3.47%; 最新日涨幅-1.09%; 状态bottom_area; 底部已确认
