rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.22798140477548,75.75516245487364,002686,亿利达,bottom_area,2022-05-18,5.7,2022-05-18,5.54,2.8880866425992804,7.220216606498202,28.331177231565334,False,-7.3171,22.4464,1,1,1,100.0,75.68181818181817,75.68181818181817,17.11191335740072,2.8880866425992804,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-7.32%; 状态bottom_area; 底部未确认
2,85.80067705108253,75.09933799452682,603078,江化微,bottom_area,2022-05-18,23.72,2022-05-17,23.1,2.6839826839826726,13.679653679653681,29.357798165137616,True,-1.943,10.3839,1,1,1,100.0,24.563540397888758,24.563540397888758,17.31601731601733,2.6839826839826726,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-1.94%; 状态bottom_area; 底部已确认
3,76.28950972588565,65.69679645024382,603229,奥翔药业,bottom_area,2022-05-18,66.97,2022-05-18,65.79,1.793585651314778,5.7759537923696564,29.921175969322526,False,0.2695,4.9306,1,2,1,50.0,41.48479427549196,41.48479427549196,18.206414348685225,1.793585651314778,历史1/2次成功; 当前距低点1.79%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
4,71.35392230335985,59.743313359346864,605090,九丰能源,bottom_area,2022-05-18,19.44,2022-05-18,19.39,0.2578648788035106,1.5987622485817365,30.0,False,0.1546,2.6278,1,2,1,50.0,30.490566037735846,30.490566037735846,19.74213512119649,0.2578648788035106,历史1/2次成功; 当前距低点0.26%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
5,68.13695839327623,58.500122322466396,002690,美亚光电,bottom_area,2022-05-18,18.09,2022-05-16,17.8,1.6292134831460625,5.05617977528089,28.856914468425256,False,-1.3093,0.5277,1,2,1,50.0,23.25123152709359,23.25123152709359,18.370786516853936,1.6292134831460625,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
