rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,77.6543447598805,64.81163629308048,002690,美亚光电,bottom_area,2023-05-12,23.84,2023-05-12,23.82,0.0839630562552459,2.3929471032745604,28.253012048192776,False,-1.8526,0.4968,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,19.916036943744757,0.0839630562552459,历史2/3次成功; 当前距低点0.08%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
18,71.73082258856223,61.5062164421349,688350,富淼科技,bottom_area,2023-05-12,16.29,2023-05-05,16.04,1.5586034912718205,4.301745635910232,32.774518021793796,False,-1.2727,1.1075,1,2,1,50.0,38.54748603351957,38.54748603351957,18.441396508728182,1.5586034912718205,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
19,70.96259249133234,61.95321219462955,002317,众生药业,bottom_area,2023-05-12,16.93,2023-05-12,16.51,2.5439127801332413,3.8764385221077955,27.58771929824561,False,1.6817,4.2285,1,3,1,33.33333333333333,58.31999999999999,58.31999999999999,17.45608721986676,2.5439127801332413,历史1/3次成功; 当前距低点2.54%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
20,70.23562996353616,60.313144844033815,300552,万集科技,bottom_area,2023-05-12,17.36,2023-05-04,17.08,1.6393442622950887,7.728337236533961,31.129032258064527,True,-0.2872,1.5618,1,2,1,50.0,23.929299796057098,23.929299796057098,18.36065573770491,1.6393442622950887,历史1/2次成功; 当前距低点1.64%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
21,70.01953369156841,59.43601243453208,002802,洪汇新材,bottom_area,2023-05-12,10.03,2023-05-12,9.93,1.007049345417922,2.920443101711993,31.1373092926491,False,-1.8591,1.5107,1,2,1,50.0,20.65637065637066,20.65637065637066,18.99295065458208,1.007049345417922,历史1/2次成功; 当前距低点1.01%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
22,69.09895305921256,57.81257316550408,688010,福光股份,bottom_area,2023-05-12,23.03,2023-05-10,22.98,0.21758050478677418,3.829416884247167,30.907997594708352,False,-0.4323,0.6645,1,2,1,50.0,42.08955223880597,42.08955223880597,19.782419495213226,0.21758050478677418,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
23,68.74349476476395,59.290460405156544,601369,陕鼓动力,bottom_area,2023-05-12,9.22,2023-05-10,9.05,1.8784530386740321,4.972375690607726,32.31114435302916,False,-1.7058,0.3412,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,18.12154696132597,1.8784530386740321,历史1/3次成功; 当前距低点1.88%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
24,67.05096017011964,57.37490697483813,002724,海洋王,bottom_area,2023-05-12,8.42,2023-04-25,8.3,1.445783132530111,8.192771084337345,28.999144568006834,True,-1.0576,0.9903,1,3,1,33.33333333333333,25.204081632653047,25.204081632653047,18.55421686746989,1.445783132530111,历史1/3次成功; 当前距低点1.45%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
25,66.6045128267534,57.5542774566474,002079,苏州固锝,bottom_area,2023-05-12,12.35,2023-05-10,12.11,1.98183319570603,4.624277456647404,28.512396694214885,False,-1.3578,1.6694,1,2,1,50.0,22.488479262672804,22.488479262672804,18.018166804293973,1.98183319570603,历史1/2次成功; 当前距低点1.98%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
26,65.76816322044677,56.67908476296266,002455,百川股份,bottom_area,2023-05-12,7.77,2023-05-05,7.63,1.8348623853210968,4.587155963302759,28.691588785046722,False,-2.0177,0.9085,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,18.165137614678905,1.8348623853210968,历史1/3次成功; 当前距低点1.83%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
27,65.72488910104624,55.13692388081605,300454,深信服,bottom_area,2023-05-12,113.18,2023-05-12,112.77,0.3635718719517698,2.7578256628535955,32.67462686567165,False,-1.4111,0.7276,1,2,1,50.0,29.49391262831224,29.49391262831224,19.63642812804823,0.3635718719517698,历史1/2次成功; 当前距低点0.36%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
28,64.94406809879013,58.045714046592835,300758,七彩化学,bottom_area,2023-05-12,10.03,2023-04-26,9.66,3.8302277432712133,7.349896480331253,30.252707581227433,True,-1.8591,0.8489,1,2,1,50.0,38.59480269489894,38.59480269489894,16.169772256728788,3.8302277432712133,历史1/2次成功; 当前距低点3.83%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
29,64.77309232944631,57.562025409957165,002553,南方精工,bottom_area,2023-05-12,10.01,2023-04-26,9.67,3.5160289555325734,7.445708376421931,28.844738778513612,True,-2.1505,1.6839,1,2,1,50.0,32.14285714285715,32.14285714285715,16.483971044467427,3.5160289555325734,历史1/2次成功; 当前距低点3.52%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
30,64.5189749541103,56.16024135681668,002309,中利集团,bottom_area,2023-05-12,3.87,2023-05-10,3.78,2.3809523809523894,8.730158730158744,31.021897810218984,True,-1.7766,1.1231,1,3,1,33.33333333333333,30.136986301369873,30.136986301369873,17.619047619047613,2.3809523809523894,历史1/3次成功; 当前距低点2.38%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
31,63.89848991490191,53.838013384034554,000059,华锦股份,bottom_area,2023-05-12,6.7,2023-05-12,6.66,0.6006006006006012,3.003003003003006,30.334728033472807,False,-2.1898,0.9564,1,2,1,50.0,25.41603630862328,25.41603630862328,19.3993993993994,0.6006006006006012,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
32,63.195541025365344,53.34688528115257,600203,福日电子,bottom_area,2023-05-12,5.72,2023-05-09,5.68,0.7042253521126767,3.3450704225352186,28.19216182048041,False,-1.5491,1.1004,1,2,1,50.0,24.045801526717554,24.045801526717554,19.295774647887324,0.7042253521126767,历史1/2次成功; 当前距低点0.70%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
33,61.21917587731419,54.7822602928986,600405,动力源,bottom_area,2023-05-12,5.6,2023-04-28,5.39,3.896103896103896,8.719851576994445,29.908972691807552,True,-1.5817,1.6037,1,2,1,50.0,21.8568665377176,21.8568665377176,16.103896103896105,3.896103896103896,历史1/2次成功; 当前距低点3.90%; 最新日涨幅-1.58%; 状态bottom_area; 底部已确认
34,59.04289666878147,52.81434643549239,605286,同力天启,bottom_area,2023-05-12,29.22,2023-05-10,28.13,3.874866690366157,8.922858158549598,30.146511050409742,True,-2.7621,2.9175,1,3,1,33.33333333333333,30.46080191502094,30.46080191502094,16.125133309633842,3.874866690366157,历史1/3次成功; 当前距低点3.87%; 最新日涨幅-2.76%; 状态bottom_area; 底部已确认
35,58.32218644615905,48.98174454422558,300727,润禾材料,bottom_area,2023-05-12,26.0,2023-05-12,25.89,0.42487446890691166,6.527616840478941,30.36578805809575,False,-5.0748,3.2471,1,3,1,33.33333333333333,26.812499999999993,26.812499999999993,19.57512553109309,0.42487446890691166,历史1/3次成功; 当前距低点0.42%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
