rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
30,79.11225806451613,76.64,605133,嵘泰股份,bottom_area,2023-04-25,28.21,2023-04-25,27.3,3.333333333333334,5.3113553113553085,28.79499217527387,False,-2.2184,7.0609,1,1,1,100.0,60.01483679525222,60.01483679525222,6.666666666666667,3.333333333333334,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
31,79.04258939212781,74.56848055861113,688213,思特威,bottom_area,2023-04-25,52.5,2023-04-25,51.5,1.9417475728155338,8.34951456310679,28.91649413388544,False,-5.2347,4.7972,1,1,1,100.0,32.01970443349754,32.01970443349754,8.058252427184467,1.9417475728155338,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
32,79.03755886238925,74.26442031652559,603366,日出东方,bottom_area,2023-04-25,5.29,2023-04-25,5.2,1.7307692307692282,4.038461538461537,28.57142857142857,False,-1.306,1.2428,1,1,1,100.0,17.583732057416277,17.583732057416277,8.269230769230774,1.7307692307692282,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
33,78.94007535287605,77.29484373915115,300665,飞鹿股份,bottom_area,2023-04-25,7.47,2023-04-24,7.19,3.894297635604998,4.728789986091792,30.329457364341085,False,2.4691,5.627,2,2,2,100.0,21.25721692650826,22.6044226044226,6.105702364395003,3.894297635604998,历史2/2次成功; 当前距低点3.89%; 最新日涨幅2.47%; 状态bottom_area; 底部未确认
34,78.7418107124145,73.68297929792978,300510,金冠股份,bottom_area,2023-04-25,4.69,2023-04-25,4.62,1.5151515151515214,6.49350649350649,28.593508500772792,False,-3.6961,2.3582,1,1,1,100.0,22.02970297029702,22.02970297029702,8.484848484848479,1.5151515151515214,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
35,78.2229301228909,74.6521478001103,688259,创耀科技,confirmed_rebound,2023-04-25,63.2,2023-04-25,61.63,2.5474606522797343,13.386337822489036,30.36158192090395,False,-11.5465,7.0843,3,3,3,100.0,16.776118748968262,19.50136612021858,7.452539347720267,2.5474606522797343,历史3/3次成功; 当前距低点2.55%; 最新日涨幅-11.55%; 状态confirmed_rebound; 底部未确认
36,78.06783051448754,75.12699242616634,603138,海量数据,bottom_area,2023-04-25,21.05,2023-04-25,20.44,2.984344422700584,4.500978473581204,32.31788079470198,False,1.4947,3.741,1,1,1,100.0,15.114503816793897,15.114503816793897,7.015655577299416,2.984344422700584,历史1/1次成功; 当前距低点2.98%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
37,78.03384343538059,73.78558261798166,600319,亚星化学,bottom_area,2023-04-25,4.95,2023-04-25,4.85,2.0618556701031037,5.567010309278361,28.4660766961652,False,-3.1311,1.5052,1,1,1,100.0,29.282868525896426,29.282868525896426,7.938144329896897,2.0618556701031037,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
38,77.67995937163299,72.94200620841622,601061,中信金属,bottom_area,2023-04-25,7.79,2023-04-25,7.66,1.697127937336813,4.960835509138368,28.544776119402986,False,-2.5031,8.4133,1,1,1,100.0,10.061601642710476,10.061601642710476,8.302872062663187,1.697127937336813,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
39,77.52029874965432,71.94512954682929,601369,陕鼓动力,bottom_area,2023-04-25,9.33,2023-04-25,9.23,1.0834236186348825,4.658721560130007,30.964846671652946,False,-2.4059,0.8258,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,8.916576381365118,1.0834236186348825,历史2/3次成功; 当前距低点1.08%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
40,77.3563543377632,70.32395848887562,002482,广田集团,bottom_area,2023-04-25,1.51,2023-04-25,1.51,0.0,1.986754966887419,28.095238095238095,False,-5.0314,0.3772,2,2,2,100.0,20.827733811159227,23.423423423423422,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
41,77.14651877564718,73.64280808272461,002077,大港股份,bottom_area,2023-04-25,13.62,2023-04-25,13.28,2.560240963855421,5.7228915662650595,27.786840674279507,False,-2.8531,3.6657,1,1,1,100.0,24.40944881889765,24.40944881889765,7.439759036144579,2.560240963855421,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
42,76.8007153832146,73.24084466596995,300661,圣邦股份,bottom_area,2023-04-25,122.58,2023-04-25,119.58,2.508780732563974,6.514467302224459,30.20079383609619,False,-4.122,2.5336,1,1,1,100.0,31.832606108687024,31.832606108687024,7.491219267436026,2.508780732563974,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
43,76.77801902212998,70.12552429667521,000629,钒钛股份,bottom_area,2023-04-25,4.09,2023-04-25,4.08,0.24509803921568107,9.803921568627459,31.08108108108108,False,-9.713,2.5158,1,1,1,100.0,27.173913043478265,27.173913043478265,9.75490196078432,0.24509803921568107,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-9.71%; 状态bottom_area; 底部未确认
44,76.57694254028259,72.1990208811607,300671,富满微,bottom_area,2023-04-25,44.28,2023-04-25,43.45,1.9102416570770961,6.996547756041424,30.5022392834293,False,-4.856,2.9995,1,1,1,100.0,18.894472361809044,18.894472361809044,8.089758342922904,1.9102416570770961,历史1/1次成功; 当前距低点1.91%; 最新日涨幅-4.86%; 状态bottom_area; 底部未确认
45,76.1087293939668,71.51544475460379,300712,永福股份,bottom_area,2023-04-25,35.81,2023-04-25,35.2,1.7329545454545439,6.789772727272729,32.56704980842912,False,-4.4557,1.8787,1,1,1,100.0,13.046135044301874,13.046135044301874,8.267045454545457,1.7329545454545439,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
46,76.10490361683603,72.15313207547172,600400,红豆股份,bottom_area,2023-04-25,3.25,2023-04-25,3.18,2.201257861635215,4.088050314465405,30.869565217391298,False,-1.2158,0.6725,1,1,1,100.0,12.00000000000001,12.00000000000001,7.798742138364785,2.201257861635215,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
47,75.93913400966831,71.24431624674197,300635,中达安,bottom_area,2023-04-25,11.7,2023-04-25,11.51,1.6507384882710645,6.255430060816687,27.5645059786029,False,-3.7037,1.2313,1,1,1,100.0,10.580645161290327,10.580645161290327,8.349261511728937,1.6507384882710645,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
48,75.9347449169578,71.45307288956495,000561,烽火电子,bottom_area,2023-04-25,8.45,2023-04-25,8.3,1.807228915662633,5.180722891566261,27.826086956521735,False,-3.0963,1.6294,1,1,1,100.0,13.621262458471767,13.621262458471767,8.192771084337368,1.807228915662633,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
49,75.77291239898533,69.91616682976715,002806,华锋股份,bottom_area,2023-04-25,10.35,2023-04-25,10.27,0.7789678675754632,4.868549172346641,31.896551724137932,False,-3.3613,2.2067,2,2,2,100.0,15.925879396984929,20.35175879396985,9.221032132424538,0.7789678675754632,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
50,75.69974698795183,68.81795180722892,002026,山东威达,bottom_area,2023-04-25,8.37,2023-04-25,8.37,0.0,3.942652329749105,28.947368421052634,False,-10.0,2.015,1,1,1,100.0,29.397590361445776,29.397590361445776,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
51,75.54843618564927,71.03526606391723,300423,昇辉科技,bottom_area,2023-04-25,9.79,2023-04-25,9.62,1.7671517671517665,5.5093555093555215,32.443820224719104,False,-3.2609,3.0463,1,1,1,100.0,10.883720930232558,10.883720930232558,8.232848232848234,1.7671517671517665,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
