rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
78,60.666653982347626,56.254533692722354,300610,晨化股份,bottom_area,2023-04-25,10.71,2023-04-25,10.6,1.037735849056615,5.471698113207548,27.989130434782616,False,-3.6871,1.6206,1,2,1,50.0,14.142857142857146,14.142857142857146,8.962264150943385,1.037735849056615,历史1/2次成功; 当前距低点1.04%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
79,60.37490207759047,56.81713784400759,002112,三变科技,bottom_area,2023-04-25,9.55,2023-04-25,9.38,1.8123667377398713,5.7569296375266426,29.046898638426622,False,-2.4515,8.741,1,2,1,50.0,16.44803229061553,16.44803229061553,8.18763326226013,1.8123667377398713,历史1/2次成功; 当前距低点1.81%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
80,60.05800737991293,55.84726388529759,001266,宏英智能,bottom_area,2023-04-25,23.9,2023-04-25,23.62,1.185436071126154,6.4775613886536725,28.6404833836858,False,-5.1211,3.5581,1,2,1,50.0,13.763753373468953,13.763753373468953,8.814563928873847,1.185436071126154,历史1/2次成功; 当前距低点1.19%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
81,59.909749019675445,56.568679985744,603029,天鹅股份,bottom_area,2023-04-25,18.98,2023-04-25,18.61,1.9881783987103763,5.749596990865128,29.640831758034025,False,-2.316,2.8565,1,2,1,50.0,17.26734803657881,17.26734803657881,8.011821601289624,1.9881783987103763,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
82,59.81826676209152,55.54530399701648,688116,天奈科技,bottom_area,2023-04-25,51.88,2023-04-25,51.31,1.1108945624634579,5.632430325472618,28.39799051074518,False,-3.5329,2.5187,1,2,1,50.0,11.226578491576134,11.226578491576134,8.889105437536543,1.1108945624634579,历史1/2次成功; 当前距低点1.11%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
83,59.454495741614494,55.33638983639372,002623,亚玛顿,bottom_area,2023-04-25,26.27,2023-04-25,25.95,1.233140655105974,5.85741811175337,30.42895442359249,False,-3.7376,1.493,1,2,1,50.0,11.601884570082444,11.601884570082444,8.766859344894026,1.233140655105974,历史1/2次成功; 当前距低点1.23%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
84,59.39386942474349,56.34417269858235,002758,浙农股份,bottom_area,2023-04-25,12.36,2023-04-25,12.09,2.233250620347391,4.466501240694797,28.249258160237396,False,-1.3567,1.925,1,2,1,50.0,19.064430714916153,19.064430714916153,7.76674937965261,2.233250620347391,历史1/2次成功; 当前距低点2.23%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
85,59.361558160312086,56.07889134960358,002769,普路通,bottom_area,2023-04-25,8.61,2023-04-25,8.44,2.014218009478672,4.383886255924183,28.231292517006807,False,-1.8244,1.5049,1,2,1,50.0,14.953271028037399,14.953271028037399,7.985781990521329,2.014218009478672,历史1/2次成功; 当前距低点2.01%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
86,57.08286387913199,53.76424464697372,688127,蓝特光学,bottom_area,2023-04-25,16.46,2023-04-25,16.16,1.8564356435643607,9.282178217821782,28.08188696039163,False,-4.1351,2.3303,1,2,1,50.0,10.789881259679916,10.789881259679916,8.14356435643564,1.8564356435643607,历史1/2次成功; 当前距低点1.86%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
87,56.76063335380857,52.98780952848552,300458,全志科技,bottom_area,2023-04-25,27.71,2023-04-25,27.33,1.3904134650567237,3.732162458836455,27.984189723320167,False,-2.2575,6.4883,1,3,1,33.33333333333333,10.132359653126422,10.132359653126422,8.609586534943277,1.3904134650567237,历史1/3次成功; 当前距低点1.39%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
88,55.82284049701575,53.54884830856963,002403,爱仕达,bottom_area,2023-04-25,8.03,2023-04-25,7.81,2.8169014084507014,4.73751600512164,28.545288197621225,False,-1.3514,1.6161,1,2,1,50.0,11.190233977619528,11.190233977619528,7.183098591549299,2.8169014084507014,历史1/2次成功; 当前距低点2.82%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
