rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.74694479057679,77.87151105496177,688236,春立医疗,bottom_area,2023-07-17,24.15,2023-06-28,23.72,1.8128161888701504,7.082630691399662,32.228571428571435,True,-0.9434,0.7462,1,1,1,100.0,28.788881535407025,28.788881535407025,8.18718381112985,1.8128161888701504,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-0.94%; 状态bottom_area; 底部已确认
2,82.03288900666719,76.94158696929384,002755,奥赛康,bottom_area,2023-07-17,8.07,2023-07-17,7.94,1.6372795969773284,2.0151133501259353,28.853046594982075,False,-0.1238,0.4223,1,1,1,100.0,30.831099195710454,30.831099195710454,8.362720403022672,1.6372795969773284,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
3,81.47388182888155,76.06320055246883,002825,纳尔股份,bottom_area,2023-07-17,8.73,2023-07-17,8.61,1.3937282229965273,1.9744483159117299,32.94392523364487,False,-0.5695,1.1765,1,1,1,100.0,23.123123123123136,23.123123123123136,8.606271777003473,1.3937282229965273,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
4,76.53095162878975,72.71770606675273,601669,中国电建,bottom_area,2023-07-17,5.74,2023-06-07,5.61,2.317290552584668,5.882352941176471,29.78723404255319,False,-0.1739,0.4321,1,1,1,100.0,16.457680250783696,16.457680250783696,7.682709447415332,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
5,76.20088083303934,73.37139870223506,600935,华塑股份,bottom_area,2023-07-17,3.76,2023-06-27,3.65,3.013698630136983,6.575342465753431,28.571428571428577,False,-1.0526,0.3339,1,1,1,100.0,28.50877192982458,28.50877192982458,6.9863013698630185,3.013698630136983,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
6,75.55373787037483,69.18278258808948,688085,三友医疗,bottom_area,2023-07-17,23.89,2023-07-17,23.8,0.37815126050420106,3.3193277310924336,32.46311010215664,False,-2.2104,0.538,1,1,1,100.0,13.52133044107013,13.52133044107013,9.6218487394958,0.37815126050420106,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
7,74.11363908132296,68.79176505664879,603033,三维股份,bottom_area,2023-07-17,15.77,2023-07-17,15.6,1.0897435897435894,5.25641025641027,27.677329624478446,False,-1.9279,0.2543,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,8.910256410256412,1.0897435897435894,历史2/3次成功; 当前距低点1.09%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
8,71.67988920922843,70.65680426065781,002481,双塔食品,bottom_area,2023-07-17,4.42,2023-06-26,4.24,4.245283018867918,8.490566037735835,31.61290322580645,True,-0.4505,0.5152,1,1,1,100.0,19.817470664928287,19.817470664928287,5.754716981132083,4.245283018867918,历史1/1次成功; 当前距低点4.25%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
9,71.09243161804704,70.73758026965487,601360,三六零,bottom_area,2023-07-17,12.16,2023-07-12,11.61,4.73729543496986,6.287683031869082,28.15594059405941,False,0.4959,1.729,1,1,1,100.0,13.003300330033007,13.003300330033007,5.262704565030141,4.73729543496986,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
10,70.53772610742801,65.79251382698608,002403,爱仕达,bottom_area,2023-07-17,9.04,2023-07-17,8.92,1.345291479820619,3.9237668161434938,28.52564102564103,False,-4.7418,6.1472,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,8.654708520179382,1.345291479820619,历史2/3次成功; 当前距低点1.35%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
11,69.06197084112499,67.89745061259502,600990,四创电子,bottom_area,2023-07-17,24.08,2023-07-10,23.13,4.1072200605274505,6.917423259835717,27.921470863197268,False,-0.4959,0.8015,1,1,1,100.0,12.483399734395755,12.483399734395755,5.8927799394725495,4.1072200605274505,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
12,66.86563192733604,66.6201891252955,002153,石基信息,bottom_area,2023-07-17,13.3,2023-07-13,12.69,4.806934594168647,6.698187549251376,28.30508474576271,False,-0.7463,0.5418,1,1,1,100.0,14.193548387096769,14.193548387096769,5.193065405831354,4.806934594168647,历史1/1次成功; 当前距低点4.81%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
13,61.94553114953555,60.27812985399193,000792,盐湖股份,bottom_area,2023-07-17,19.16,2023-05-30,18.5,3.5675675675675684,7.5675675675675595,29.49695121951219,True,0.0522,0.2091,1,2,1,50.0,24.904214559386965,24.904214559386965,6.432432432432432,3.5675675675675684,历史1/2次成功; 当前距低点3.57%; 最新日涨幅0.05%; 状态bottom_area; 底部已确认
14,48.972722368755285,48.393035580840106,688318,财富趋势,bottom_area,2023-07-17,94.0,2023-07-12,90.06,4.374861203642014,6.995336442371748,27.17127607957302,False,-0.4132,0.7196,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,5.625138796357987,4.374861203642014,历史1/3次成功; 当前距低点4.37%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
