rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.04354604429282,80.56857779805647,688160,步科股份,bottom_area,2022-08-29,40.48,2022-08-26,39.87,1.5299724103335828,5.818911462252322,32.02046035805627,False,0.7466,4.3161,1,1,1,100.0,26.542553191489354,26.542553191489354,13.470027589666417,1.5299724103335828,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,89.23876396003119,79.865549132948,002110,三钢闽光,bottom_area,2022-08-29,5.27,2022-08-29,5.19,1.5414258188824506,1.7341040462427717,30.14804845222072,False,0.381,0.4318,1,1,1,100.0,22.90322580645161,22.90322580645161,13.45857418111755,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,89.14751785440752,82.01195536822911,002536,飞龙股份,bottom_area,2022-08-29,7.85,2022-08-29,7.62,3.0183727034120675,4.724409448818902,27.081339712918655,False,0.1276,3.7419,2,2,2,100.0,35.88088780649803,55.505617977528075,11.981627296587932,3.0183727034120675,历史2/2次成功; 当前距低点3.02%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,87.8712234325813,79.42408946877913,603289,泰瑞机器,bottom_area,2022-08-29,11.33,2022-08-29,11.1,2.0720720720720758,4.954954954954961,28.617363344051455,False,0.0,1.8484,1,1,1,100.0,27.034482758620705,27.034482758620705,12.927927927927923,2.0720720720720758,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,83.97903047560429,76.50866397070239,002119,康强电子,bottom_area,2022-08-29,13.14,2022-08-29,12.82,2.496099843993762,3.1981279251170056,29.48294829482948,False,0.9992,4.8247,1,1,1,100.0,16.557911908646,16.557911908646,12.503900156006237,2.496099843993762,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
6,83.8408295986508,73.54836023890263,688155,先惠技术,bottom_area,2022-08-29,85.5,2022-08-29,85.1,0.47003525264395507,10.775558166862517,28.270397842211736,False,-9.7911,8.1194,2,2,2,100.0,31.66688502650995,38.11460912628228,14.529964747356045,0.47003525264395507,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-9.79%; 状态bottom_area; 底部未确认
7,83.77447596573718,76.23525033491575,688083,中望软件,bottom_area,2022-08-29,181.32,2022-08-29,177.01,2.43489068414214,3.830292073894131,31.64845348882111,False,-0.4174,1.0035,2,2,2,100.0,20.144091907310933,21.52777777777778,12.565109315857859,2.43489068414214,历史2/2次成功; 当前距低点2.43%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,80.8710642725562,70.95434926775351,688058,宝兰德,bottom_area,2022-08-29,42.0,2022-08-26,41.8,0.4784688995215379,8.851674641148332,29.152542372881364,False,-2.8902,3.6116,1,1,1,100.0,24.27558257345491,24.27558257345491,14.52153110047846,0.4784688995215379,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
9,80.14162669165201,75.52536195039276,000715,中兴商业,bottom_area,2022-08-29,5.08,2022-08-03,4.87,4.312114989733059,7.802874743326487,27.421758569299552,True,1.1952,1.1002,1,1,1,100.0,24.33862433862435,24.33862433862435,10.687885010266939,4.312114989733059,历史1/1次成功; 当前距低点4.31%; 最新日涨幅1.20%; 状态bottom_area; 底部已确认
10,78.7238414846023,73.69891543239366,002671,龙泉股份,bottom_area,2022-08-29,4.73,2022-08-26,4.55,3.9560439560439695,4.175824175824185,27.316293929712458,False,3.956,1.9628,1,1,1,100.0,19.347826086956534,19.347826086956534,11.04395604395603,3.9560439560439695,历史1/1次成功; 当前距低点3.96%; 最新日涨幅3.96%; 状态bottom_area; 底部未确认
11,78.39932173425576,73.43342175718914,688259,创耀科技,bottom_area,2022-08-29,78.3,2022-08-29,75.3,3.9840637450199203,4.594953519256319,29.342216383597634,False,0.1919,3.5037,1,1,1,100.0,18.26390911739005,18.26390911739005,11.01593625498008,3.9840637450199203,历史1/1次成功; 当前距低点3.98%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
12,76.8410221627666,68.06764666673202,002632,道明光学,bottom_area,2022-08-29,7.13,2022-08-29,7.06,0.9915014164305991,4.532577903682724,29.04522613065327,False,-7.8811,7.679,1,1,1,100.0,25.259515570934255,25.259515570934255,14.0084985835694,0.9915014164305991,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-7.88%; 状态bottom_area; 底部未确认
13,76.82679141476675,72.37022659521305,600248,陕建股份,bottom_area,2022-08-29,4.62,2022-08-29,4.43,4.288939051918745,4.288939051918745,28.548387096774203,False,2.6667,1.2334,1,1,1,100.0,16.28498727735369,16.28498727735369,10.711060948081256,4.288939051918745,历史1/1次成功; 当前距低点4.29%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
14,76.48809491058297,70.84843415628409,603055,台华新材,bottom_area,2022-08-29,11.3,2022-08-29,10.93,3.385178408051244,5.123513266239712,28.70189171559035,False,-0.5282,0.439,1,1,1,100.0,19.498069498069512,19.498069498069512,11.614821591948756,3.385178408051244,历史1/1次成功; 当前距低点3.39%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
15,75.23834002361272,70.11942857142856,300503,昊志机电,bottom_area,2022-08-29,10.89,2022-08-29,10.5,3.7142857142857197,5.714285714285711,27.032661570535097,False,-1.0899,3.694,1,1,1,100.0,19.61290322580645,19.61290322580645,11.28571428571428,3.7142857142857197,历史1/1次成功; 当前距低点3.71%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
16,69.31629097063436,62.27635516892931,688288,鸿泉技术,bottom_area,2022-08-29,19.78,2022-08-29,19.44,1.7489711934156371,4.681069958847737,28.84333821376281,False,0.4061,1.329,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,13.251028806584362,1.7489711934156371,历史1/3次成功; 当前距低点1.75%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
17,64.3569255314157,57.01797788309637,300400,劲拓股份,bottom_area,2022-08-29,16.16,2022-08-29,16.0,1.0000000000000009,2.8124999999999956,28.05755395683453,False,-1.1621,1.5777,1,3,1,33.33333333333333,27.014218009478668,27.014218009478668,13.999999999999998,1.0000000000000009,历史1/3次成功; 当前距低点1.00%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
18,62.30649735719226,57.761269746155634,601606,长城军工,bottom_area,2022-08-29,12.06,2022-08-29,11.66,3.430531732418528,4.030874785591773,27.033792240300375,False,1.0897,1.7139,1,2,1,50.0,18.886462882096076,18.886462882096076,11.569468267581472,3.430531732418528,历史1/2次成功; 当前距低点3.43%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
19,60.37114362016483,56.81795752582466,603180,金牌家居,bottom_area,2022-08-29,24.09,2022-08-29,23.11,4.240588489831244,4.5002163565556,27.463904582548647,False,1.9036,0.9091,1,2,1,50.0,23.744619799139173,23.744619799139173,10.759411510168757,4.240588489831244,历史1/2次成功; 当前距低点4.24%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
20,59.81321815759883,56.077981650616636,605319,无锡振华,bottom_area,2022-08-29,14.18,2022-08-29,13.63,4.035216434336015,5.209097578870132,27.345415778251603,False,0.3539,0.9201,1,2,1,50.0,17.248790972595383,17.248790972595383,10.964783565663984,4.035216434336015,历史1/2次成功; 当前距低点4.04%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
21,55.33980501997061,52.039324379776716,002607,中公教育,bottom_area,2022-08-29,4.47,2022-08-25,4.29,4.195804195804189,5.5944055944055995,28.02013422818792,False,0.9029,1.4662,1,4,1,25.0,18.337408312958438,18.337408312958438,10.80419580419581,4.195804195804189,历史1/4次成功; 当前距低点4.20%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
