rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.8889943243719,91.62261265016353,002779,中坚科技,bottom_area,2025-06-04,97.9,2025-06-04,96.84,1.0945890128046285,1.5386204047914032,28.94563064054589,False,0.772,2.774,4,4,4,100.0,30.635890319129533,38.253119429590015,6.905410987195372,1.0945890128046285,历史4/4次成功; 当前距低点1.09%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
2,95.12319166948981,90.50307739722055,000811,冰轮环境,bottom_area,2025-06-04,9.34,2025-06-03,9.21,1.4115092290987947,2.497285559174795,28.54926299456943,False,0.4301,1.5609,5,5,5,100.0,28.501712040676264,47.451868629671566,6.588490770901205,1.4115092290987947,历史5/5次成功; 当前距低点1.41%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
3,89.99755316132196,87.33441890340639,002819,东方中科,bottom_area,2025-06-04,28.57,2025-05-30,27.89,2.4381498745069905,4.195051989960553,31.575073601570164,False,0.9897,3.6148,5,5,5,100.0,24.050540953130696,51.677148846960186,5.5618501254930095,2.4381498745069905,历史5/5次成功; 当前距低点2.44%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
4,87.72971299287677,84.61714728602325,002136,安纳达,bottom_area,2025-06-04,11.07,2025-06-03,10.84,2.121771217712181,2.583025830258297,27.491638795986617,False,1.0036,8.0917,3,3,3,100.0,22.230030443048534,42.29299363057326,5.878228782287819,2.121771217712181,历史3/3次成功; 当前距低点2.12%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
5,86.80735528245565,82.60816712033518,300819,聚杰微纤,bottom_area,2025-06-04,22.82,2025-06-03,22.5,1.4222222222222236,3.1999999999999953,27.419354838709676,False,1.0181,2.2643,2,2,2,100.0,19.520611758074537,26.54716175842936,6.577777777777777,1.4222222222222236,历史2/2次成功; 当前距低点1.42%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
6,86.73313448789081,82.2256554574853,301316,慧博云通,bottom_area,2025-06-04,41.3,2025-06-03,40.8,1.2254901960784315,5.147058823529416,32.147014801263936,False,-0.8641,12.1177,3,3,3,100.0,20.858995185721092,43.333333333333336,6.774509803921569,1.2254901960784315,历史3/3次成功; 当前距低点1.23%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
7,85.29826516640527,84.08009683431752,603192,汇得科技,bottom_area,2025-06-04,21.59,2025-06-03,20.91,3.2520325203252023,4.638928742228593,30.276758919639875,False,0.8407,5.8602,4,4,4,100.0,16.530811723972995,25.562817719680464,4.747967479674798,3.2520325203252023,历史4/4次成功; 当前距低点3.25%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
8,85.23435983344648,81.21587235604956,688018,乐鑫科技,bottom_area,2025-06-04,136.3,2025-06-04,134.3,1.4892032762472076,1.7498138495904647,32.3766364551863,False,-1.0598,1.3415,2,2,2,100.0,35.32933239727525,36.02954531694619,6.510796723752793,1.4892032762472076,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
9,84.72568806918369,82.02219340498007,300557,理工光科,bottom_area,2025-06-04,24.32,2025-05-29,23.77,2.3138409760201966,7.278081615481701,27.375496486403904,False,0.1235,1.3095,3,3,3,100.0,10.63306898014043,14.165753924790064,5.686159023979803,2.3138409760201966,历史3/3次成功; 当前距低点2.31%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
10,84.4370243791665,81.16748392131107,002041,登海种业,bottom_area,2025-06-04,9.95,2025-06-03,9.76,1.9467213114754047,2.0491803278688634,28.023598820059004,False,0.4036,0.7953,2,2,2,100.0,18.2043468358871,21.395106715252467,6.053278688524595,1.9467213114754047,历史2/2次成功; 当前距低点1.95%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
11,83.5291684690166,80.83036547089087,002304,洋河股份,bottom_area,2025-06-04,66.49,2025-05-29,65.0,2.2923076923076846,2.5999999999999965,31.57894736842105,False,0.6967,0.2866,2,2,2,100.0,20.62810220081931,20.781426953567394,5.707692307692316,2.2923076923076846,历史2/2次成功; 当前距低点2.29%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
12,82.747888207964,81.37148322311545,301518,长华化学,bottom_area,2025-06-04,23.08,2025-06-03,22.38,3.127792672028594,3.3958891867739123,27.005870841487283,False,0.6542,10.344,2,2,2,100.0,33.77876621150887,55.817490494296564,4.872207327971406,3.127792672028594,历史2/2次成功; 当前距低点3.13%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
13,82.50285467445417,80.6327176926745,002042,华孚时尚,bottom_area,2025-06-04,4.76,2025-06-03,4.63,2.8077753779697603,3.887688984881203,28.549382716049386,False,1.9272,1.6772,2,2,2,100.0,25.88411588411589,42.41758241758243,5.19222462203024,2.8077753779697603,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
14,82.24687379597574,79.17398259048369,688448,磁谷科技,bottom_area,2025-06-04,29.29,2025-06-03,28.71,2.020202020202014,2.577499129223262,27.113480578827115,False,1.2094,2.4818,1,1,1,100.0,25.053995680345576,25.053995680345576,5.979797979797986,2.020202020202014,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
15,81.68400791271428,77.68137029739081,002889,东方嘉盛,bottom_area,2025-06-04,14.61,2025-06-04,14.41,1.3879250520471846,2.567661346287295,32.883092687470885,False,-0.273,1.7757,1,1,1,100.0,31.751824817518237,31.751824817518237,6.612074947952816,1.3879250520471846,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
16,81.4887340077466,79.79527036900416,605378,野马电池,bottom_area,2025-06-04,17.34,2025-06-04,16.85,2.9080118694361925,3.9762611275964277,32.24768797748291,False,2.06,3.2808,2,2,2,100.0,22.61041629741227,29.89631336405531,5.0919881305638075,2.9080118694361925,历史2/2次成功; 当前距低点2.91%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
17,81.30849711485173,78.82899271212911,600770,综艺股份,bottom_area,2025-06-04,5.57,2025-06-03,5.44,2.389705882352939,2.9411764705882213,27.94701986754966,False,1.2727,5.6881,1,1,1,100.0,27.72861356932153,27.72861356932153,5.6102941176470615,2.389705882352939,历史1/1次成功; 当前距低点2.39%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
18,79.29100880629156,74.56116729505997,605377,华旺科技,bottom_area,2025-06-04,8.79,2025-06-04,8.72,0.8027522935779645,1.490825688073383,27.81456953642384,False,0.1139,0.6505,1,1,1,100.0,25.16904583020285,25.16904583020285,7.1972477064220355,0.8027522935779645,历史1/1次成功; 当前距低点0.80%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
19,79.03726837835576,79.06636363636363,301058,中粮科工,confirmed_rebound,2025-06-04,10.87,2025-04-30,10.45,4.019138755980861,8.038277511961722,29.77150537634409,True,1.0223,1.3113,1,1,1,100.0,57.794273594909875,57.794273594909875,3.980861244019139,4.019138755980861,历史1/1次成功; 当前距低点4.02%; 最新日涨幅1.02%; 状态confirmed_rebound; 底部已确认
20,79.01227872182594,77.82181148664144,002811,郑中设计,bottom_area,2025-06-04,10.93,2025-06-03,10.59,3.210576015108592,3.4938621340887726,28.203389830508474,False,1.7691,8.116,2,2,2,100.0,15.709273124134537,16.78832116788322,4.789423984891409,3.210576015108592,历史2/2次成功; 当前距低点3.21%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
21,78.56294876120539,73.85231225986728,000096,广聚能源,bottom_area,2025-06-04,14.11,2025-06-04,14.0,0.7857142857142816,1.571428571428576,27.083333333333332,False,0.0,2.5414,1,1,1,100.0,21.149144254278735,21.149144254278735,7.214285714285719,0.7857142857142816,历史1/1次成功; 当前距低点0.79%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
22,78.36965432119227,77.15802292563669,688135,利扬芯片,bottom_area,2025-06-04,19.41,2025-05-30,18.81,3.189792663476882,4.199893673577899,27.290297642056444,False,1.4107,2.7251,4,5,4,80.0,21.885753754645094,40.41850220264317,4.810207336523118,3.189792663476882,历史4/5次成功; 当前距低点3.19%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
23,77.34787745610724,71.66854246713852,688305,科德数控,bottom_area,2025-06-04,55.06,2025-06-04,55.04,0.03633720930233126,1.7441860465116297,31.86432285219114,False,-0.757,0.888,1,1,1,100.0,22.69565217391304,22.69565217391304,7.963662790697669,0.03633720930233126,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
24,76.42485140340202,74.75211419216708,688543,国科军工,bottom_area,2025-06-04,44.76,2025-06-04,43.52,2.8492647058823413,3.2858455882352935,31.604589030331603,False,-1.1921,6.3439,1,1,1,100.0,33.916331836445266,33.916331836445266,5.150735294117659,2.8492647058823413,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
25,75.74691841739102,74.63281885061981,301618,长联科技,confirmed_rebound,2025-06-04,62.97,2025-05-30,61.0,3.22950819672131,8.163934426229515,32.177006893484545,False,-2.5081,10.3804,2,2,2,100.0,31.484395371744096,50.278688524590166,4.7704918032786905,3.22950819672131,历史2/2次成功; 当前距低点3.23%; 最新日涨幅-2.51%; 状态confirmed_rebound; 底部未确认
