rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.08847536869612,81.43543316364688,002570,贝因美,bottom_area,2023-05-30,4.12,2023-05-30,4.06,1.4778325123152833,3.2019704433497735,29.636048526863085,False,-1.4354,1.1433,3,3,3,100.0,19.703716622181236,35.05154639175259,8.522167487684717,1.4778325123152833,历史3/3次成功; 当前距低点1.48%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
2,86.48770178042625,80.0994056261902,603327,福蓉科技,bottom_area,2023-05-30,11.41,2023-05-30,11.3,0.9734513274336233,1.5929203539822985,27.096774193548384,False,-0.3493,0.2819,4,4,4,100.0,29.510078778165898,52.609776304888165,9.026548672566378,0.9734513274336233,历史4/4次成功; 当前距低点0.97%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
3,86.15609770986893,83.42683241815362,688075,安旭生物,bottom_area,2023-05-30,66.79,2023-05-10,64.65,3.310131477184842,7.6566125290023015,30.37906525953047,True,-0.2092,1.3052,5,5,5,100.0,27.010388097500325,40.134529147982065,6.68986852281516,3.310131477184842,历史5/5次成功; 当前距低点3.31%; 最新日涨幅-0.21%; 状态bottom_area; 底部已确认
4,85.97569640262722,80.97337948981934,600009,上海机场,bottom_area,2023-05-30,46.7,2023-05-30,45.85,1.8538713195201777,3.1188658669574694,28.224796493425174,False,-0.8703,0.6338,3,3,3,100.0,21.829065044759854,27.704918032786885,8.146128680479823,1.8538713195201777,历史3/3次成功; 当前距低点1.85%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
5,85.94838014653742,82.32137314846825,603290,斯达半导,bottom_area,2023-05-30,222.61,2023-05-30,216.68,2.7367546612516183,4.028982831825729,28.618020095536156,False,0.1665,1.5251,3,3,3,100.0,17.42566546302117,23.2822670787034,7.263245338748383,2.7367546612516183,历史3/3次成功; 当前距低点2.74%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
6,85.39450704321803,80.49676473361625,000798,中水渔业,bottom_area,2023-05-30,10.19,2023-05-26,10.0,1.899999999999995,3.499999999999996,29.72593113141251,False,1.1917,2.0376,2,2,2,100.0,14.025616847399025,17.3015873015873,8.100000000000005,1.899999999999995,历史2/2次成功; 当前距低点1.90%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
7,85.2690459759363,79.37109790303523,600955,维远股份,bottom_area,2023-05-30,18.8,2023-05-30,18.57,1.2385568120624686,2.5309639203015553,27.119309262166407,False,-0.9484,0.4191,2,2,2,100.0,22.33874964805201,25.969084423305596,8.761443187937532,1.2385568120624686,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
8,85.1311333502849,79.7606681182678,001332,锡装股份,bottom_area,2023-05-30,43.07,2023-05-24,42.4,1.5801886792452873,6.556603773584908,32.290003193867776,False,-2.5124,1.9925,2,2,2,100.0,28.620958639500337,31.086142322097377,8.419811320754715,1.5801886792452873,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
9,84.77678841623455,79.59375125804141,601012,隆基绿能,bottom_area,2023-05-30,29.5,2023-05-30,29.01,1.689072733540153,4.274388142019987,30.09638554216867,False,-2.4793,2.1854,3,3,3,100.0,12.391597260822351,14.403553299492398,8.310927266459847,1.689072733540153,历史3/3次成功; 当前距低点1.69%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
10,83.52230118205661,77.54283970102398,002132,恒星科技,bottom_area,2023-05-30,3.67,2023-05-30,3.63,1.1019283746556485,1.9283746556473909,29.51456310679612,False,-0.8108,0.8684,2,2,2,100.0,10.834604275477771,11.088295687885012,8.898071625344352,1.1019283746556485,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
11,83.14095984258879,78.80844499930642,688289,圣湘生物,bottom_area,2023-05-30,18.19,2023-05-29,17.8,2.1910112359550595,2.2471910112359472,27.789046653144013,False,1.6201,0.7751,1,1,1,100.0,25.182530200451346,25.182530200451346,7.808988764044941,2.1910112359550595,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
