rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.62016760039182,88.31525543165374,301313,凡拓数创,bottom_area,2023-10-17,28.17,2023-10-16,27.44,2.6603498542274067,3.0612244897959178,31.82608695652174,False,1.2581,5.8858,4,4,4,100.0,32.04759730802268,52.43243243243245,5.339650145772594,2.6603498542274067,历史4/4次成功; 当前距低点2.66%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
2,90.15882657664127,85.53442192020711,002069,獐子岛,bottom_area,2023-10-17,4.01,2023-10-17,3.96,1.262626262626258,2.525252525252516,30.03533568904594,False,0.25,0.7704,3,3,3,100.0,16.6301602096504,30.967741935483854,6.737373737373742,1.262626262626258,历史3/3次成功; 当前距低点1.26%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
3,89.2559165037013,84.70948346699187,002534,西子洁能,bottom_area,2023-10-17,12.64,2023-09-22,12.48,1.2820512820512833,7.2115384615384635,27.861271676300582,True,-0.4724,0.2435,3,3,3,100.0,25.712690269187092,33.11594202898551,6.717948717948717,1.2820512820512833,历史3/3次成功; 当前距低点1.28%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
4,87.57029726012568,83.29242143299884,601226,华电科工,bottom_area,2023-10-17,5.81,2023-10-16,5.73,1.396160558464209,1.9197207678882973,29.693251533742327,False,0.519,0.3128,1,1,1,100.0,39.54659949622166,39.54659949622166,6.603839441535792,1.396160558464209,历史1/1次成功; 当前距低点1.40%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
5,85.15059816181112,80.89811226072001,000798,中水渔业,bottom_area,2023-10-17,8.34,2023-10-17,8.23,1.3365735115431279,2.3086269744835906,31.98347107438016,False,-0.9501,1.3521,3,3,3,100.0,15.08333261848572,17.3015873015873,6.663426488456873,1.3365735115431279,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
6,85.02244577068132,82.34218267889655,002850,科达利,bottom_area,2023-10-17,85.48,2023-10-17,83.53,2.334490602178861,3.6633544834191336,31.978827361563518,False,1.3156,1.6721,3,3,3,100.0,12.60656587023842,13.44718098343773,5.665509397821139,2.334490602178861,历史3/3次成功; 当前距低点2.33%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
7,83.17099552369993,78.59442213217822,603326,我乐家居,bottom_area,2023-10-17,10.51,2023-10-17,10.4,1.0576923076923022,1.634615384615384,27.272727272727277,False,-0.2846,2.9196,2,2,2,100.0,15.946024697401477,20.141843971631218,6.942307692307698,1.0576923076923022,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
8,83.08086581934204,78.544600142654,000014,沙河股份,bottom_area,2023-10-17,11.22,2023-10-17,11.1,1.0810810810810902,2.3423423423423406,29.96845425867508,False,-0.5319,1.5204,2,2,2,100.0,15.964865631822029,20.605355064027936,6.9189189189189095,1.0810810810810902,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
9,82.82935318803352,78.52324002535286,600408,安泰集团,bottom_area,2023-10-17,2.48,2023-10-16,2.45,1.2244897959183594,4.0816326530612095,28.3625730994152,False,-1.1952,2.3514,2,2,2,100.0,17.60793957014374,21.457489878542503,6.77551020408164,1.2244897959183594,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
10,82.60110693314795,78.53060396116108,000729,燕京啤酒,bottom_area,2023-10-17,9.6,2023-10-17,9.47,1.3727560718056915,1.9007391763463537,29.063670411985008,False,0.0,0.5214,1,1,1,100.0,13.658536585365852,13.658536585365852,6.627243928194308,1.3727560718056915,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,82.06332074815501,78.61780978038841,600322,津投城开,bottom_area,2023-10-17,2.3,2023-10-17,2.26,1.7699115044247804,3.0973451327433756,31.097560975609756,False,-0.4329,3.0029,2,2,2,100.0,24.802193604714613,35.828877005347586,6.23008849557522,1.7699115044247804,历史2/2次成功; 当前距低点1.77%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
