rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.03440477455021,79.54509757157531,603212,赛伍技术,bottom_area,2023-08-29,16.51,2023-08-25,15.81,4.427577482605952,7.5268817204301035,30.198675496688736,True,3.123,1.5682,2,2,2,100.0,30.698786193101522,32.01038575667657,15.572422517394049,4.427577482605952,历史2/2次成功; 当前距低点4.43%; 最新日涨幅3.12%; 状态bottom_area; 底部已确认
2,84.88173093428688,76.92970040886138,002339,积成电子,bottom_area,2023-08-29,6.83,2023-08-25,6.53,4.5941807044410385,5.359877488514543,27.201783723522855,False,3.1722,1.9463,3,4,3,75.0,48.70662588702658,82.94930875576038,15.405819295558961,4.5941807044410385,历史3/4次成功; 当前距低点4.59%; 最新日涨幅3.17%; 状态bottom_area; 底部未确认
3,81.19406555563978,73.8813224183166,002755,奥赛康,bottom_area,2023-08-29,7.84,2023-08-24,7.48,4.812834224598923,5.347593582887693,32.97491039426523,False,2.3499,0.2305,1,1,1,100.0,30.831099195710454,30.831099195710454,15.187165775401079,4.812834224598923,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
4,81.03907116987625,73.74582588894728,002519,银河电子,bottom_area,2023-08-29,5.44,2023-08-25,5.19,4.816955684007707,7.707129094412321,30.053908355795144,True,2.2556,1.7638,1,1,1,100.0,20.959595959595962,20.959595959595962,15.183044315992294,4.816955684007707,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.26%; 状态bottom_area; 底部已确认
5,79.49274483455267,72.19561538461541,002819,东方中科,bottom_area,2023-08-29,25.13,2023-08-29,24.0,4.708333333333329,5.500000000000002,31.428571428571427,False,4.4472,1.0622,1,1,1,100.0,20.487179487179493,20.487179487179493,15.291666666666673,4.708333333333329,历史1/1次成功; 当前距低点4.71%; 最新日涨幅4.45%; 状态bottom_area; 底部未确认
6,69.79689851704275,60.96848680731035,603155,新亚强,bottom_area,2023-08-29,22.32,2023-08-29,21.76,2.5735294117647,3.3547794117646914,28.39749917736097,False,1.6393,1.2865,1,2,1,50.0,25.624375624375624,25.624375624375624,17.4264705882353,2.5735294117647,历史1/2次成功; 当前距低点2.57%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
7,69.49871095533169,62.199866283156645,300505,川金诺,bottom_area,2023-08-29,15.97,2023-08-25,15.37,3.9037085230969515,7.937540663630453,28.378378378378383,True,2.3062,1.8215,1,2,1,50.0,39.35656836461126,39.35656836461126,16.096291476903048,3.9037085230969515,历史1/2次成功; 当前距低点3.90%; 最新日涨幅2.31%; 状态bottom_area; 底部已确认
8,69.04034046179115,60.38117515077911,300423,昇辉科技,bottom_area,2023-08-29,9.33,2023-08-25,9.09,2.640264026402643,5.720572057205716,29.37062937062937,False,1.9672,1.5532,1,2,1,50.0,23.28482328482329,23.28482328482329,17.359735973597356,2.640264026402643,历史1/2次成功; 当前距低点2.64%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
9,67.62946263503166,59.913212446066396,002386,天原股份,bottom_area,2023-08-29,5.87,2023-08-25,5.68,3.3450704225352186,5.281690140845083,31.48371531966224,False,1.0327,0.6818,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,16.654929577464785,3.3450704225352186,历史1/3次成功; 当前距低点3.35%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
10,64.46049879543409,57.60815978895801,601778,晶科科技,bottom_area,2023-08-29,3.8,2023-08-29,3.66,3.825136612021849,4.098360655737703,28.79377431906614,False,2.7027,2.0147,1,3,1,33.33333333333333,42.344827586206904,42.344827586206904,16.174863387978153,3.825136612021849,历史1/3次成功; 当前距低点3.83%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
11,63.79157134711879,57.41108908628835,605111,新洁能,bottom_area,2023-08-29,34.66,2023-08-25,33.26,4.2092603728202,7.27600721587493,27.616974972796527,True,3.2469,2.763,1,3,1,33.33333333333333,36.800373134328346,36.800373134328346,15.7907396271798,4.2092603728202,历史1/3次成功; 当前距低点4.21%; 最新日涨幅3.25%; 状态bottom_area; 底部已确认
12,59.334760544688706,53.78692660550458,002265,建设工业,bottom_area,2023-08-29,12.72,2023-08-25,12.16,4.605263157894741,6.907894736842104,28.344136711844424,False,3.2468,1.2152,1,4,1,25.0,32.75229357798165,32.75229357798165,15.39473684210526,4.605263157894741,历史1/4次成功; 当前距低点4.61%; 最新日涨幅3.25%; 状态bottom_area; 底部未确认
