rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.07478872248217,75.35422110552763,002069,獐子岛,bottom_area,2022-04-07,4.07,2022-04-06,3.98,2.2613065326633244,9.547738693467345,28.158844765342963,True,-3.3254,5.9377,1,1,1,100.0,30.967741935483854,30.967741935483854,12.738693467336676,2.2613065326633244,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-3.33%; 状态bottom_area; 底部已确认
2,79.7707230592494,69.88078237759979,002534,西子洁能,bottom_area,2022-04-07,17.76,2022-04-07,17.69,0.3957037874505386,3.843979649519501,29.66202783300198,False,-2.3639,0.8127,1,1,1,100.0,17.489177489177486,17.489177489177486,14.60429621254946,0.3957037874505386,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
3,79.13972721143291,68.93525236244112,300671,富满微,bottom_area,2022-04-07,76.39,2022-04-07,76.32,0.09171907756814386,4.376310272536692,27.706734867860188,False,-3.7788,3.8574,1,1,1,100.0,18.894472361809044,18.894472361809044,14.908280922431855,0.09171907756814386,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
4,78.11607815442561,67.92702448210923,688117,圣诺生物,bottom_area,2022-04-07,35.75,2022-04-07,35.75,0.0,9.090909090909092,27.748585286984635,False,-8.0977,11.6486,1,1,1,100.0,24.6076585059636,24.6076585059636,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.10%; 状态bottom_area; 底部未确认
5,76.56197449684953,67.44160860754609,002173,创新医疗,bottom_area,2022-04-07,7.28,2022-04-07,7.23,0.6915629322268302,6.224066390041483,29.46341463414634,False,-5.0847,8.111,1,1,1,100.0,18.21705426356588,18.21705426356588,14.30843706777317,0.6915629322268302,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
6,65.55354290810406,57.10563863375426,605111,新洁能,bottom_area,2022-04-07,135.33,2022-04-07,135.2,0.09615384615386383,4.563609467455634,31.75164058556285,False,-2.836,3.6907,1,2,1,50.0,36.800373134328346,36.800373134328346,14.903846153846137,0.09615384615386383,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
7,61.64375353711471,53.781224132905834,002309,中利集团,bottom_area,2022-04-07,5.65,2022-04-07,5.64,0.1773049645390191,6.382978723404261,30.37037037037037,False,-5.99,4.6742,1,2,1,50.0,30.136986301369873,30.136986301369873,14.822695035460981,0.1773049645390191,历史1/2次成功; 当前距低点0.18%; 最新日涨幅-5.99%; 状态bottom_area; 底部未确认
8,60.14626483121093,56.71583684918955,300603,立昂技术,bottom_area,2022-04-07,13.21,2022-04-06,12.66,4.344391785150084,7.109004739336496,31.233025529603474,True,1.6154,13.5675,1,2,1,50.0,15.274463007159895,15.274463007159895,10.655608214849915,4.344391785150084,历史1/2次成功; 当前距低点4.34%; 最新日涨幅1.62%; 状态bottom_area; 底部已确认
9,60.054751572405436,54.24737074654272,688221,前沿生物,bottom_area,2022-04-07,16.02,2022-04-07,15.7,2.038216560509556,6.624203821656045,27.981651376146793,False,-4.6996,4.0629,1,2,1,50.0,15.615615615615624,15.615615615615624,12.961783439490443,2.038216560509556,历史1/2次成功; 当前距低点2.04%; 最新日涨幅-4.70%; 状态bottom_area; 底部未确认
10,59.76056552962297,51.965709156193896,605286,同力天启,bottom_area,2022-04-07,23.58,2022-04-07,23.58,0.0,4.410517387616636,29.316546762589933,False,-4.3408,4.8433,1,2,1,50.0,30.46080191502094,30.46080191502094,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
11,53.701047775870315,49.770724637681155,300540,蜀道装备,bottom_area,2022-04-07,24.82,2022-04-06,24.0,3.416666666666668,8.708333333333334,30.23255813953488,True,-4.6851,3.4167,1,3,1,33.33333333333333,18.695652173913043,18.695652173913043,11.583333333333332,3.416666666666668,历史1/3次成功; 当前距低点3.42%; 最新日涨幅-4.69%; 状态bottom_area; 底部已确认
