rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.93283226819466,82.99486381407766,688288,鸿泉技术,bottom_area,2022-09-07,19.46,2022-09-06,18.93,2.7997886951928215,3.645007923930276,30.710102489019036,False,1.3542,0.8481,3,3,3,100.0,21.819258274824108,41.992882562277565,5.200211304807178,2.7997886951928215,历史3/3次成功; 当前距低点2.80%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
2,80.85152621204104,76.5539651837524,002110,三钢闽光,bottom_area,2022-09-07,5.23,2022-08-31,5.17,1.1605415860735107,1.9342359767891615,30.41722745625841,False,-0.759,0.2164,1,1,1,100.0,22.90322580645161,22.90322580645161,6.83945841392649,1.1605415860735107,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
3,78.83400719796434,74.47145500470037,000799,酒鬼酒,bottom_area,2022-09-07,136.92,2022-09-06,135.51,1.0405136152313457,2.4278651022064945,28.256035578144857,False,-1.1408,0.9507,1,1,1,100.0,10.235623910902333,10.235623910902333,6.959486384768654,1.0405136152313457,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
4,78.44519365403848,77.28942289517948,605319,无锡振华,bottom_area,2022-09-07,14.07,2022-08-29,13.63,3.228173147468815,5.209097578870132,27.345415778251603,False,0.9326,0.9852,2,2,2,100.0,13.062675652733196,17.248790972595383,4.771826852531185,3.228173147468815,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
5,77.85397204259256,78.42629929742257,605258,协和电子,bottom_area,2022-09-07,23.35,2022-09-01,22.37,4.380867232901209,5.274921770227983,28.98412698412698,False,1.4776,2.6309,1,1,1,100.0,49.971379507727534,49.971379507727534,3.619132767098791,4.380867232901209,历史1/1次成功; 当前距低点4.38%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
6,77.53765844239358,73.72243044781068,000661,长春高新,bottom_area,2022-09-07,167.88,2022-09-07,165.6,1.3768115942028991,2.475845410628016,28.712871287128717,False,-2.2191,1.6291,1,1,1,100.0,10.330972487060738,10.330972487060738,6.623188405797101,1.3768115942028991,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
7,77.436580959389,76.38743669609399,002012,凯恩股份,bottom_area,2022-09-07,5.65,2022-09-06,5.47,3.2906764168190237,3.2906764168190237,27.54966887417219,False,1.2545,6.1549,1,1,1,100.0,25.646123260437374,25.646123260437374,4.709323583180977,3.2906764168190237,历史1/1次成功; 当前距低点3.29%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
8,76.84312089596374,74.80774271844662,300740,水羊股份,bottom_area,2022-09-07,13.79,2022-09-07,13.44,2.604166666666664,3.4970238095238146,32.86713286713287,False,0.5102,1.7684,1,1,1,100.0,8.73786407766991,8.73786407766991,5.395833333333336,2.604166666666664,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
9,75.24438906586059,75.53783646348005,601606,长城军工,bottom_area,2022-09-07,12.15,2022-08-29,11.66,4.2024013722126945,5.488850771869645,27.033792240300375,False,0.0,1.3293,2,2,2,100.0,15.587696731854795,18.886462882096076,3.7975986277873055,4.2024013722126945,历史2/2次成功; 当前距低点4.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,74.86797247737759,75.16138059943131,688045,必易微,bottom_area,2022-09-07,61.48,2022-09-01,59.0,4.20338983050847,7.084745762711863,28.743961352657006,True,0.4083,9.9589,1,1,1,100.0,21.048975338659265,21.048975338659265,3.796610169491531,4.20338983050847,历史1/1次成功; 当前距低点4.20%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
11,74.85806059917236,72.70933691134456,603055,台华新材,bottom_area,2022-09-07,10.72,2022-09-01,10.46,2.485659655831738,7.934990439770538,31.767775603392035,True,-3.2491,0.7579,1,1,1,100.0,19.498069498069512,19.498069498069512,5.514340344168263,2.485659655831738,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
12,74.62904694262575,72.49964558744087,601828,美凯龙,bottom_area,2022-09-07,4.93,2022-08-03,4.81,2.494802494802497,7.692307692307695,27.010622154779973,True,-0.6048,0.4313,1,1,1,100.0,8.267716535433069,8.267716535433069,5.505197505197503,2.494802494802497,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
13,74.48818957635318,75.69937965076541,688165,埃夫特,bottom_area,2022-09-07,8.45,2022-09-02,8.06,4.83870967741934,7.071960297766752,28.4826974267968,True,1.4406,0.6861,2,2,2,100.0,15.062568361728554,21.98142414860681,3.16129032258066,4.83870967741934,历史2/2次成功; 当前距低点4.84%; 最新日涨幅1.44%; 状态bottom_area; 底部已确认
14,73.12083254034889,70.93892323479386,605069,正和生态,bottom_area,2022-09-07,10.56,2022-08-29,10.31,2.424830261881668,5.237633365664395,30.66577000672494,False,-0.565,0.9558,1,1,1,100.0,8.212560386473426,8.212560386473426,5.5751697381183325,2.424830261881668,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
15,72.90573209606414,74.1765300063618,688058,宝兰德,bottom_area,2022-09-07,42.4,2022-08-31,40.42,4.898565066798607,7.397328055418097,31.49152542372881,True,0.7365,1.4299,1,1,1,100.0,24.27558257345491,24.27558257345491,3.101434933201393,4.898565066798607,历史1/1次成功; 当前距低点4.90%; 最新日涨幅0.74%; 状态bottom_area; 底部已确认
16,72.49437346207,73.19808423340453,688279,峰岹科技,confirmed_rebound,2022-09-07,64.99,2022-09-05,62.19,4.502331564560214,8.216755105322399,27.07551594746717,True,1.9771,3.629,1,1,1,100.0,24.37311935807422,24.37311935807422,3.497668435439786,4.502331564560214,历史1/1次成功; 当前距低点4.50%; 最新日涨幅1.98%; 状态confirmed_rebound; 底部已确认
