rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.95029109247858,83.82772254848261,000619,海螺新材,bottom_area,2025-11-24,6.28,2025-11-21,6.19,1.4539579967689797,6.1389337641357,27.85547785547785,False,1.454,4.0011,1,1,1,100.0,43.133047210300425,43.133047210300425,18.546042003231022,1.4539579967689797,历史1/1次成功; 当前距低点1.45%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
2,96.59348911292157,82.90229776007035,002160,常铝股份,bottom_area,2025-11-24,5.05,2025-11-24,4.97,1.6096579476861181,3.8229376257545358,28.386167146974074,False,0.3976,6.0273,1,1,1,100.0,40.066225165562926,40.066225165562926,18.390342052313883,1.6096579476861181,历史1/1次成功; 当前距低点1.61%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
3,96.37171612797373,83.34205427924502,603178,圣龙股份,bottom_area,2025-11-24,18.14,2025-11-24,17.78,2.024746906636667,2.305961754780653,27.694184627897517,False,0.7778,1.5096,1,1,1,100.0,47.51869476546566,47.51869476546566,17.97525309336333,2.024746906636667,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
4,96.08120058112655,82.39628757724755,688608,恒玄科技,bottom_area,2025-11-24,201.1,2025-11-24,198.0,1.5656565656565629,2.1666666666666625,31.25,False,0.4696,1.7382,1,1,1,100.0,36.80636853195971,36.80636853195971,18.43434343434344,1.5656565656565629,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
5,95.31030065945508,81.40472555131731,605333,沪光股份,bottom_area,2025-11-24,28.65,2025-11-24,28.27,1.3441811107180723,1.9808984789529491,29.112337011033105,False,0.5263,0.4226,1,1,1,100.0,28.76052948255115,28.76052948255115,18.655818889281928,1.3441811107180723,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
6,94.99764554931836,80.86883720930233,301017,漱玉平民,bottom_area,2025-11-24,13.05,2025-11-24,12.9,1.1627906976744213,2.7906976744186003,28.01339285714286,False,0.2304,4.4205,1,1,1,100.0,23.655913978494613,23.655913978494613,18.83720930232558,1.1627906976744213,历史1/1次成功; 当前距低点1.16%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
7,93.92845849061787,81.40751293204143,002578,闽发铝业,bottom_area,2025-11-24,3.81,2025-11-21,3.73,2.1447721179624684,9.651474530831097,30.410447761194032,False,2.1448,7.6116,1,1,1,100.0,38.589211618257245,38.589211618257245,17.855227882037532,2.1447721179624684,历史1/1次成功; 当前距低点2.14%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
8,93.58146171381327,82.06459930313589,000620,盈新发展,bottom_area,2025-11-24,2.95,2025-11-24,2.87,2.7874564459930338,8.013937282229964,29.828850855745713,False,0.0,6.8472,1,1,1,100.0,50.62240663900413,50.62240663900413,17.212543554006967,2.7874564459930338,历史1/1次成功; 当前距低点2.79%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,92.95802206865366,79.95367260285776,002337,赛象科技,bottom_area,2025-11-24,5.89,2025-11-21,5.79,1.7271157167530162,5.1813471502590644,29.47624847746651,False,1.0292,1.9003,1,1,1,100.0,25.653206650831358,25.653206650831358,18.272884283246984,1.7271157167530162,历史1/1次成功; 当前距低点1.73%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
10,91.67701252684373,79.26883757005277,003038,鑫铂股份,bottom_area,2025-11-24,15.69,2025-11-24,15.38,2.0156046814044126,2.7308192457737315,28.76331635016211,False,0.8355,2.2166,1,1,1,100.0,25.507614213197975,25.507614213197975,17.98439531859559,2.0156046814044126,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
11,90.95664535648953,79.59327644107306,600550,保变电气,bottom_area,2025-11-24,9.61,2025-11-24,9.36,2.670940170940171,3.3119658119658175,28.000000000000004,False,0.9454,3.6093,1,1,1,100.0,35.285053929121716,35.285053929121716,17.32905982905983,2.670940170940171,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
12,90.89999999999999,75.75,000572,海马汽车,bottom_area,2025-11-24,8.51,2025-11-24,8.51,0.0,14.218566392479445,29.260182876142977,False,-9.9471,20.0744,2,2,2,100.0,63.051887461022396,95.5116696588869,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
13,90.43267795471186,75.9161723446894,002825,纳尔股份,bottom_area,2025-11-24,10.02,2025-11-24,9.98,0.4008016032064043,2.7054108216432824,27.046783625730992,False,-0.1992,4.3338,1,1,1,100.0,89.24242424242425,89.24242424242425,19.599198396793597,0.4008016032064043,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
14,89.0218966315155,74.63839207713201,002136,安纳达,bottom_area,2025-11-24,12.07,2025-11-24,12.03,0.33250207813799604,3.4912718204488775,30.381944444444454,False,-1.1466,7.8896,1,1,1,100.0,42.29299363057326,42.29299363057326,19.667497921862005,0.33250207813799604,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
15,88.95231052092244,76.96944199706313,000803,山高环能,bottom_area,2025-11-24,6.95,2025-11-24,6.81,2.0558002936857647,4.258443465491924,28.98852971845673,False,-0.2869,3.0273,1,1,1,100.0,36.1111111111111,36.1111111111111,17.944199706314237,2.0558002936857647,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
16,88.82647722584873,74.85718508092893,600104,上汽集团,bottom_area,2025-11-24,14.79,2025-11-21,14.7,0.6122448979591828,1.9047619047619126,28.74454677653902,False,0.6122,0.3589,1,1,1,100.0,24.425287356321842,24.425287356321842,19.387755102040817,0.6122448979591828,历史1/1次成功; 当前距低点0.61%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
17,88.6386595914621,77.48479708162334,002309,中利集团,bottom_area,2025-11-24,3.14,2025-11-21,3.06,2.6143790849673225,5.8823529411764754,29.49308755760368,False,2.6144,3.8005,1,1,1,100.0,23.25581395348837,23.25581395348837,17.38562091503268,2.6143790849673225,历史1/1次成功; 当前距低点2.61%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
18,87.43187097239712,76.67102531425594,002338,奥普光电,bottom_area,2025-11-24,50.16,2025-11-21,48.8,2.7868852459016384,3.1967213114754145,30.632551528073915,False,2.3465,1.5208,1,1,1,100.0,20.995288574793882,20.995288574793882,17.213114754098363,2.7868852459016384,历史1/1次成功; 当前距低点2.79%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
19,87.39409563068013,76.75351122880653,002636,金安国纪,bottom_area,2025-11-24,14.34,2025-11-24,13.94,2.8694404591104763,3.8020086083213855,28.292181069958854,False,1.4862,2.7318,1,1,1,100.0,22.450728363324757,22.450728363324757,17.130559540889525,2.8694404591104763,历史1/1次成功; 当前距低点2.87%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
20,87.16848681819805,74.25556919251639,000546,金圆股份,bottom_area,2025-11-24,5.9,2025-11-24,5.83,1.2006861063464884,6.689536878216118,30.263157894736835,False,-8.9506,30.6505,1,1,1,100.0,21.253405994550416,21.253405994550416,18.799313893653512,1.2006861063464884,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-8.95%; 状态bottom_area; 底部未确认
21,87.0781373514506,76.77312600518731,603366,日出东方,bottom_area,2025-11-24,9.7,2025-11-24,9.41,3.081827842720501,3.825717321997869,29.776119402985074,False,1.2526,6.704,1,1,1,100.0,25.15964240102172,25.15964240102172,16.9181721572795,3.081827842720501,历史1/1次成功; 当前距低点3.08%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
22,87.06424419829081,77.44374725537813,300680,隆盛科技,bottom_area,2025-11-24,43.26,2025-11-21,41.77,3.5671534594206245,4.740244194397886,28.9625850340136,False,1.8601,4.2594,1,1,1,100.0,34.71428571428571,34.71428571428571,16.432846540579376,3.5671534594206245,历史1/1次成功; 当前距低点3.57%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
23,86.51979476937068,76.8637532820154,688286,敏芯股份,bottom_area,2025-11-24,73.95,2025-11-21,71.45,3.498950314905528,4.89853044086774,28.39963924240906,False,2.5659,2.1384,1,1,1,100.0,30.759999999999994,30.759999999999994,16.501049685094475,3.498950314905528,历史1/1次成功; 当前距低点3.50%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
24,85.92193243487496,74.51310568246956,002250,联化科技,bottom_area,2025-11-24,11.73,2025-11-24,11.48,2.1777003484320554,5.662020905923348,29.17951881554596,False,-0.9291,5.9564,1,1,1,100.0,24.399260628465807,24.399260628465807,17.822299651567945,2.1777003484320554,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
25,85.73445229126136,74.90748768472908,601011,宝泰隆,bottom_area,2025-11-24,3.57,2025-11-24,3.48,2.5862068965517198,4.885057471264366,28.395061728395067,False,-0.8333,4.6533,1,1,1,100.0,31.527093596059125,31.527093596059125,17.413793103448285,2.5862068965517198,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
26,85.04633540372674,76.93652173913046,688588,凌志软件,bottom_area,2025-11-24,14.42,2025-11-24,13.8,4.4927536231884,5.579710144927533,30.999999999999993,False,2.9265,1.9546,1,1,1,100.0,43.33333333333334,43.33333333333334,15.507246376811601,4.4927536231884,历史1/1次成功; 当前距低点4.49%; 最新日涨幅2.93%; 状态bottom_area; 底部未确认
27,84.86146821034104,75.42770784066266,688249,晶合集成,bottom_area,2025-11-24,28.48,2025-11-24,27.51,3.5259905488913077,3.562340966921108,27.02917771883289,False,1.5692,1.812,1,1,1,100.0,23.370786516853933,23.370786516853933,16.474009451108692,3.5259905488913077,历史1/1次成功; 当前距低点3.53%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
28,84.7574771743264,75.74304834645258,600506,统一股份,bottom_area,2025-11-24,26.35,2025-11-24,25.38,3.821907013396385,5.516154452324674,30.46575342465754,False,3.0908,16.7448,1,1,1,100.0,28.69352869352869,28.69352869352869,16.178092986603616,3.821907013396385,历史1/1次成功; 当前距低点3.82%; 最新日涨幅3.09%; 状态bottom_area; 底部未确认
