rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.24864606133612,85.16584449314382,688005,容百科技,bottom_area,2024-10-16,25.72,2024-10-16,25.37,1.3795821836815052,3.468663776113516,27.09770114942528,False,-1.9817,2.6499,4,4,4,100.0,21.88866597815933,38.76758854924795,8.620417816318495,1.3795821836815052,历史4/4次成功; 当前距低点1.38%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
2,88.50234220386541,82.02111007277426,688177,百奥泰,bottom_area,2024-10-16,22.02,2024-10-16,21.8,1.0091743119266001,3.4862385321100824,28.242264647794595,False,-1.2556,0.6151,3,3,3,100.0,17.107674752510242,28.56629536471435,8.9908256880734,1.0091743119266001,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
3,88.18243815355369,81.31985324886183,688358,祥生医疗,bottom_area,2024-10-16,22.87,2024-10-16,22.7,0.7488986784141044,3.4361233480176265,28.232690483717988,False,-1.8033,0.6624,4,4,4,100.0,33.31904427766654,68.06588735387884,9.251101321585896,0.7488986784141044,历史4/4次成功; 当前距低点0.75%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
4,86.44041075736162,80.94086692261925,688349,三一重能,bottom_area,2024-10-16,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0392,1.6198,1,1,1,100.0,28.790581519800213,28.790581519800213,8.449920508744038,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
5,86.13732196058955,82.43452525252528,000430,张家界,bottom_area,2024-10-16,6.1,2024-10-16,5.94,2.693602693602681,3.5353535353535346,28.433734939759038,False,0.0,3.8269,2,2,2,100.0,34.17171717171716,53.99999999999999,7.3063973063973195,2.693602693602681,历史2/2次成功; 当前距低点2.69%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,84.65049128643834,78.77078402650186,300595,欧普康视,bottom_area,2024-10-16,18.22,2024-10-16,18.0,1.2222222222222159,3.7777777777777763,27.594529364440866,False,-1.3001,1.8592,2,2,2,100.0,18.911025232088786,19.855715871254166,8.777777777777784,1.2222222222222159,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
7,83.60654404964383,77.53076762548073,300763,锦浪科技,bottom_area,2024-10-16,69.89,2024-10-16,69.17,1.0409136909064607,3.9323406100910785,29.266796195930056,False,-2.538,2.6937,3,4,3,75.0,30.855112047029355,36.020348268440614,8.95908630909354,1.0409136909064607,历史3/4次成功; 当前距低点1.04%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
8,82.48800862171623,78.11063624370476,688226,威腾电气,bottom_area,2024-10-16,16.72,2024-10-16,16.37,2.1380574221136097,4.703726328649966,27.244444444444436,False,0.0,1.8691,1,1,1,100.0,20.78175895765472,20.78175895765472,7.861942577886391,2.1380574221136097,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,82.39681629363339,75.64987577639752,688166,博瑞医药,bottom_area,2024-10-16,29.13,2024-10-16,28.98,0.5175983436852952,4.140786749482399,29.983087702343564,False,-1.5878,2.8867,1,1,1,100.0,50.993377483443716,50.993377483443716,9.482401656314705,0.5175983436852952,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
10,81.92900676805047,79.07276616512762,301499,维科精密,bottom_area,2024-10-16,26.3,2024-10-14,25.5,3.137254901960787,8.78431372549019,29.166666666666668,True,-0.6047,8.3306,3,3,3,100.0,18.148964202140924,21.950454687989964,6.8627450980392135,3.137254901960787,历史3/3次成功; 当前距低点3.14%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
11,81.7349574551164,79.90233509065192,300510,金冠股份,bottom_area,2024-10-16,4.36,2024-10-11,4.2,3.809523809523813,8.809523809523812,27.835051546391753,True,-0.9091,3.2095,3,3,3,100.0,30.849727829925854,40.000000000000014,6.190476190476188,3.809523809523813,历史3/3次成功; 当前距低点3.81%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
12,81.25318058456662,74.70505048565273,603076,乐惠国际,bottom_area,2024-10-16,20.41,2024-10-16,20.29,0.5914243469689552,2.0206998521439137,27.09306503772907,False,-1.0664,1.1061,3,3,3,100.0,12.491924713666421,13.440860215053762,9.408575653031045,0.5914243469689552,历史3/3次成功; 当前距低点0.59%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
13,80.77007187402972,75.93799556076205,688255,凯尔达,bottom_area,2024-10-16,20.21,2024-10-11,19.86,1.7623363544813766,9.214501510574028,27.834302325581394,True,-2.2727,1.3615,1,1,1,100.0,17.774851876234372,17.774851876234372,8.237663645518625,1.7623363544813766,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-2.27%; 状态bottom_area; 底部已确认
14,79.3756058085454,74.05108659139947,300413,芒果超媒,bottom_area,2024-10-16,23.17,2024-10-16,22.86,1.3560804899387677,3.5870516185476826,27.56653992395437,False,-1.1519,1.7044,1,1,1,100.0,11.843817787418656,11.843817787418656,8.643919510061233,1.3560804899387677,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
15,79.23374645333541,76.2149562019322,300759,康龙化成,bottom_area,2024-10-16,26.08,2024-10-16,25.33,2.9609159099881563,3.8294512435846917,30.45030203185064,False,-4.8522,4.6613,3,3,3,100.0,20.0314219177698,32.829977628635355,7.039084090011843,2.9609159099881563,历史3/3次成功; 当前距低点2.96%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
16,76.82902634985591,71.15493506493506,300723,一品红,bottom_area,2024-10-16,15.55,2024-10-16,15.4,0.9740259740259762,3.31168831168831,27.76735459662289,False,-1.2698,1.1845,1,1,1,100.0,31.428571428571427,31.428571428571427,9.025974025974024,0.9740259740259762,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
17,76.22241287530345,72.38791112329432,688315,诺禾致源,bottom_area,2024-10-16,11.61,2024-10-14,11.35,2.2907488986784124,8.01762114537445,27.70700636942675,True,-0.4288,0.7177,3,5,3,60.0,41.83235813054352,86.2826357231662,7.709251101321588,2.2907488986784124,历史3/5次成功; 当前距低点2.29%; 最新日涨幅-0.43%; 状态bottom_area; 底部已确认
18,76.20380286033999,71.35166103532362,688236,春立医疗,bottom_area,2024-10-16,12.47,2024-10-16,12.28,1.5472312703583169,3.583061889250825,29.18108419838524,False,-1.5008,3.479,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,8.452768729641685,1.5472312703583169,历史2/3次成功; 当前距低点1.55%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
