rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.73063118579057,85.8877181135953,300480,光力科技,bottom_area,2023-12-28,20.88,2023-12-28,20.18,3.4687809712586684,4.162537165510406,29.85749044143205,False,1.31,1.7689,4,4,4,100.0,28.906122193898153,39.69465648854962,16.531219028741333,3.4687809712586684,历史4/4次成功; 当前距低点3.47%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
2,93.3261618093471,81.92938824954574,603013,亚普股份,bottom_area,2023-12-28,16.98,2023-12-28,16.51,2.8467595396729184,3.391883706844329,27.428571428571423,False,1.1919,0.7179,1,1,1,100.0,53.30739299610896,53.30739299610896,17.153240460327083,2.8467595396729184,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
3,86.70640269046068,76.3735153232037,002712,思美传媒,bottom_area,2023-12-28,5.44,2023-12-28,5.28,3.030303030303033,4.5454545454545325,30.06622516556291,False,0.1842,5.5692,1,1,1,100.0,22.379603399433442,22.379603399433442,16.96969696969697,3.030303030303033,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
4,85.32310599540854,76.73564657389466,301499,维科精密,bottom_area,2023-12-28,29.22,2023-12-27,28.05,4.1711229946524,4.420677361853826,32.73381294964029,False,2.5983,6.3437,2,2,2,100.0,21.64412366506522,21.950454687989964,15.828877005347602,4.1711229946524,历史2/2次成功; 当前距低点4.17%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
5,85.03426645984241,77.29112639289536,002796,世嘉科技,bottom_area,2023-12-28,11.02,2023-12-26,10.52,4.752851711026616,5.323193916349815,28.092959671907046,False,1.8484,2.4394,2,2,2,100.0,31.7614424410541,36.33841886269071,15.247148288973387,4.752851711026616,历史2/2次成功; 当前距低点4.75%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
6,80.54706177760418,72.77605888022431,600130,波导股份,bottom_area,2023-12-28,4.72,2023-12-26,4.52,4.424778761061951,5.309734513274342,27.564102564102573,False,1.0707,1.978,1,1,1,100.0,20.13201320132014,20.13201320132014,15.57522123893805,4.424778761061951,历史1/1次成功; 当前距低点4.42%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
7,72.37515027940634,63.03772891214163,000829,天音控股,bottom_area,2023-12-28,9.33,2023-12-27,9.11,2.4149286498353533,3.62239297475302,29.105058365758758,False,0.8649,2.1011,1,2,1,50.0,34.80519480519481,34.80519480519481,17.58507135016465,2.4149286498353533,历史1/2次成功; 当前距低点2.41%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
8,70.07847056984686,62.6355217965654,000070,特发信息,bottom_area,2023-12-28,7.86,2023-12-26,7.57,3.830911492734478,4.227212681638036,27.00096432015428,False,1.8135,1.4312,1,2,1,50.0,50.60532687651331,50.60532687651331,16.16908850726552,3.830911492734478,历史1/2次成功; 当前距低点3.83%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
9,69.52613636883218,61.70958849304631,002343,慈文传媒,bottom_area,2023-12-28,6.3,2023-12-28,6.09,3.448275862068965,4.43349753694582,29.268292682926827,False,1.2862,3.6225,1,2,1,50.0,40.33149171270718,40.33149171270718,16.551724137931036,3.448275862068965,历史1/2次成功; 当前距低点3.45%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
10,69.18198597510086,63.145686456233776,000980,众泰汽车,bottom_area,2023-12-28,2.95,2023-12-27,2.81,4.982206405693955,6.405693950177942,28.31632653061224,False,3.1469,2.9661,2,4,2,50.0,33.52213473772031,43.49775784753364,15.017793594306047,4.982206405693955,历史2/4次成功; 当前距低点4.98%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
11,67.68620108476755,60.2743172543328,000058,深赛格,bottom_area,2023-12-28,7.14,2023-12-27,6.89,3.6284470246734397,4.063860667634256,27.320675105485236,False,1.7094,0.9346,1,2,1,50.0,34.82352941176472,34.82352941176472,16.371552975326562,3.6284470246734397,历史1/2次成功; 当前距低点3.63%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
