rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.98444783414168,77.15810871402982,300530,领湃科技,bottom_area,2023-04-14,23.59,2023-04-06,22.95,2.7886710239651444,6.753812636165581,28.393135725429016,False,0.0,0.2478,3,4,3,75.0,27.802573379948058,34.07510431154381,17.211328976034856,2.7886710239651444,历史3/4次成功; 当前距低点2.79%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,85.41894273904062,73.11580283835576,000983,山西焦煤,bottom_area,2023-04-14,10.4,2023-04-11,10.25,1.4634146341463448,3.8048780487804934,27.715091678420308,False,0.1927,0.9982,2,3,2,66.66666666666666,24.546889986789015,27.212389380530986,18.536585365853657,1.4634146341463448,历史2/3次成功; 当前距低点1.46%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
3,85.11744243757506,71.56503080657205,002329,皇氏集团,bottom_area,2023-04-14,6.21,2023-04-14,6.18,0.48543689320388755,1.9417475728155358,30.32694475760992,False,-0.7987,2.8632,1,1,1,100.0,27.644230769230756,27.644230769230756,19.51456310679611,0.48543689320388755,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
4,84.97503555304866,74.3783065732683,002006,精工科技,bottom_area,2023-04-14,22.18,2023-04-11,21.6,2.685185185185177,4.62962962962963,29.938371715861166,False,0.9558,0.8127,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,17.314814814814824,2.685185185185177,历史2/3次成功; 当前距低点2.69%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
5,78.92886200487598,67.72685752330226,300586,美联新材,bottom_area,2023-04-14,15.26,2023-04-13,15.02,1.59786950732357,2.596537949400803,27.087378640776706,False,1.5303,1.3864,1,2,1,50.0,124.33414043583537,124.33414043583537,18.40213049267643,1.59786950732357,历史1/2次成功; 当前距低点1.60%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
6,78.51391012805945,69.53402504036433,002125,湘潭电化,bottom_area,2023-04-14,12.73,2023-04-10,12.32,3.327922077922079,7.629870129870126,29.236071223434806,False,1.7586,1.4234,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,16.67207792207792,3.327922077922079,历史2/3次成功; 当前距低点3.33%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
7,76.14171176637454,64.77737104102236,001319,铭科精技,bottom_area,2023-04-14,20.6,2023-04-13,20.37,1.129111438389791,1.9636720667648433,27.431421446384036,False,0.6843,2.1717,1,2,1,50.0,28.396479142747793,28.396479142747793,18.87088856161021,1.129111438389791,历史1/2次成功; 当前距低点1.13%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
8,74.24144135379434,63.78085878778186,002347,泰尔股份,bottom_area,2023-04-14,4.89,2023-04-11,4.81,1.6632016632016646,4.365904365904365,32.06214689265538,False,0.0,1.9008,1,2,1,50.0,29.585798816568047,29.585798816568047,18.33679833679834,1.6632016632016646,历史1/2次成功; 当前距低点1.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,73.02809203874418,62.070642275483166,300763,锦浪科技,bottom_area,2023-04-14,124.68,2023-04-14,123.35,1.0782326712606507,2.5618159708147634,30.14893255563736,False,-0.3357,1.574,1,2,1,50.0,35.693617021276594,35.693617021276594,18.92176732873935,1.0782326712606507,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
10,71.0833938972556,61.610256621990736,000887,中鼎股份,bottom_area,2023-04-14,12.37,2023-04-06,12.11,2.146985962014862,6.853839801816681,28.512396694214885,False,1.1447,1.2622,1,2,1,50.0,23.84615384615385,23.84615384615385,17.853014037985137,2.146985962014862,历史1/2次成功; 当前距低点2.15%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
11,63.985647482339516,57.94388002489927,000756,新华制药,bottom_area,2023-04-14,24.36,2023-04-13,23.3,4.54935622317596,7.253218884120162,27.164738980931535,True,0.8696,3.8616,1,2,1,50.0,24.38931297709925,24.38931297709925,15.450643776824041,4.54935622317596,历史1/2次成功; 当前距低点4.55%; 最新日涨幅0.87%; 状态bottom_area; 底部已确认
12,63.81351299727959,58.01426651375504,600141,兴发集团,bottom_area,2023-04-14,26.61,2023-04-12,25.4,4.763779527559059,6.25984251968504,29.79546710889995,False,1.954,2.1536,1,2,1,50.0,36.58969804618119,36.58969804618119,15.236220472440943,4.763779527559059,历史1/2次成功; 当前距低点4.76%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
13,62.19173063582922,56.06867530133428,002520,日发精机,bottom_area,2023-04-14,6.3,2023-04-06,6.04,4.304635761589401,7.284768211920537,27.316486161251508,True,1.4493,2.679,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,15.6953642384106,4.304635761589401,历史1/3次成功; 当前距低点4.30%; 最新日涨幅1.45%; 状态bottom_area; 底部已确认
14,62.170044252467946,56.35538142566352,002192,融捷股份,bottom_area,2023-04-14,77.71,2023-04-06,74.29,4.603580562659829,6.326558083187493,29.43579027355623,False,3.8904,6.0742,1,2,1,50.0,25.707231766279197,25.707231766279197,15.396419437340173,4.603580562659829,历史1/2次成功; 当前距低点4.60%; 最新日涨幅3.89%; 状态bottom_area; 底部未确认
