rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.85497702363341,88.60207731262729,002357,富临运业,bottom_area,2024-09-03,5.2,2024-08-29,5.12,1.5625000000000013,4.492187499999991,28.08988764044944,False,0.3861,2.1814,4,4,4,100.0,20.132136089393963,31.941031941031934,6.437499999999999,1.5625000000000013,历史4/4次成功; 当前距低点1.56%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,89.0380602099426,89.58454545454548,000957,中通客车,bottom_area,2024-09-03,9.18,2024-08-29,8.8,4.318181818181807,7.159090909090897,31.25,True,0.4376,2.8382,4,4,4,100.0,101.48868676450815,354.54545454545456,3.681818181818193,4.318181818181807,历史4/4次成功; 当前距低点4.32%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
3,88.29633003245866,83.69064014104039,603132,金徽股份,bottom_area,2024-09-03,10.83,2024-09-03,10.7,1.2149532710280448,2.4299065420560897,28.61907938625751,False,0.6506,1.3599,2,2,2,100.0,22.799643005292072,33.20754716981132,6.785046728971955,1.2149532710280448,历史2/2次成功; 当前距低点1.21%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
4,87.690102615517,83.8207138718079,000532,华金资本,bottom_area,2024-09-03,10.45,2024-09-03,10.28,1.653696498054474,2.1400778210116793,27.50352609308886,False,0.0,2.7827,2,2,2,100.0,28.877106921355356,32.044198895027606,6.346303501945526,1.653696498054474,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,87.55180847380348,84.18014288334983,603069,海汽集团,bottom_area,2024-09-03,15.1,2024-08-29,14.81,1.958136394328151,6.819716407832543,27.966926070038905,False,-1.8205,1.5651,6,6,6,100.0,23.68114979794627,76.0375880971026,6.041863605671849,1.958136394328151,历史6/6次成功; 当前距低点1.96%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
6,87.30712055774357,82.94176452985641,300562,乐心医疗,bottom_area,2024-09-03,12.16,2024-09-03,12.0,1.3333333333333344,6.916666666666667,29.988331388564767,False,-5.4432,37.2332,4,4,4,100.0,19.57937919277642,22.71604938271605,6.666666666666665,1.3333333333333344,历史4/4次成功; 当前距低点1.33%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
7,85.3518441851714,83.6594236605443,002219,新里程,bottom_area,2024-09-03,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.578,0.6547,2,2,2,100.0,34.81175156302061,45.685279187817265,5.041420118343193,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
8,84.95496869713288,80.77979519869561,301333,诺思格,bottom_area,2024-09-03,38.2,2024-08-29,37.68,1.380042462845019,6.661358811040334,28.744326777609686,False,0.7916,1.8802,1,1,1,100.0,25.840279645065877,25.840279645065877,6.619957537154981,1.380042462845019,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
9,83.81759851265069,82.91946840357632,000597,东北制药,bottom_area,2024-09-03,4.21,2024-08-26,4.07,3.4398034398034314,5.65110565110564,32.053422370617696,False,0.7177,1.5494,3,3,3,100.0,29.259248636172746,61.02150537634409,4.560196560196569,3.4398034398034314,历史3/3次成功; 当前距低点3.44%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
10,83.47408459491355,81.28200337086086,000037,深南电A,bottom_area,2024-09-03,7.06,2024-08-28,6.88,2.6162790697674376,5.087209302325589,28.92561983471074,False,0.2841,1.2297,7,8,7,87.5,20.777524999627015,45.16765285996055,5.383720930232562,2.6162790697674376,历史7/8次成功; 当前距低点2.62%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
11,82.94350414326442,79.1516681664443,001218,丽臣实业,bottom_area,2024-09-03,13.61,2024-08-30,13.4,1.5671641791044706,4.850746268656718,32.323232323232325,False,-0.1467,0.7037,2,2,2,100.0,25.18711018711019,29.999999999999993,6.43283582089553,1.5671641791044706,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
12,82.81879677073175,81.07698932738137,000983,山西焦煤,bottom_area,2024-09-03,7.82,2024-08-26,7.6,2.8947368421052717,6.578947368421052,29.95391705069125,False,-1.6352,0.5553,4,4,4,100.0,18.47843724398591,27.212389380530986,5.105263157894728,2.8947368421052717,历史4/4次成功; 当前距低点2.89%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
13,81.80926505216453,79.4308664666403,600262,北方股份,bottom_area,2024-09-03,15.79,2024-08-29,15.41,2.4659312134977225,6.55418559377029,31.48065807025344,False,1.871,1.8984,2,2,2,100.0,15.232202330188693,17.269624573378834,5.534068786502278,2.4659312134977225,历史2/2次成功; 当前距低点2.47%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
14,81.32496973057623,79.12495834180045,002674,兴业科技,bottom_area,2024-09-03,7.97,2024-08-21,7.77,2.5740025740025763,6.30630630630631,31.72231985940247,False,0.1256,0.4144,1,1,1,100.0,31.578947368421055,31.578947368421055,5.425997425997424,2.5740025740025763,历史1/1次成功; 当前距低点2.57%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
15,81.12178911893109,79.11058133684001,600956,新天绿能,bottom_area,2024-09-03,6.86,2024-08-29,6.68,2.694610778443123,7.035928143712584,28.860489882854107,True,-2.8329,0.354,2,2,2,100.0,29.592978019840494,41.27358490566036,5.305389221556878,2.694610778443123,历史2/2次成功; 当前距低点2.69%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
16,80.1800237468522,80.62558619688762,002545,东方铁塔,bottom_area,2024-09-03,6.08,2024-07-25,5.83,4.288164665523156,7.375643224699823,29.247572815533985,True,0.1647,0.5592,3,3,3,100.0,18.132266850969987,28.468653648509758,3.711835334476844,4.288164665523156,历史3/3次成功; 当前距低点4.29%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
17,79.9810599676973,75.60418693152002,000708,中信特钢,bottom_area,2024-09-03,11.29,2024-08-30,11.17,1.0743061772605123,4.834377797672345,31.472392638036812,False,-0.5286,0.1132,1,1,1,100.0,16.739811912225715,16.739811912225715,6.925693822739489,1.0743061772605123,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
18,79.62642411665614,77.89071637084686,603291,联合水务,bottom_area,2024-09-03,9.37,2024-08-28,9.11,2.8540065861690427,5.92755214050495,29.65250965250965,False,0.3212,0.712,2,2,2,100.0,11.708878426410102,12.102772143340088,5.145993413830957,2.8540065861690427,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
19,79.2752306846068,76.85625543404223,001286,陕西能源,bottom_area,2024-09-03,9.43,2024-08-29,9.21,2.3887079261671973,4.560260586319217,27.07838479809976,False,0.0,1.5279,1,1,1,100.0,17.110266159695826,17.110266159695826,5.611292073832803,2.3887079261671973,历史1/1次成功; 当前距低点2.39%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
20,79.16888292346732,74.71526700771342,000517,荣安地产,bottom_area,2024-09-03,2.04,2024-09-03,2.02,0.990099009900991,2.970297029702973,28.36879432624113,False,-0.4878,1.0125,2,2,2,100.0,34.10049865746067,40.92827004219408,7.009900990099009,0.990099009900991,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
