rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.66170583794249,78.25684654947416,605319,无锡振华,bottom_area,2021-07-20,15.96,2021-07-20,15.68,1.785714285714293,2.5510204081632564,28.139321723189738,False,0.3143,4.2383,1,1,1,100.0,17.248790972595383,17.248790972595383,6.214285714285707,1.785714285714293,历史1/1次成功; 当前距低点1.79%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
2,81.26412198315978,77.5395022064797,300771,智莱科技,bottom_area,2021-07-20,18.22,2021-07-20,17.94,1.5607580824971994,1.7279821627647642,28.23999999999999,False,0.22,3.3065,1,1,1,100.0,10.634573304157549,10.634573304157549,6.439241917502801,1.5607580824971994,历史1/1次成功; 当前距低点1.56%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
3,77.40427622344056,75.85267689897488,300543,朗科智能,bottom_area,2021-07-20,15.37,2021-07-20,14.93,2.947086403215,3.3489618218352315,27.241715399610133,False,0.9192,4.9456,1,1,1,100.0,18.559322033898297,18.559322033898297,5.052913596784999,2.947086403215,历史1/1次成功; 当前距低点2.95%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
4,76.49678314937978,74.8143228024852,601933,永辉超市,bottom_area,2021-07-20,4.34,2021-07-20,4.22,2.8436018957346,3.5545023696682554,27.491408934707913,False,0.9302,0.3639,1,1,1,100.0,11.70825335892515,11.70825335892515,5.1563981042654,2.8436018957346,历史1/1次成功; 当前距低点2.84%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
5,75.2045648171313,74.25265500391343,000157,中联重科,bottom_area,2021-07-20,8.05,2021-07-19,7.79,3.337612323491665,4.236200256739399,30.57040998217469,False,1.0038,1.013,1,1,1,100.0,14.744145706851702,14.744145706851702,4.662387676508335,3.337612323491665,历史1/1次成功; 当前距低点3.34%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
