rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.15181116427692,81.09157789945249,002321,华英农业,bottom_area,2024-12-26,2.48,2024-12-25,2.45,1.2244897959183594,7.346938775510193,30.790960451977394,False,0.813,2.0638,1,1,1,100.0,25.609756097560986,25.609756097560986,18.77551020408164,1.2244897959183594,历史1/1次成功; 当前距低点1.22%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
2,95.02108151735273,80.85928571428572,300720,海川智能,bottom_area,2024-12-26,17.7,2024-12-26,17.5,1.1428571428571388,4.857142857142866,27.476170741815164,False,-0.4499,1.8663,3,4,3,75.0,57.75229601757511,75.69193742478939,18.85714285714286,1.1428571428571388,历史3/4次成功; 当前距低点1.14%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
3,92.75013195783808,80.05668571428572,002016,世荣兆业,bottom_area,2024-12-26,6.37,2024-12-25,6.25,1.9200000000000015,3.840000000000003,28.160919540229877,False,0.1572,0.5272,1,1,1,100.0,28.571428571428566,28.571428571428566,18.08,1.9200000000000015,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
4,91.6780300657622,79.49316969210714,002453,华软科技,bottom_area,2024-12-26,5.18,2024-12-25,5.07,2.169625246548312,6.903353057199204,28.89200561009817,False,0.1934,2.0666,1,1,1,100.0,28.60169491525425,28.60169491525425,17.83037475345169,2.169625246548312,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,88.27715334574452,74.95882361490447,600416,湘电股份,bottom_area,2024-12-26,10.84,2024-12-25,10.73,1.025163094128606,3.168685927306616,27.500000000000004,False,0.1848,0.739,2,3,2,66.66666666666666,29.083488187371074,34.41084462982274,18.974836905871395,1.025163094128606,历史2/3次成功; 当前距低点1.03%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
6,88.1521302072728,77.12597263760098,300355,蒙草生态,bottom_area,2024-12-26,5.4,2024-12-25,5.26,2.6615969581749157,7.604562737642592,29.58500669344043,False,-1.2797,4.4116,2,2,2,100.0,27.711901624945106,33.201581027668,17.338403041825085,2.6615969581749157,历史2/2次成功; 当前距低点2.66%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
7,86.14525835568425,74.03108139941614,601011,宝泰隆,bottom_area,2024-12-26,2.42,2024-12-25,2.38,1.6806722689075646,7.14285714285714,27.439024390243897,False,0.0,2.7382,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,18.319327731092436,1.6806722689075646,历史2/3次成功; 当前距低点1.68%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,80.27381470420964,71.39541623794385,000692,惠天热电,bottom_area,2024-12-26,3.49,2024-12-25,3.37,3.5608308605341277,8.011869436201781,30.515463917525764,False,1.1594,2.9392,2,3,2,66.66666666666666,41.00776308223117,59.042553191489375,16.43916913946587,3.5608308605341277,历史2/3次成功; 当前距低点3.56%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
9,80.1602031216403,68.91601173353689,000955,欣龙控股,bottom_area,2024-12-26,4.18,2024-12-25,4.11,1.7031630170316152,7.785888077858866,29.743589743589734,False,-0.9479,2.3618,2,3,2,66.66666666666666,27.37933734248553,28.498727735368945,18.296836982968387,1.7031630170316152,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
10,78.20428676867247,68.8757436153517,002741,光华科技,bottom_area,2024-12-26,17.72,2024-12-25,17.2,3.0232558139534857,6.279069767441871,31.746031746031743,False,0.283,8.4592,2,4,2,50.0,40.3159509202454,40.99999999999999,16.976744186046517,3.0232558139534857,历史2/4次成功; 当前距低点3.02%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
11,76.6959817439058,68.14853799533799,002652,扬子新材,bottom_area,2024-12-26,2.95,2024-12-25,2.85,3.5087719298245648,6.666666666666665,28.571428571428577,False,0.6826,2.9307,2,3,2,66.66666666666666,22.913286713286713,23.426573426573423,16.49122807017544,3.5087719298245648,历史2/3次成功; 当前距低点3.51%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
12,75.05958455064697,68.31770569879244,002836,新宏泽,bottom_area,2024-12-26,7.6,2024-12-25,7.25,4.827586206896547,6.482758620689652,27.500000000000004,False,2.8417,3.1414,2,3,2,66.66666666666666,39.98890098844028,59.30851063829788,15.172413793103454,4.827586206896547,历史2/3次成功; 当前距低点4.83%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
13,74.136051422854,63.74414826097994,002162,悦心健康,bottom_area,2024-12-26,3.57,2024-12-24,3.51,1.7094017094017109,7.122507122507122,30.21868787276343,True,-1.108,3.7017,1,2,1,50.0,43.23432343234324,43.23432343234324,18.29059829059829,1.7094017094017109,历史1/2次成功; 当前距低点1.71%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
14,74.09242181891317,64.04080051991743,600156,华升股份,bottom_area,2024-12-26,4.6,2024-12-25,4.51,1.9955654101995532,7.095343680709541,29.31034482758621,False,0.6565,2.6262,1,2,1,50.0,35.05747126436782,35.05747126436782,18.004434589800447,1.9955654101995532,历史1/2次成功; 当前距低点2.00%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
15,72.2608444642978,63.14398779894458,300511,雪榕生物,bottom_area,2024-12-26,3.56,2024-12-25,3.47,2.593659942363108,7.204610951008646,27.100840336134446,False,0.565,2.712,2,5,2,40.0,25.900712191034756,29.220779220779214,17.406340057636893,2.593659942363108,历史2/5次成功; 当前距低点2.59%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
16,72.07616128237059,65.73761875805356,600327,大东方,bottom_area,2024-12-26,5.31,2024-12-25,5.06,4.940711462450594,6.719367588932822,30.494505494505503,False,1.3359,4.88,2,3,2,66.66666666666666,27.5041625041625,33.030303030303024,15.05928853754941,4.940711462450594,历史2/3次成功; 当前距低点4.94%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
17,71.9766465234368,60.294035836177464,002693,双成药业,bottom_area,2024-12-26,17.63,2024-12-26,17.58,0.28441410693970826,3.412969283276459,30.403800475059395,False,-2.1643,4.0672,3,8,3,37.5,59.74209192291882,102.85714285714285,19.715585893060293,0.28441410693970826,历史3/8次成功; 当前距低点0.28%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
18,71.49339750497305,63.78921527260323,000510,新金路,bottom_area,2024-12-26,3.61,2024-12-25,3.48,3.735632183908043,8.045977011494248,29.6969696969697,False,0.838,2.323,2,4,2,50.0,21.70137984899766,23.043478260869577,16.26436781609196,3.735632183908043,历史2/4次成功; 当前距低点3.74%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
19,71.41343070242071,64.16050414670609,300635,中达安,bottom_area,2024-12-26,10.12,2024-12-25,9.72,4.115226337448545,5.967078189300413,29.870129870129862,False,1.2,2.7553,2,4,2,50.0,28.350646215530983,32.72214386459803,15.884773662551455,4.115226337448545,历史2/4次成功; 当前距低点4.12%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
20,70.31838199028516,63.534219562432234,000620,盈新发展,bottom_area,2024-12-26,2.36,2024-12-24,2.26,4.424778761061951,8.407079646017717,27.795527156549525,True,0.8547,1.7144,3,7,3,42.857142857142854,35.0606804635748,58.4192439862543,15.57522123893805,4.424778761061951,历史3/7次成功; 当前距低点4.42%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
21,69.3666975199975,60.83143426294819,002021,中捷资源,bottom_area,2024-12-26,2.58,2024-12-25,2.51,2.7888446215139555,8.764940239043833,29.691876750700285,False,-0.7692,3.4941,1,2,1,50.0,50.76923076923077,50.76923076923077,17.211155378486044,2.7888446215139555,历史1/2次成功; 当前距低点2.79%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
22,68.93001141282959,61.94851239669421,002337,赛象科技,bottom_area,2024-12-26,5.04,2024-12-25,4.84,4.132231404958682,5.578512396694225,27.327327327327332,False,2.439,2.3706,1,2,1,50.0,60.465116279069754,60.465116279069754,15.867768595041321,4.132231404958682,历史1/2次成功; 当前距低点4.13%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
23,68.9016550780059,61.152302041148765,300651,金陵体育,bottom_area,2024-12-26,13.21,2024-12-25,12.77,3.4455755677368938,5.090054815974944,32.398094229751194,False,1.0712,5.1433,2,5,2,40.0,25.635560944026203,25.720461095100855,16.554424432263108,3.4455755677368938,历史2/5次成功; 当前距低点3.45%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
24,67.513490497645,59.38123894148284,300340,科恒股份,bottom_area,2024-12-26,9.77,2024-12-25,9.49,2.950474183350889,6.95468914646997,29.703703703703706,False,2.4109,3.6254,1,4,1,25.0,42.54473161033797,42.54473161033797,17.049525816649115,2.950474183350889,历史1/4次成功; 当前距低点2.95%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
25,67.32882197855274,57.34916426073908,000681,视觉中国,bottom_area,2024-12-26,22.86,2024-12-25,22.59,1.1952191235059741,7.52545374059318,29.006913890634824,False,0.0876,22.8881,1,5,1,20.0,20.93690248565965,20.93690248565965,18.804780876494025,1.1952191235059741,历史1/5次成功; 当前距低点1.20%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
26,66.9643364822312,57.88442645074223,600408,安泰集团,bottom_area,2024-12-26,2.04,2024-12-25,2.0,2.0000000000000018,6.499999999999995,30.069930069930066,False,0.0,2.3096,1,3,1,33.33333333333333,21.457489878542503,21.457489878542503,18.0,2.0000000000000018,历史1/3次成功; 当前距低点2.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
27,65.8720693059456,58.31450894648158,002167,东方锆业,bottom_area,2024-12-26,7.5,2024-12-25,7.26,3.305785123966945,6.060606060606066,30.259365994236315,False,1.7639,3.1156,1,4,1,25.0,41.1650485436893,41.1650485436893,16.694214876033055,3.305785123966945,历史1/4次成功; 当前距低点3.31%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
28,65.13295034821978,56.21846006974105,002298,中电鑫龙,bottom_area,2024-12-26,5.31,2024-12-25,5.21,1.9193857965450989,6.717850287907863,28.23691460055096,False,0.9506,3.7285,1,5,1,20.0,23.734729493891784,23.734729493891784,18.080614203454903,1.9193857965450989,历史1/5次成功; 当前距低点1.92%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
29,65.04741099170984,58.89387773175729,688165,埃夫特,bottom_area,2024-12-26,27.87,2024-12-26,26.66,4.538634658664669,13.578394598649664,27.25784447476125,False,-3.9628,9.2534,2,4,2,50.0,37.91378899738032,53.84615384615383,15.46136534133533,4.538634658664669,历史2/4次成功; 当前距低点4.54%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
30,64.71739113626043,58.13429618768331,000691,亚太实业,bottom_area,2024-12-26,3.55,2024-12-26,3.41,4.1055718475073215,8.504398826979473,30.691056910569102,False,0.2825,6.0608,1,4,1,25.0,76.05633802816902,76.05633802816902,15.89442815249268,4.1055718475073215,历史1/4次成功; 当前距低点4.11%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
31,64.53983039272742,56.32855510612964,002374,中锐股份,bottom_area,2024-12-26,2.84,2024-12-26,2.77,2.5270758122743624,4.332129963898921,32.1078431372549,False,0.0,1.814,1,4,1,25.0,20.94240837696336,20.94240837696336,17.47292418772564,2.5270758122743624,历史1/4次成功; 当前距低点2.53%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
32,64.41488904414727,56.41328112382536,603256,宏和科技,bottom_area,2024-12-26,8.7,2024-12-25,8.47,2.715466351829972,6.8476977567886665,30.45977011494252,False,0.9281,0.6917,1,3,1,33.33333333333333,22.318339100346023,22.318339100346023,17.28453364817003,2.715466351829972,历史1/3次成功; 当前距低点2.72%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
33,64.17604785235447,55.95388528758687,002178,延华智能,bottom_area,2024-12-26,6.22,2024-12-25,6.07,2.471169686985164,8.237232289950576,29.663962920046355,False,0.3226,3.346,1,5,1,20.0,29.076086956521735,29.076086956521735,17.528830313014836,2.471169686985164,历史1/5次成功; 当前距低点2.47%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
34,64.02420603472986,57.142008192658146,002343,慈文传媒,bottom_area,2024-12-26,6.36,2024-12-25,6.13,3.7520391517128946,6.525285481239811,27.7122641509434,False,0.4739,3.1754,1,4,1,25.0,40.33149171270718,40.33149171270718,16.247960848287107,3.7520391517128946,历史1/4次成功; 当前距低点3.75%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
35,63.6757441195099,55.896587677725115,000981,山子高科,bottom_area,2024-12-26,2.17,2024-12-25,2.11,2.8436018957346,9.478672985782,30.81967213114754,False,0.9302,7.1363,1,4,1,25.0,22.499999999999993,22.499999999999993,17.156398104265403,2.8436018957346,历史1/4次成功; 当前距低点2.84%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
36,63.50076391504836,55.79040462427744,002146,荣盛发展,bottom_area,2024-12-26,1.78,2024-12-25,1.73,2.890173410404627,5.202312138728328,27.61506276150628,False,0.0,3.1072,1,5,1,20.0,33.33333333333333,33.33333333333333,17.10982658959537,2.890173410404627,历史1/5次成功; 当前距低点2.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
37,62.716650019406465,53.05187548146386,300386,飞天诚信,bottom_area,2024-12-26,17.28,2024-12-26,17.14,0.8168028004667477,4.259043173862312,30.438311688311686,False,-0.6325,14.8291,3,9,3,33.33333333333333,26.61748673760595,31.195335276967924,19.183197199533254,0.8168028004667477,历史3/9次成功; 当前距低点0.82%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
38,61.78667819493922,54.571027428803106,300533,冰川网络,bottom_area,2024-12-26,20.45,2024-12-25,19.82,3.1786074672048388,5.852674066599396,29.264810849393285,False,-0.535,3.4581,1,3,1,33.33333333333333,40.564081294068856,40.564081294068856,16.821392532795162,3.1786074672048388,历史1/3次成功; 当前距低点3.18%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
39,61.30078920182441,55.11323022557848,000890,法尔胜,bottom_area,2024-12-26,3.26,2024-12-25,3.13,4.153354632587856,7.667731629392978,30.13392857142858,False,0.9288,3.0804,1,3,1,33.33333333333333,32.954545454545446,32.954545454545446,15.846645367412146,4.153354632587856,历史1/3次成功; 当前距低点4.15%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
40,59.983723927432,53.6887057674136,605303,园林股份,bottom_area,2024-12-26,7.71,2024-12-25,7.42,3.908355795148249,6.199460916442049,27.11198428290766,False,2.2546,1.6968,1,4,1,25.0,23.681489141675293,23.681489141675293,16.09164420485175,3.908355795148249,历史1/4次成功; 当前距低点3.91%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
41,59.654830952513755,53.74569882335365,300377,赢时胜,bottom_area,2024-12-26,27.85,2024-12-24,26.71,4.268064395357546,9.247472856608008,27.021857923497265,True,-1.2061,9.8138,1,2,1,50.0,20.843471208434714,20.843471208434714,15.731935604642455,4.268064395357546,历史1/2次成功; 当前距低点4.27%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
42,59.34435397706253,52.98603033666298,603123,翠微股份,bottom_area,2024-12-26,8.25,2024-12-25,7.95,3.773584905660375,6.289308176100618,29.770318021201415,False,0.8557,1.787,1,5,1,20.0,29.08496732026144,29.08496732026144,16.226415094339625,3.773584905660375,历史1/5次成功; 当前距低点3.77%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
43,56.94281514980212,51.604426229508185,300749,顶固集创,bottom_area,2024-12-26,6.38,2024-12-25,6.1,4.590163934426235,6.229508196721325,31.690929451287797,False,2.4077,3.3321,1,4,1,25.0,20.833333333333336,20.833333333333336,15.409836065573767,4.590163934426235,历史1/4次成功; 当前距低点4.59%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
