rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.4162559095973,86.35885068191857,001226,拓山重工,bottom_area,2025-08-13,35.9,2025-08-08,35.53,1.0413734871939135,3.405572755417959,31.699346405228763,False,-1.1019,2.6269,4,4,4,100.0,24.15689372430483,41.451766953199616,6.958626512806086,1.0413734871939135,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
2,86.31276966738736,82.43292658925316,001331,胜通能源,bottom_area,2025-08-13,12.0,2025-08-08,11.81,1.6088060965283615,2.4555461473327616,30.242173656231536,False,0.3344,14.7917,2,2,2,100.0,20.865615534074305,23.35390946502057,6.391193903471638,1.6088060965283615,历史2/2次成功; 当前距低点1.61%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
3,84.41061195420724,83.62646795699192,300651,金陵体育,bottom_area,2025-08-13,21.5,2025-08-08,20.77,3.514684641309583,4.477611940298506,30.651085141903174,False,2.2349,12.2646,5,5,5,100.0,17.311553436439517,25.720461095100855,4.485315358690417,3.514684641309583,历史5/5次成功; 当前距低点3.51%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
4,84.10725082414378,82.59621985522251,002658,雪迪龙,bottom_area,2025-08-13,8.09,2025-08-01,7.85,3.057324840764334,3.1847133757961785,31.50087260034905,False,0.3722,3.7379,3,3,3,100.0,22.83290587185592,34.81481481481481,4.942675159235666,3.057324840764334,历史3/3次成功; 当前距低点3.06%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,81.89911381882281,78.11341929881688,603262,技源集团,bottom_area,2025-08-13,30.34,2025-08-04,29.88,1.539491298527446,3.078982597054892,28.823249166269648,False,0.3971,8.5787,1,1,1,100.0,13.459459459459449,13.459459459459449,6.460508701472555,1.539491298527446,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
6,81.78177947679418,79.6932662912309,603022,新通联,bottom_area,2025-08-13,10.44,2025-07-24,10.17,2.654867256637164,3.539823008849552,32.33532934131736,False,0.0959,2.6616,2,2,2,100.0,18.958944281524914,26.099706744868023,5.345132743362837,2.654867256637164,历史2/2次成功; 当前距低点2.65%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
7,79.12828435158885,78.70289056588533,605099,共创草坪,bottom_area,2025-08-13,31.23,2025-08-08,30.11,3.719694453669881,4.118233145134513,27.93202489229297,False,1.495,0.9122,2,2,2,100.0,26.687064087379913,44.31372549019606,4.280305546330119,3.719694453669881,历史2/2次成功; 当前距低点3.72%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
8,79.08016818220004,76.18589156872947,605033,美邦股份,bottom_area,2025-08-13,21.29,2025-08-08,20.86,2.0613614573346104,3.4515819750719023,32.926045016077175,False,-0.7459,2.0837,1,1,1,100.0,31.96664350243223,31.96664350243223,5.938638542665389,2.0613614573346104,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
9,78.24655559629345,76.84929567493107,000558,天府文旅,bottom_area,2025-08-13,5.72,2025-08-12,5.55,3.063063063063062,3.2432432432432545,29.83565107458913,False,2.1429,12.2951,4,5,4,80.0,18.672470208144375,30.23255813953488,4.936936936936938,3.063063063063062,历史4/5次成功; 当前距低点3.06%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
10,77.02191012909763,74.02042777334398,603511,爱慕股份,bottom_area,2025-08-13,15.29,2025-08-04,15.0,1.9333333333333276,4.066666666666663,29.906542056074763,False,-0.3259,0.6933,1,1,1,100.0,18.754988028731056,18.754988028731056,6.066666666666673,1.9333333333333276,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
11,76.18206957485907,74.46017795954461,603839,安正时尚,bottom_area,2025-08-13,7.68,2025-08-08,7.47,2.811244979919678,5.488621151271756,28.03468208092486,False,-1.0309,2.7152,1,1,1,100.0,31.88073394495412,31.88073394495412,5.188755020080322,2.811244979919678,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
12,76.11591553019015,75.19444869830454,300963,中洲特材,bottom_area,2025-08-13,19.65,2025-08-01,19.01,3.3666491320357546,6.049447659126767,27.93783169067475,False,0.5629,4.675,1,1,1,100.0,20.163487738419626,20.163487738419626,4.6333508679642454,3.3666491320357546,历史1/1次成功; 当前距低点3.37%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
