rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.29406008619974,78.84684524029745,000012,南玻A,bottom_area,2022-04-27,5.58,2022-04-27,5.37,3.910614525139664,4.096834264432025,29.527559055118108,False,2.5735,3.2656,1,1,1,100.0,46.467991169977914,46.467991169977914,11.089385474860336,3.910614525139664,历史1/1次成功; 当前距低点3.91%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
2,80.66883560045241,75.21411803150122,002375,亚厦股份,bottom_area,2022-04-27,4.44,2022-04-27,4.28,3.738317757009349,4.205607476635507,28.187919463087248,False,0.4525,1.2191,1,1,1,100.0,24.825174825174827,24.825174825174827,11.26168224299065,3.738317757009349,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
3,80.50526627303834,76.54670794774088,002722,物产金轮,bottom_area,2022-04-27,12.25,2022-04-27,11.69,4.790419161676651,4.961505560307956,27.61609907120743,False,1.9135,0.8665,1,1,1,100.0,44.886363636363626,44.886363636363626,10.209580838323348,4.790419161676651,历史1/1次成功; 当前距低点4.79%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
4,78.7515619036495,74.82132242989108,688258,卓易信息,bottom_area,2022-04-27,22.94,2022-04-27,21.9,4.7488584474885975,5.6164383561643865,28.196721311475414,False,4.2254,0.8706,2,2,2,100.0,18.433976828844497,19.85157699443413,10.251141552511402,4.7488584474885975,历史2/2次成功; 当前距低点4.75%; 最新日涨幅4.23%; 状态bottom_area; 底部未确认
5,78.16719325153375,67.97147239263805,601086,国芳集团,bottom_area,2022-04-27,4.24,2022-04-27,4.24,0.0,2.8301886792452855,27.022375215146287,False,-9.9788,6.4128,1,1,1,100.0,24.846625766871185,24.846625766871185,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
6,73.96337297388541,69.37387563063321,002481,双塔食品,bottom_area,2022-04-27,7.18,2022-04-27,6.9,4.057971014492744,8.405797101449277,31.68316831683168,False,-1.6438,5.0814,1,1,1,100.0,19.817470664928287,19.817470664928287,10.942028985507255,4.057971014492744,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
7,71.59729744760568,68.08195468914649,002479,富春环保,bottom_area,2022-04-27,4.59,2022-04-27,4.38,4.794520547945204,7.305936073059367,28.66449511400651,False,-5.7495,1.7495,1,1,1,100.0,32.11538461538461,32.11538461538461,10.205479452054794,4.794520547945204,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-5.75%; 状态bottom_area; 底部未确认
8,70.10988285410006,66.23446219382319,603226,菲林格尔,bottom_area,2022-04-27,6.11,2022-04-27,5.85,4.444444444444456,8.37606837606838,27.77777777777778,False,-6.0,2.1838,1,1,1,100.0,17.891373801916934,17.891373801916934,10.555555555555543,4.444444444444456,历史1/1次成功; 当前距低点4.44%; 最新日涨幅-6.00%; 状态bottom_area; 底部未确认
9,68.0453877966024,64.6101128236993,603233,大参林,bottom_area,2022-04-27,23.98,2022-04-27,22.9,4.716157205240183,5.327510917030579,31.53961136023917,False,1.0961,0.7202,2,3,2,66.66666666666666,18.689702069786225,20.223978919631097,10.283842794759817,4.716157205240183,历史2/3次成功; 当前距低点4.72%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
10,65.15274126751726,56.65455762392805,603196,璞源材料,bottom_area,2022-04-27,5.91,2022-04-27,5.91,0.0,2.8764805414551597,27.03703703703703,False,-10.0457,3.5743,2,4,2,50.0,22.33633131144113,22.85714285714286,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
11,62.02167416484809,57.67904347826088,000605,渤海股份,bottom_area,2022-04-27,5.18,2022-04-27,5.0,3.5999999999999943,5.0,27.849927849927848,False,1.1719,2.9694,1,2,1,50.0,20.521739130434778,20.521739130434778,11.400000000000004,3.5999999999999943,历史1/2次成功; 当前距低点3.60%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
