rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.7641942759209,83.78782364034004,000517,荣安地产,bottom_area,2024-09-09,1.95,2024-09-09,1.91,2.094240837696337,3.141361256544505,32.26950354609929,False,0.5155,0.7625,2,2,2,100.0,34.10049865746067,40.92827004219408,17.905759162303664,2.094240837696337,历史2/2次成功; 当前距低点2.09%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,96.74877396917087,82.35275756959966,002674,兴业科技,bottom_area,2024-09-09,7.86,2024-08-21,7.77,1.158301158301168,6.30630630630631,31.72231985940247,False,0.0,0.2675,1,1,1,100.0,31.578947368421055,31.578947368421055,18.841698841698832,1.158301158301168,历史1/1次成功; 当前距低点1.16%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,87.2726780806912,76.67200268594581,603079,圣达生物,bottom_area,2024-09-09,10.69,2024-08-26,10.39,2.887391722810384,6.929740134744936,28.83561643835616,False,1.2311,1.3229,1,1,1,100.0,22.232558139534888,22.232558139534888,17.11260827718962,2.887391722810384,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
4,86.55483132147072,78.5927270145737,000532,华金资本,bottom_area,2024-09-09,10.7,2024-09-04,10.22,4.696673189823861,7.632093933463789,27.926657263751757,True,0.8483,2.8649,2,2,2,100.0,28.877106921355356,32.044198895027606,15.30332681017614,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
5,82.64543602541397,70.08749993210277,600345,长江通信,bottom_area,2024-09-09,14.79,2024-09-09,14.65,0.9556313993173979,2.3890784982935127,27.331349206349202,False,-1.2024,1.4841,1,1,1,100.0,25.46419098143237,25.46419098143237,19.044368600682603,0.9556313993173979,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
6,78.65997006936666,67.13343422769866,600183,生益科技,bottom_area,2024-09-09,17.1,2024-08-29,16.88,1.303317535545038,7.760663507109018,29.519832985386223,True,-1.2132,0.6045,2,4,2,50.0,23.14515165989969,25.158227848101262,18.696682464454963,1.303317535545038,历史2/4次成功; 当前距低点1.30%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
7,77.95594139379081,69.84704914479127,301607,富特科技,bottom_area,2024-09-09,41.69,2024-09-09,40.1,3.965087281795502,11.895261845386523,28.90070921985815,False,-13.1458,62.4236,1,1,1,100.0,31.437893264973205,31.437893264973205,16.0349127182045,3.965087281795502,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-13.15%; 状态bottom_area; 底部未确认
8,76.68414473636727,64.7196373936104,601919,中远海控,bottom_area,2024-09-09,11.63,2024-09-09,11.55,0.6926406926406933,2.5108225108225035,28.835489833641404,False,-1.8565,0.5332,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,19.30735930735931,0.6926406926406933,历史2/3次成功; 当前距低点0.69%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
9,71.00503623579044,60.762255947497934,603132,金徽股份,bottom_area,2024-09-09,10.5,2024-09-09,10.35,1.4492753623188441,2.125603864734306,30.95396931287525,False,-0.2849,1.0892,1,2,1,50.0,33.20754716981132,33.20754716981132,18.550724637681157,1.4492753623188441,历史1/2次成功; 当前距低点1.45%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
10,69.61488494904425,62.67373681497227,603069,海汽集团,bottom_area,2024-09-09,14.79,2024-09-04,14.19,4.228329809725157,7.540521494009868,30.982490272373536,True,0.3392,1.2723,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,15.771670190274845,4.228329809725157,历史2/6次成功; 当前距低点4.23%; 最新日涨幅0.34%; 状态bottom_area; 底部已确认
11,68.74160537511376,59.979843868790454,000591,太阳能,bottom_area,2024-09-09,4.08,2024-08-23,3.98,2.5125628140703538,7.035175879396981,28.158844765342963,True,-1.4493,0.3815,1,2,1,50.0,32.84132841328414,32.84132841328414,17.487437185929647,2.5125628140703538,历史1/2次成功; 当前距低点2.51%; 最新日涨幅-1.45%; 状态bottom_area; 底部已确认
