rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.3170246328335,82.79887188685858,000619,海螺新材,bottom_area,2025-12-11,6.23,2025-11-21,6.19,0.6462035541195482,7.108239095315015,27.85547785547785,True,-2.6563,2.3735,4,4,4,100.0,30.81836553898465,43.133047210300425,7.353796445880452,0.6462035541195482,历史4/4次成功; 当前距低点0.65%; 最新日涨幅-2.66%; 状态bottom_area; 底部已确认
2,88.08737972094211,84.12321715893216,002176,江特电机,bottom_area,2025-12-11,9.49,2025-12-05,9.34,1.6059957173447574,4.817987152034254,27.428127428127425,False,-0.4197,3.6912,5,5,5,100.0,19.058534378915056,39.01808785529715,6.394004282655243,1.6059957173447574,历史5/5次成功; 当前距低点1.61%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
3,87.1783863798854,82.00060028490563,002759,天际股份,bottom_area,2025-12-11,34.55,2025-12-08,34.27,0.817041143857584,7.090749927049897,27.33248515691263,True,-0.8039,12.9858,5,5,5,100.0,28.62072092957485,72.99787384833452,7.182958856142416,0.817041143857584,历史5/5次成功; 当前距低点0.82%; 最新日涨幅-0.80%; 状态bottom_area; 底部已确认
4,86.93600672273111,83.36954533089168,300768,迪普科技,bottom_area,2025-12-11,19.0,2025-12-05,18.66,1.822079314040728,6.216505894962488,27.05238467552775,False,-1.4523,1.3815,3,3,3,100.0,34.32196863927173,47.28781110402041,6.177920685959272,1.822079314040728,历史3/3次成功; 当前距低点1.82%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
5,86.77940795106927,80.9011390394758,300598,诚迈科技,bottom_area,2025-12-11,45.34,2025-12-11,45.18,0.35413899955733447,2.9880478087649434,29.40625,False,-1.819,2.7582,5,5,5,100.0,26.22890300250812,45.24950099800398,7.645861000442666,0.35413899955733447,历史5/5次成功; 当前距低点0.35%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
6,86.1371628983028,79.92606729967126,603032,德新科技,bottom_area,2025-12-11,18.17,2025-12-11,18.15,0.11019283746558196,2.203856749311307,27.225340817963122,False,-1.7838,2.0404,5,5,5,100.0,17.996274027380522,33.061224489795926,7.889807162534418,0.11019283746558196,历史5/5次成功; 当前距低点0.11%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
7,85.9844646897937,84.102069342732,002104,恒宝股份,bottom_area,2025-12-11,18.05,2025-12-04,17.55,2.849002849002849,7.578347578347569,27.027027027027028,True,-1.6349,3.3933,4,4,4,100.0,24.988149669131648,43.85245901639344,5.150997150997151,2.849002849002849,历史4/4次成功; 当前距低点2.85%; 最新日涨幅-1.63%; 状态bottom_area; 底部已确认
8,85.86289970050427,81.46385170825829,300437,清水源,confirmed_rebound,2025-12-11,18.4,2025-12-11,18.17,1.2658227848101091,8.860759493670882,29.299610894941626,False,-8.5487,25.03,9,9,9,100.0,21.021116438845855,30.330330330330323,6.734177215189891,1.2658227848101091,历史9/9次成功; 当前距低点1.27%; 最新日涨幅-8.55%; 状态confirmed_rebound; 底部未确认
9,85.35046512891205,80.94640141013257,603178,圣龙股份,bottom_area,2025-12-11,17.88,2025-12-05,17.66,1.2457531143827794,4.0203850509626315,28.182187881252542,False,-2.0274,0.8393,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,6.754246885617221,1.2457531143827794,历史6/7次成功; 当前距低点1.25%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
10,85.29768042861083,78.97933373019521,605228,神通科技,bottom_area,2025-12-11,14.11,2025-12-11,14.11,0.0,1.913536498936934,27.2680412371134,False,-1.4665,0.5027,5,5,5,100.0,23.813622205350633,47.56554307116105,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
11,84.92380343893154,79.99658043180445,300358,楚天科技,bottom_area,2025-12-11,9.04,2025-12-05,8.96,0.8928571428571237,4.575892857142839,27.74193548387096,False,-1.7391,4.1483,4,4,4,100.0,27.96932643827245,38.205499276411004,7.107142857142875,0.8928571428571237,历史4/4次成功; 当前距低点0.89%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
