rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.86062953995157,81.63428571428571,605155,西大门,bottom_area,2022-05-23,14.16,2022-05-23,14.0,1.142857142857144,1.9999999999999956,31.906614785992215,False,-0.3519,2.6751,1,1,1,100.0,57.16054477919933,57.16054477919933,8.857142857142856,1.142857142857144,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
2,87.83277534572763,83.3250279329609,002686,亿利达,bottom_area,2022-05-23,5.49,2022-05-19,5.37,2.2346368715083815,6.517690875232768,30.53040103492885,False,0.5495,6.8069,1,1,1,100.0,75.68181818181817,75.68181818181817,7.765363128491619,2.2346368715083815,历史1/1次成功; 当前距低点2.23%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
3,80.3250035360566,74.78757953811692,002793,罗欣药业,bottom_area,2022-05-23,8.09,2022-05-20,7.99,1.2515644555694574,5.006257822277852,29.166666666666664,False,-0.7362,2.7437,1,1,1,100.0,14.52229299363058,14.52229299363058,8.748435544430544,1.2515644555694574,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
4,79.93892129533927,77.66217986604165,002690,美亚光电,bottom_area,2022-05-23,18.42,2022-05-16,17.8,3.4831460674157357,5.05617977528089,28.856914468425256,False,0.5459,0.7538,2,2,2,100.0,18.19221989112653,23.25123152709359,6.516853932584265,3.4831460674157357,历史2/2次成功; 当前距低点3.48%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
5,75.79811364520396,73.92882521489975,300636,同和药业,bottom_area,2022-05-23,28.95,2022-05-23,27.92,3.689111747850994,7.87965616045845,28.866242038216555,False,-4.8949,11.5985,1,1,1,100.0,122.63187748156552,122.63187748156552,6.310888252149007,3.689111747850994,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-4.89%; 状态bottom_area; 底部未确认
6,75.69631636043376,74.52996325780768,000722,湖南发展,bottom_area,2022-05-23,19.17,2022-05-23,18.4,4.18478260869567,4.2391304347826155,28.599146294140475,False,3.3981,17.8683,1,1,1,100.0,26.619718309859163,26.619718309859163,5.81521739130433,4.18478260869567,历史1/1次成功; 当前距低点4.18%; 最新日涨幅3.40%; 状态bottom_area; 底部未确认
