rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.564314034379,81.13537130497477,600935,华塑股份,bottom_area,2023-08-14,3.73,2023-06-27,3.65,2.1917808219178103,7.671232876712336,28.571428571428577,True,0.0,0.4132,1,1,1,100.0,28.50877192982458,28.50877192982458,12.808219178082188,2.1917808219178103,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,89.4506885550537,80.01070810303472,603015,弘讯科技,bottom_area,2023-08-14,8.73,2023-08-14,8.6,1.5116279069767533,1.7441860465116321,28.213689482470787,False,0.4603,0.6467,1,1,1,100.0,23.318385650224208,23.318385650224208,13.488372093023246,1.5116279069767533,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
3,87.97442387152418,80.62557206053218,688328,深科达,bottom_area,2023-08-14,22.65,2023-08-14,22.03,2.8143440762596343,2.950522015433493,29.996822370511595,False,0.3545,4.0876,2,2,2,100.0,25.92621803443088,29.170984455958543,12.185655923740365,2.8143440762596343,历史2/2次成功; 当前距低点2.81%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
4,87.36668445054978,81.07900057195087,300342,天银机电,bottom_area,2023-08-14,10.98,2023-08-14,10.61,3.487276154571169,4.052780395852967,31.592520954223087,False,2.4254,2.6824,3,3,3,100.0,19.9461838944793,26.68539325842696,11.51272384542883,3.487276154571169,历史3/3次成功; 当前距低点3.49%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
5,85.22220194009752,77.51941249226964,002519,银河电子,bottom_area,2023-08-14,5.52,2023-08-14,5.39,2.4118738404452675,2.7829313543599326,27.35849056603774,False,0.9141,1.34,1,1,1,100.0,20.959595959595962,20.959595959595962,12.588126159554733,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
6,85.02392820645179,78.83778511004363,688300,联瑞新材,bottom_area,2023-08-14,42.98,2023-08-14,41.55,3.4416365824308057,3.6823104693140825,28.974358974358978,False,1.6076,0.3881,2,2,2,100.0,24.003852247235756,26.809910956252438,11.558363417569193,3.4416365824308057,历史2/2次成功; 当前距低点3.44%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
7,84.46348594173621,77.45519387777802,688143,长盈通,bottom_area,2023-08-14,29.26,2023-08-14,28.45,2.8471001757469327,3.5149384885764503,31.92151232352237,False,0.9662,1.1944,1,1,1,100.0,25.949367088607595,25.949367088607595,12.152899824253065,2.8471001757469327,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
8,79.32459488669421,70.71168037539599,002386,天原股份,bottom_area,2023-08-14,6.1,2023-08-14,6.02,1.328903654485051,2.657807308970102,27.382388419782867,False,-1.7713,1.0125,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,13.671096345514949,1.328903654485051,历史2/3次成功; 当前距低点1.33%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
9,79.14089069710613,74.45892228429483,002045,国光电器,bottom_area,2023-08-14,13.82,2023-08-14,13.26,4.223227752639521,4.600301659125184,28.20790471034109,False,0.7289,2.9803,3,4,3,75.0,30.875707313510432,33.77563329312426,10.776772247360478,4.223227752639521,历史3/4次成功; 当前距低点4.22%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
10,77.7271013704911,72.32661848423533,002864,盘龙药业,bottom_area,2023-08-14,35.39,2023-08-08,34.15,3.631039531478776,7.349926793557827,27.340425531914896,True,-0.3379,4.4193,1,1,1,100.0,21.26553019358567,21.26553019358567,11.368960468521223,3.631039531478776,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.34%; 状态bottom_area; 底部已确认
11,76.7681523657162,71.31621537458051,002219,新里程,bottom_area,2023-08-14,3.8,2023-08-07,3.67,3.542234332425066,6.267029972752043,29.42307692307693,False,-0.5236,0.5386,1,1,1,100.0,23.938223938223942,23.938223938223942,11.457765667574934,3.542234332425066,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
