rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.16898681311989,85.39072771812964,688288,鸿泉技术,bottom_area,2022-08-29,19.78,2022-08-29,19.44,1.7489711934156371,4.681069958847737,28.84333821376281,False,0.4061,1.329,3,3,3,100.0,21.819258274824108,41.992882562277565,6.2510288065843636,1.7489711934156371,历史3/3次成功; 当前距低点1.75%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
2,86.66306540415528,81.80345425999704,300400,劲拓股份,bottom_area,2022-08-29,16.16,2022-08-29,16.0,1.0000000000000009,2.8124999999999956,28.05755395683453,False,-1.1621,1.5777,3,3,3,100.0,15.825022903209952,27.014218009478668,6.999999999999999,1.0000000000000009,历史3/3次成功; 当前距低点1.00%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
3,84.48873270989075,80.56857779805647,688160,步科股份,bottom_area,2022-08-29,40.48,2022-08-26,39.87,1.5299724103335828,5.818911462252322,32.02046035805627,False,0.7466,4.3161,1,1,1,100.0,26.542553191489354,26.542553191489354,6.470027589666418,1.5299724103335828,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
4,83.73304213839931,79.865549132948,002110,三钢闽光,bottom_area,2022-08-29,5.27,2022-08-29,5.19,1.5414258188824506,1.7341040462427717,30.14804845222072,False,0.381,0.4318,1,1,1,100.0,22.90322580645161,22.90322580645161,6.458574181117549,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
5,83.57488384250772,82.01195536822911,002536,飞龙股份,bottom_area,2022-08-29,7.85,2022-08-29,7.62,3.0183727034120675,4.724409448818902,27.081339712918655,False,0.1276,3.7419,2,2,2,100.0,35.88088780649803,55.505617977528075,4.981627296587933,3.0183727034120675,历史2/2次成功; 当前距低点3.02%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
6,82.4243992916068,79.42408946877913,603289,泰瑞机器,bottom_area,2022-08-29,11.33,2022-08-29,11.1,2.0720720720720758,4.954954954954961,28.617363344051455,False,0.0,1.8484,1,1,1,100.0,27.034482758620705,27.034482758620705,5.927927927927924,2.0720720720720758,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,79.75518530665184,75.52794718439313,001266,宏英智能,bottom_area,2022-08-29,31.16,2022-08-29,30.8,1.168831168831167,7.370129870129868,31.661859329931218,False,-8.299,19.2608,2,2,2,100.0,11.03700134047409,13.763753373468953,6.831168831168834,1.168831168831167,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-8.30%; 状态bottom_area; 底部未确认
8,79.66978475828456,76.9081786386871,000547,航天发展,bottom_area,2022-08-29,10.85,2022-08-29,10.62,2.1657250470809837,2.91902071563089,30.13157894736842,False,0.1847,2.2374,1,1,1,100.0,14.656084656084673,14.656084656084673,5.834274952919016,2.1657250470809837,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
9,78.75384972618964,76.50866397070239,002119,康强电子,bottom_area,2022-08-29,13.14,2022-08-29,12.82,2.496099843993762,3.1981279251170056,29.48294829482948,False,0.9992,4.8247,1,1,1,100.0,16.557911908646,16.557911908646,5.503900156006238,2.496099843993762,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
10,78.56485696990197,76.23525033491575,688083,中望软件,bottom_area,2022-08-29,181.32,2022-08-29,177.01,2.43489068414214,3.830292073894131,31.64845348882111,False,-0.4174,1.0035,2,2,2,100.0,20.144091907310933,21.52777777777778,5.56510931585786,2.43489068414214,历史2/2次成功; 当前距低点2.43%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
11,78.16992311353874,75.56040529145146,002587,奥拓电子,bottom_area,2022-08-29,5.49,2022-08-29,5.37,2.2346368715083815,3.5381750465549255,31.065468549422338,False,1.105,7.8687,1,1,1,100.0,8.254716981132066,8.254716981132066,5.765363128491618,2.2346368715083815,历史1/1次成功; 当前距低点2.23%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
