rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.3588868569197,83.48105710741403,001896,豫能控股,bottom_area,2023-04-27,4.34,2023-04-24,4.27,1.6393442622950887,5.85480093676815,27.993254637436767,False,-0.6865,0.5005,4,4,4,100.0,16.014849599176554,34.93975903614456,6.360655737704912,1.6393442622950887,历史4/4次成功; 当前距低点1.64%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
2,84.94314105688457,83.39488165071106,601369,陕鼓动力,bottom_area,2023-04-27,9.48,2023-04-27,9.2,3.043478260869578,4.456521739130437,31.189229618548993,False,1.826,1.024,3,3,3,100.0,26.957054223084292,55.572755417956664,4.956521739130422,3.043478260869578,历史3/3次成功; 当前距低点3.04%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
3,84.50478805121165,80.42068491112873,002222,福晶科技,confirmed_rebound,2023-04-27,25.63,2023-04-27,25.27,1.4246141669964363,10.011871784724976,29.13628715647784,False,-5.7721,12.9545,4,4,4,100.0,17.359167805809623,25.783972125435533,6.575385833003564,1.4246141669964363,历史4/4次成功; 当前距低点1.42%; 最新日涨幅-5.77%; 状态confirmed_rebound; 底部未确认
4,84.38739445140196,80.57902759357839,002156,通富微电,bottom_area,2023-04-27,17.79,2023-04-27,17.51,1.5990862364363083,5.653912050256986,29.395161290322573,False,-2.5205,3.7538,3,3,3,100.0,16.585721573404154,21.92170818505337,6.400913763563692,1.5990862364363083,历史3/3次成功; 当前距低点1.60%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
5,83.77702974648808,81.93020523078853,300560,中富通,bottom_area,2023-04-27,14.48,2023-04-26,14.08,2.8409090909090935,5.894886363636364,31.35056070209654,False,2.0437,4.4079,3,3,3,100.0,16.59934386054438,20.94196804037006,5.1590909090909065,2.8409090909090935,历史3/3次成功; 当前距低点2.84%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
6,83.58301210614324,79.48032731064465,300671,富满微,bottom_area,2023-04-27,43.24,2023-04-27,42.65,1.3833528722157173,3.774912075029307,31.78182981445938,False,0.0463,2.0636,1,1,1,100.0,18.894472361809044,18.894472361809044,6.616647127784282,1.3833528722157173,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
7,82.9386426354663,79.28781255147423,000935,四川双马,bottom_area,2023-04-27,18.99,2023-04-25,18.68,1.6595289079229052,4.014989293361884,30.609212481426457,False,-0.315,0.3601,1,1,1,100.0,43.71794871794874,43.71794871794874,6.340471092077095,1.6595289079229052,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
8,82.81744634945333,79.27778537007082,688168,安博通,bottom_area,2023-04-27,40.01,2023-04-27,39.33,1.7289600813628268,4.525807271802698,32.849581697114566,False,-0.0999,2.0997,3,3,3,100.0,11.181797610634721,12.015306122448962,6.2710399186371735,1.7289600813628268,历史3/3次成功; 当前距低点1.73%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,82.69251863521126,80.8668138801262,000957,中通客车,bottom_area,2023-04-27,9.78,2023-04-25,9.51,2.839116719242898,5.678233438485814,29.39866369710468,False,-1.6097,2.0212,2,2,2,100.0,185.5153400254489,354.54545454545456,5.160883280757102,2.839116719242898,历史2/2次成功; 当前距低点2.84%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
10,82.13274179209101,77.33033420579757,688107,安路科技,bottom_area,2023-04-27,53.46,2023-04-26,53.0,0.8679245283018885,5.735849056603772,28.67716323509622,False,-0.7979,1.2751,3,3,3,100.0,29.995710378096113,67.95615731785945,7.132075471698111,0.8679245283018885,历史3/3次成功; 当前距低点0.87%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
11,81.95268158568128,78.38424945576152,300603,立昂技术,bottom_area,2023-04-27,10.86,2023-04-26,10.68,1.6853932584269637,4.775280898876402,27.148703956343795,False,1.4006,5.2322,3,4,3,75.0,20.870677876209612,35.36723163841809,6.314606741573037,1.6853932584269637,历史3/4次成功; 当前距低点1.69%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
12,81.59414561094282,77.24005471570096,688049,炬芯科技,bottom_area,2023-04-27,32.57,2023-04-27,32.2,1.1490683229813585,5.372670807453406,28.761061946902654,False,-1.303,2.3895,2,2,2,100.0,9.784572538163834,11.287895076327672,6.850931677018641,1.1490683229813585,历史2/2次成功; 当前距低点1.15%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
13,81.40563249549488,76.83898432918205,301313,凡拓数创,bottom_area,2023-04-27,32.36,2023-04-26,32.04,0.9987515605493142,7.990012484394514,28.97362003990246,False,-1.0398,7.8142,2,2,2,100.0,45.6243972431962,52.43243243243245,7.001248439450686,0.9987515605493142,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
14,81.39370481672671,75.94379745112518,688259,创耀科技,bottom_area,2023-04-27,60.6,2023-04-27,60.36,0.3976143141153115,3.6447978793903295,31.796610169491522,False,-1.6234,2.8091,3,3,3,100.0,16.776118748968262,19.50136612021858,7.6023856858846885,0.3976143141153115,历史3/3次成功; 当前距低点0.40%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
15,80.98851861716928,80.45843948643511,300658,延江股份,bottom_area,2023-04-27,7.65,2023-04-25,7.38,3.6585365853658596,4.878048780487809,28.83317261330761,False,0.0,1.1299,3,3,3,100.0,18.70915538209279,26.72018348623853,4.34146341463414,3.6585365853658596,历史3/3次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,80.81157738094234,78.2360563235198,300530,领湃科技,bottom_area,2023-04-27,22.09,2023-04-25,21.59,2.3158869847151458,6.947660954145437,32.6365054602184,False,0.136,0.2519,3,4,3,75.0,27.802573379948058,34.07510431154381,5.684113015284854,2.3158869847151458,历史3/4次成功; 当前距低点2.32%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
17,80.74092748960426,77.2740382078468,001227,兰州银行,bottom_area,2023-04-27,2.96,2023-04-26,2.91,1.7182130584192379,2.4054982817869357,30.714285714285715,False,0.0,0.7181,1,1,1,100.0,11.137440758293856,11.137440758293856,6.281786941580762,1.7182130584192379,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,80.30392771254442,78.22681318681319,605133,嵘泰股份,bottom_area,2023-04-27,28.02,2023-04-25,27.3,2.6373626373626333,5.567765567765566,28.79499217527387,False,-0.3556,6.3616,1,1,1,100.0,60.01483679525222,60.01483679525222,5.362637362637367,2.6373626373626333,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
19,80.14741710572963,76.64245033074405,002095,生意宝,bottom_area,2023-04-27,20.03,2023-04-27,19.7,1.675126903553309,5.431472081218276,29.617720614505178,False,-3.9789,5.3804,2,2,2,100.0,23.235159520675253,33.84030418250951,6.324873096446691,1.675126903553309,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
20,80.14610450567983,77.76215522151657,002245,蔚蓝锂芯,confirmed_rebound,2023-04-27,10.96,2023-04-26,10.7,2.4299065420560897,8.317757009345799,29.512516469038214,False,-2.2302,2.2986,3,3,3,100.0,21.840549125830286,25.653923541247494,5.57009345794391,2.4299065420560897,历史3/3次成功; 当前距低点2.43%; 最新日涨幅-2.23%; 状态confirmed_rebound; 底部未确认
21,79.75042439082581,75.5971359574982,002383,合众思壮,bottom_area,2023-04-27,6.64,2023-04-25,6.56,1.2195121951219523,4.878048780487809,28.07017543859649,False,-0.8955,1.5802,1,1,1,100.0,18.48184818481848,18.48184818481848,6.780487804878048,1.2195121951219523,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
22,79.62900219374028,77.46524296923805,300620,光库科技,confirmed_rebound,2023-04-27,53.53,2023-04-27,52.19,2.5675416746503226,10.672542632688256,28.506849315068493,False,-10.7833,7.6527,4,4,4,100.0,15.479774126025633,22.444343480236245,5.432458325349677,2.5675416746503226,历史4/4次成功; 当前距低点2.57%; 最新日涨幅-10.78%; 状态confirmed_rebound; 底部未确认
23,79.38959177144014,79.61505032102181,002363,隆基机械,bottom_area,2023-04-27,6.78,2023-04-25,6.51,4.147465437788026,5.222734254992317,28.774617067833702,False,0.7429,0.9413,2,2,2,100.0,36.83479311386288,54.96828752642705,3.8525345622119747,4.147465437788026,历史2/2次成功; 当前距低点4.15%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
24,79.11330283721131,76.04802849708743,688228,开普云,bottom_area,2023-04-27,45.59,2023-04-27,44.72,1.9454382826475953,6.618962432915923,29.29644268774704,False,-1.4483,3.1711,1,1,1,100.0,29.80445043830074,29.80445043830074,6.054561717352406,1.9454382826475953,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
25,79.10784108693854,75.31898299748113,002741,光华科技,bottom_area,2023-04-27,16.11,2023-04-25,15.88,1.448362720403014,5.919395465994959,30.28972783143108,False,-0.3711,1.3805,1,1,1,100.0,19.791666666666664,19.791666666666664,6.551637279596986,1.448362720403014,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
26,79.07082518636001,76.91714512291831,002146,荣盛发展,bottom_area,2023-04-27,1.6,2023-04-26,1.56,2.5641025641025665,3.2051282051282075,30.973451327433622,False,0.6289,1.3203,1,1,1,100.0,19.587628865979376,19.587628865979376,5.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
27,78.86232367456063,74.0870843934745,002642,荣联科技,bottom_area,2023-04-27,6.69,2023-04-27,6.64,0.7530120481927818,4.066265060240971,28.138528138528144,False,-2.3358,2.9956,2,2,2,100.0,27.816945501903422,35.253456221198164,7.246987951807219,0.7530120481927818,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
28,78.5359433769289,76.3572054918037,688127,蓝特光学,confirmed_rebound,2023-04-27,16.57,2023-04-25,16.16,2.537128712871288,9.282178217821782,28.08188696039163,False,1.6564,1.24,2,2,2,100.0,9.794940629839962,10.789881259679916,5.462871287128712,2.537128712871288,历史2/2次成功; 当前距低点2.54%; 最新日涨幅1.66%; 状态confirmed_rebound; 底部未确认
29,78.47385248091639,74.16970765194007,688157,松井股份,bottom_area,2023-04-27,76.69,2023-04-27,75.88,1.0674749604638933,5.152872957301017,28.361027190332333,False,-1.7802,2.8569,1,1,1,100.0,8.943820224719094,8.943820224719094,6.932525039536107,1.0674749604638933,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
30,78.47377205825036,74.35561492399816,000158,常山北明,bottom_area,2023-04-27,6.76,2023-04-27,6.68,1.1976047904191627,3.5928143712574885,30.705394190871377,False,-1.1696,2.8332,1,1,1,100.0,11.538461538461533,11.538461538461533,6.802395209580838,1.1976047904191627,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
31,78.08475554132113,77.48922989528235,000722,湖南发展,bottom_area,2023-04-27,10.93,2023-04-25,10.55,3.6018957345971465,4.64454976303316,27.98634812286689,False,0.0916,0.7697,2,2,2,100.0,18.7180224202357,26.619718309859163,4.3981042654028535,3.6018957345971465,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
32,77.7862713968382,73.11048181643243,603232,格尔软件,bottom_area,2023-04-27,14.26,2023-04-27,14.15,0.7773851590105967,5.936395759717313,32.29665071770334,False,-4.9333,4.8622,3,3,3,100.0,16.413548274067672,22.78481012658228,7.2226148409894035,0.7773851590105967,历史3/3次成功; 当前距低点0.78%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
33,77.77647517776722,73.95738205179684,688004,博汇科技,confirmed_rebound,2023-04-27,34.47,2023-04-26,34.0,1.3823529411764672,14.970588235294127,31.313131313131315,False,-1.4298,5.8716,1,1,1,100.0,21.87713310580205,21.87713310580205,6.617647058823533,1.3823529411764672,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.43%; 状态confirmed_rebound; 底部未确认
34,77.6862376957874,72.59081143478127,688173,希荻微,bottom_area,2023-04-27,19.09,2023-04-27,19.0,0.47368421052631504,3.4736842105263164,30.909090909090907,False,-1.3437,1.0235,2,2,2,100.0,16.34844857409283,23.120837297811605,7.526315789473685,0.47368421052631504,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
35,77.667806077919,73.04969509084943,300454,深信服,bottom_area,2023-04-27,118.99,2023-04-27,118.03,0.8133525374904632,3.3466067948826597,29.534328358208956,False,-0.643,1.3667,2,2,2,100.0,22.979241270579003,29.49391262831224,7.186647462509536,0.8133525374904632,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
36,77.6393029023729,78.7214455910613,002753,永东股份,bottom_area,2023-04-27,7.1,2023-04-25,6.78,4.719764011799401,6.0471976401179965,29.521829521829513,False,1.1396,1.3549,2,2,2,100.0,39.04573945141897,69.36936936936937,3.2802359882005994,4.719764011799401,历史2/2次成功; 当前距低点4.72%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
37,77.60306682546943,77.2949143430387,000980,众泰汽车,bottom_area,2023-04-27,3.01,2023-04-26,2.9,3.7931034482758577,6.206896551724143,32.24299065420561,False,-0.6601,1.2852,3,3,3,100.0,25.823603253266942,43.49775784753364,4.206896551724142,3.7931034482758577,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
38,77.01442942439708,71.91744283698411,688225,亚信安全,bottom_area,2023-04-27,20.51,2023-04-27,20.42,0.44074436826640473,3.7708129285014667,29.097222222222218,False,-1.3942,1.9913,2,2,2,100.0,12.324408584040366,12.640845070422536,7.5592556317335955,0.44074436826640473,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
