rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,72.45403127303466,69.82515035453206,603338,浙江鼎力,bottom_area,2024-10-29,48.5,2024-10-22,47.06,3.059923501912447,6.62983425414364,27.799938631482053,False,-1.4228,1.3301,1,1,1,100.0,10.009548058561412,10.009548058561412,6.940076498087554,3.059923501912447,历史1/1次成功; 当前距低点3.06%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
2,71.12767079482246,70.69828853395241,603076,乐惠国际,confirmed_rebound,2024-10-29,21.24,2024-10-16,20.29,4.682109413504186,12.419911286347952,27.09306503772907,True,-5.4319,2.3951,3,3,3,100.0,12.491924713666421,13.440860215053762,5.317890586495815,4.682109413504186,历史3/3次成功; 当前距低点4.68%; 最新日涨幅-5.43%; 状态confirmed_rebound; 底部已确认
3,65.25779560874854,65.05253276265279,000850,华茂股份,confirmed_rebound,2024-10-29,4.12,2024-10-21,3.93,4.834605597964375,10.178117048346055,27.356746765249536,True,-3.9627,3.847,1,1,1,100.0,17.341040462427735,17.341040462427735,5.165394402035626,4.834605597964375,历史1/1次成功; 当前距低点4.83%; 最新日涨幅-3.96%; 状态confirmed_rebound; 底部已确认
