rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.6217110583319,82.30269240022996,002115,三维通信,bottom_area,2025-09-25,11.01,2025-09-23,10.8,1.9444444444444358,7.499999999999988,27.272727272727266,False,-1.959,9.7311,4,4,4,100.0,13.419493191200443,20.720720720720706,6.055555555555564,1.9444444444444358,历史4/4次成功; 当前距低点1.94%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
2,85.37365909972414,79.64190212803828,000718,苏宁环球,bottom_area,2025-09-25,2.59,2025-09-23,2.58,0.3875968992247979,4.651162790697678,31.2,False,-2.9963,4.8494,4,4,4,100.0,19.86894117349903,36.111111111111114,7.612403100775202,0.3875968992247979,历史4/4次成功; 当前距低点0.39%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
3,85.03614234825832,79.44885540098878,600162,香江控股,bottom_area,2025-09-25,2.15,2025-09-25,2.14,0.46728971962615823,5.607476635514002,32.49211356466876,False,-2.2727,7.1541,4,4,4,100.0,19.807935278152744,28.90624999999999,7.532710280373841,0.46728971962615823,历史4/4次成功; 当前距低点0.47%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
4,82.26827052024532,77.51933809632622,000679,大连友谊,bottom_area,2025-09-25,7.77,2025-09-23,7.7,0.9090909090909013,4.805194805194807,27.083333333333336,False,-1.6456,3.0312,8,8,8,100.0,14.8498138121154,24.94061757719715,7.090909090909099,0.9090909090909013,历史8/8次成功; 当前距低点0.91%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
5,82.08693933375834,78.33878786047273,301151,冠龙节能,bottom_area,2025-09-25,20.7,2025-09-23,20.38,1.570166830225713,5.004906771344453,28.49122807017544,False,-1.4286,4.4651,1,1,1,100.0,37.520259319286865,37.520259319286865,6.429833169774287,1.570166830225713,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
6,81.391415290738,80.17098385648839,600316,洪都航空,confirmed_rebound,2025-09-25,35.0,2025-09-16,33.91,3.2143910350929032,9.407254497198482,28.565409732462616,True,-1.9608,1.4633,5,5,5,100.0,18.547287185485008,30.462519936204153,4.785608964907097,3.2143910350929032,历史5/5次成功; 当前距低点3.21%; 最新日涨幅-1.96%; 状态confirmed_rebound; 底部已确认
7,81.20657631532792,80.47498553771236,300534,陇神戎发,bottom_area,2025-09-25,9.68,2025-09-23,9.35,3.529411764705883,5.454545454545452,27.519379844961243,False,-0.8197,2.052,5,5,5,100.0,23.021743877643914,41.58730158730159,4.470588235294117,3.529411764705883,历史5/5次成功; 当前距低点3.53%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
8,80.49496792694983,79.9749891985915,000037,深南电A,bottom_area,2025-09-25,8.49,2025-09-23,8.19,3.663003663003672,4.51770451770453,28.220858895705526,False,0.0,1.4201,8,9,8,88.88888888888889,23.57212541944976,45.16765285996055,4.336996336996328,3.663003663003672,历史8/9次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,79.19325982579927,75.15938883034772,002259,升达林业,bottom_area,2025-09-25,3.95,2025-09-23,3.9,1.282051282051289,5.641025641025646,27.509293680297397,False,-2.2277,1.0252,1,1,1,100.0,16.894977168949776,16.894977168949776,6.717948717948712,1.282051282051289,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
10,79.09395513335771,77.51329192546585,301009,可靠股份,bottom_area,2025-09-25,13.26,2025-09-23,12.88,2.950310559006203,4.5807453416149055,30.566037735849054,False,-0.5251,1.6215,1,1,1,100.0,53.96648044692738,53.96648044692738,5.049689440993797,2.950310559006203,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
11,78.1220303711277,75.08078344670426,002651,利君股份,bottom_area,2025-09-25,11.06,2025-09-23,10.85,1.93548387096775,5.806451612903233,28.09807819748178,False,-1.8634,2.2789,3,4,3,75.0,28.648853078014685,41.96642685851319,6.064516129032251,1.93548387096775,历史3/4次成功; 当前距低点1.94%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
12,77.33602482181371,72.11061773925873,601669,中国电建,bottom_area,2025-09-25,5.52,2025-09-23,5.5,0.3636363636363559,2.181818181818184,29.8469387755102,False,-0.8977,1.063,2,2,2,100.0,12.417788431987212,16.457680250783696,7.636363636363644,0.3636363636363559,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
13,75.7391327134597,73.74402172568128,603839,安正时尚,confirmed_rebound,2025-09-25,8.25,2025-09-23,8.04,2.6119402985074736,9.328358208955224,30.569948186528507,True,-3.169,3.2153,2,2,2,100.0,20.15723444235658,31.88073394495412,5.388059701492526,2.6119402985074736,历史2/2次成功; 当前距低点2.61%; 最新日涨幅-3.17%; 状态confirmed_rebound; 底部已确认
14,75.49842211992424,76.34276607653105,601900,南方传媒,bottom_area,2025-09-25,13.02,2025-09-23,12.45,4.578313253012051,5.220883534136549,30.756395995550616,False,1.5601,1.1924,2,2,2,100.0,24.523227383863077,39.999999999999986,3.4216867469879495,4.578313253012051,历史2/2次成功; 当前距低点4.58%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
