rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
37,66.2763716969481,57.81297845793058,603229,奥翔药业,bottom_area,2022-09-26,23.84,2022-09-26,23.8,0.1680672268907527,2.0588235294117583,31.902718168812594,False,-1.4061,1.2395,1,2,1,50.0,41.48479427549196,41.48479427549196,14.831932773109246,0.1680672268907527,历史1/2次成功; 当前距低点0.17%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
38,66.25111287815075,57.849471264367835,601778,晶科科技,bottom_area,2022-09-26,4.51,2022-09-26,4.5,0.2222222222222175,3.111111111111104,27.30210016155089,False,-2.8017,0.9075,1,2,1,50.0,42.344827586206904,42.344827586206904,14.777777777777782,0.2222222222222175,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
39,62.31740564951391,54.35985392385394,601686,友发集团,bottom_area,2022-09-26,5.95,2022-09-26,5.94,0.16835016835016475,2.3569023569023515,30.363423212192252,False,-2.459,0.6665,1,2,1,50.0,22.923076923076927,22.923076923076927,14.831649831649834,0.16835016835016475,历史1/2次成功; 当前距低点0.17%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
40,61.915788667687586,53.83981623277182,000676,智度股份,bottom_area,2022-09-26,5.24,2022-09-26,5.24,0.0,2.6717557251908333,28.021978021978022,False,-2.6022,0.994,1,2,1,50.0,30.321592649310862,30.321592649310862,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
41,61.890132307490475,53.988437607671656,300560,中富通,bottom_area,2022-09-26,11.81,2022-09-26,11.79,0.1696352841391124,2.9686174724342784,28.76132930513596,False,-2.7984,1.1536,1,2,1,50.0,20.94196804037006,20.94196804037006,14.830364715860886,0.1696352841391124,历史1/2次成功; 当前距低点0.17%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
42,61.79917899613929,54.37007484068525,002080,中材科技,bottom_area,2022-09-26,20.92,2022-09-26,20.79,0.6253006253006377,3.126503126503137,27.535726734053682,False,-1.0875,0.3851,1,2,1,50.0,28.579356270810223,28.579356270810223,14.374699374699363,0.6253006253006377,历史1/2次成功; 当前距低点0.63%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
43,61.509980188306564,57.06475539291218,688356,键凯科技,bottom_area,2022-09-26,167.88,2022-09-23,162.25,3.469953775038518,5.787365177195677,28.76898761963298,False,2.3908,1.2946,1,2,1,50.0,15.625,15.625,11.530046224961483,3.469953775038518,历史1/2次成功; 当前距低点3.47%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
44,60.57996014815902,52.98348377623503,605319,无锡振华,bottom_area,2022-09-26,12.98,2022-09-26,12.94,0.30911901081917253,3.4775888717156187,31.023454157782528,False,-1.1424,0.94,1,2,1,50.0,17.248790972595383,17.248790972595383,14.690880989180826,0.30911901081917253,历史1/2次成功; 当前距低点0.31%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
45,59.415852666738424,52.34318372408904,300543,朗科智能,bottom_area,2022-09-26,8.67,2022-09-26,8.61,0.6968641114982637,2.322880371660872,31.120000000000005,False,-0.9143,0.8682,1,2,1,50.0,18.559322033898297,18.559322033898297,14.303135888501735,0.6968641114982637,历史1/2次成功; 当前距低点0.70%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
46,59.17565374525338,51.982933960203994,688021,奥福科技,bottom_area,2022-09-26,20.33,2022-09-26,20.22,0.5440158259149329,5.885262116716129,31.643002028397564,False,-3.6949,0.8334,1,2,1,50.0,24.96392496392497,24.96392496392497,14.455984174085065,0.5440158259149329,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
47,57.2749984947462,50.52462270521022,300710,万隆光电,bottom_area,2022-09-26,27.54,2022-09-26,27.33,0.7683863885839768,4.6469081595316615,31.55522163786627,False,-3.1646,3.3312,1,2,1,50.0,19.8738907052779,19.8738907052779,14.231613611416021,0.7683863885839768,历史1/2次成功; 当前距低点0.77%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
48,56.664388745566,49.916580343824116,603033,三维股份,bottom_area,2022-09-26,15.96,2022-09-26,15.85,0.6940063091482727,2.902208201892739,32.83898305084747,False,-1.4815,0.1929,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,14.305993690851725,0.6940063091482727,历史1/3次成功; 当前距低点0.69%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
