rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.53516412235643,89.14807729468104,688107,安路科技,bottom_area,2024-01-23,29.71,2024-01-23,29.11,2.0611473720371056,4.294057025077294,29.68599033816425,False,0.7119,0.7479,4,4,4,100.0,29.180071521105532,67.95615731785945,5.938852627962894,2.0611473720371056,历史4/4次成功; 当前距低点2.06%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
2,91.30875699034398,87.84845709702284,603348,文灿股份,bottom_area,2024-01-23,28.17,2024-01-23,27.62,1.9913106444605384,3.330919623461253,32.137592137592144,False,0.1422,1.2755,4,4,4,100.0,21.33680304512298,31.539888682745836,6.008689355539462,1.9913106444605384,历史4/4次成功; 当前距低点1.99%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
3,90.33063319256934,86.9135903259642,000665,湖北广电,bottom_area,2024-01-23,4.09,2024-01-23,4.01,1.9950124688279323,2.992518703241898,29.151943462897535,False,0.4914,1.0331,4,4,4,100.0,16.35601481124668,26.231691078561926,6.004987531172068,1.9950124688279323,历史4/4次成功; 当前距低点2.00%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
4,89.41707616707616,85.63,603273,天元智能,confirmed_rebound,2024-01-23,20.35,2024-01-22,20.0,1.750000000000007,8.000000000000007,30.747922437673125,False,0.5932,10.4957,2,2,2,100.0,104.74353912964258,201.34228187919464,6.249999999999993,1.750000000000007,历史2/2次成功; 当前距低点1.75%; 最新日涨幅0.59%; 状态confirmed_rebound; 底部未确认
5,89.36203773191664,84.6305681313676,688173,希荻微,bottom_area,2024-01-23,12.95,2024-01-23,12.8,1.171874999999989,3.8281249999999876,27.683615819209034,False,-1.5957,1.9022,4,4,4,100.0,16.464748018105187,23.120837297811605,6.8281250000000115,1.171874999999989,历史4/4次成功; 当前距低点1.17%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
6,88.61399433008746,85.97744053020186,600418,江淮汽车,bottom_area,2024-01-23,13.07,2024-01-23,12.76,2.4294670846395023,2.8996865203761835,30.0438596491228,False,0.5385,1.912,4,4,4,100.0,16.648524103117875,24.365079365079367,5.570532915360498,2.4294670846395023,历史4/4次成功; 当前距低点2.43%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
7,88.51379384512826,83.77926665546438,688176,亚虹医药,bottom_area,2024-01-23,7.97,2024-01-23,7.88,1.1421319796954297,2.6649746192893398,27.83882783882784,False,0.1256,1.846,2,2,2,100.0,22.38348155467721,25.473484848484844,6.857868020304571,1.1421319796954297,历史2/2次成功; 当前距低点1.14%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
8,88.07199256417803,85.53793134799372,300572,安车检测,bottom_area,2024-01-23,12.8,2024-01-23,12.49,2.4819855884707804,3.442754203362688,31.67396061269147,False,0.0,3.4132,4,4,4,100.0,14.929346718855282,31.306715063520883,5.51801441152922,2.4819855884707804,历史4/4次成功; 当前距低点2.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,88.04706891054501,84.35586093508259,300446,航天智造,bottom_area,2024-01-23,13.2,2024-01-23,12.97,1.773323053199681,2.6985350809560495,27.663134411600666,False,0.9174,3.2027,2,2,2,100.0,33.22063170095625,51.92697768762679,6.226676946800319,1.773323053199681,历史2/2次成功; 当前距低点1.77%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
10,87.23962342135479,85.70461538461541,300735,光弘科技,confirmed_rebound,2024-01-23,18.09,2024-01-22,17.55,3.0769230769230718,8.660968660968658,27.178423236514526,False,2.6092,3.0496,3,3,3,100.0,50.43111523258737,93.48973607038124,4.923076923076929,3.0769230769230718,历史3/3次成功; 当前距低点3.08%; 最新日涨幅2.61%; 状态confirmed_rebound; 底部未确认
11,87.11042417164703,85.06877360512406,300420,五洋自控,bottom_area,2024-01-23,2.6,2024-01-23,2.53,2.7667984189723436,3.1620553359683825,28.53107344632769,False,0.0,1.1693,4,4,4,100.0,15.89824731387639,22.666666666666657,5.233201581027656,2.7667984189723436,历史4/4次成功; 当前距低点2.77%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
