rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.6744380120873,84.0186921760861,688068,热景生物,bottom_area,2025-05-15,98.98,2025-05-15,97.81,1.196196707903079,3.3125447295777475,28.080882352941174,False,-2.6458,2.8953,3,3,3,100.0,30.139896075834095,49.133924799324014,6.803803292096921,1.196196707903079,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
2,82.19143854535666,77.7464876442741,688050,爱博医疗,bottom_area,2025-05-15,77.45,2025-05-15,76.6,1.1096605744125438,2.741514360313327,29.361859092585767,False,-0.5904,1.4583,2,2,2,100.0,12.024267494272554,12.90770757525636,6.890339425587457,1.1096605744125438,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
3,81.2983430746733,78.71895657495894,000524,岭南控股,bottom_area,2025-05-15,11.89,2025-05-09,11.62,2.32358003442342,4.475043029259909,30.668257756563257,False,-1.4913,2.3302,3,3,3,100.0,15.46623147013077,21.550094517958406,5.676419965576581,2.32358003442342,历史3/3次成功; 当前距低点2.32%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
4,79.0662291344754,77.65158637283174,002537,海联金汇,confirmed_rebound,2025-05-15,7.07,2025-05-14,6.86,3.0612244897959178,12.244897959183671,29.568788501026695,True,-5.4813,12.9643,3,3,3,100.0,30.006334460034605,39.33649289099527,4.938775510204082,3.0612244897959178,历史3/3次成功; 当前距低点3.06%; 最新日涨幅-5.48%; 状态confirmed_rebound; 底部已确认
5,78.14121800658013,77.15996010359905,001299,美能能源,bottom_area,2025-05-15,10.82,2025-04-29,10.47,3.3428844317096433,5.5396370582617,31.11842105263157,False,0.6512,5.2079,2,2,2,100.0,13.772777461812025,15.247322794492616,4.657115568290357,3.3428844317096433,历史2/2次成功; 当前距低点3.34%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
6,77.34970815210664,75.54916362528795,002304,洋河股份,bottom_area,2025-05-15,68.88,2025-04-29,67.02,2.775290957923007,5.147717099373326,29.452631578947376,False,-1.219,0.3065,2,2,2,100.0,20.62810220081931,20.781426953567394,5.224709042076993,2.775290957923007,历史2/2次成功; 当前距低点2.78%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
7,73.95882927314716,75.13332726253856,600371,万向德农,confirmed_rebound,2025-05-15,9.57,2025-04-29,9.13,4.819277108433729,8.214676889375685,28.671874999999996,True,3.014,7.7181,1,1,1,100.0,38.66279069767441,38.66279069767441,3.1807228915662713,4.819277108433729,历史1/1次成功; 当前距低点4.82%; 最新日涨幅3.01%; 状态confirmed_rebound; 底部已确认
8,73.09264069264067,73.79545454545453,301058,中粮科工,confirmed_rebound,2025-05-15,10.92,2025-04-30,10.45,4.4976076555023985,8.038277511961722,29.77150537634409,True,-1.6216,1.664,1,1,1,100.0,57.794273594909875,57.794273594909875,3.502392344497602,4.4976076555023985,历史1/1次成功; 当前距低点4.50%; 最新日涨幅-1.62%; 状态confirmed_rebound; 底部已确认
