rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.22645617436,84.00280326719712,300542,新晨科技,bottom_area,2024-06-03,14.03,2024-05-30,13.69,2.483564645726807,11.029948867786704,27.489406779661014,True,-5.9651,13.6549,4,4,4,100.0,30.189949782012032,61.233480176211465,12.516435354273192,2.483564645726807,历史4/4次成功; 当前距低点2.48%; 最新日涨幅-5.97%; 状态bottom_area; 底部已确认
2,84.97538807641409,76.67384615384614,300644,南京聚隆,bottom_area,2024-06-03,22.67,2024-06-03,22.23,1.979307242465143,4.408457040035989,28.01165803108808,False,0.6214,16.0959,2,3,2,66.66666666666666,61.70130689005596,78.38246409674981,13.020692757534857,1.979307242465143,历史2/3次成功; 当前距低点1.98%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
3,84.05903911428453,75.77448905038948,300621,维业股份,bottom_area,2024-06-03,7.93,2024-06-03,7.78,1.9280205655526923,4.370179948586104,27.15355805243445,False,-1.6129,2.3201,1,1,1,100.0,28.120300751879686,28.120300751879686,13.071979434447305,1.9280205655526923,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
4,82.62605648705339,76.00052144243685,688205,德科立,bottom_area,2024-06-03,32.17,2024-05-31,31.23,3.009926352865838,6.596221581812356,27.168843283582095,False,0.2493,2.1804,1,1,1,100.0,20.12448132780082,20.12448132780082,11.990073647134162,3.009926352865838,历史1/1次成功; 当前距低点3.01%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
5,81.14836881105859,72.7823536984391,002285,世联行,bottom_area,2024-06-03,1.84,2024-06-03,1.81,1.657458563535913,6.0773480662983355,29.57198443579766,False,-3.1579,2.2528,1,1,1,100.0,18.932038834951463,18.932038834951463,13.342541436464087,1.657458563535913,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
6,79.12792039355995,68.80688729874778,600969,郴电国际,bottom_area,2024-06-03,5.99,2024-06-03,5.99,0.0,7.01168614357262,32.46899661781285,False,-9.9248,17.3858,1,1,1,100.0,29.338103756708417,29.338103756708417,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
7,77.97851096211751,72.85433035002923,688331,荣昌生物,bottom_area,2024-06-03,44.53,2024-05-27,42.88,3.847947761194026,10.774253731343277,27.00034048348655,True,-1.4605,1.463,1,1,1,100.0,26.761565836298917,26.761565836298917,11.152052238805974,3.847947761194026,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
8,74.28389556829576,68.60095898283708,002837,英维克,bottom_area,2024-06-03,24.01,2024-05-31,23.26,3.224419604471195,5.546001719690452,30.108173076923073,False,1.6081,1.5347,2,3,2,66.66666666666666,21.860048464326542,24.517374517374524,11.775580395528804,3.224419604471195,历史2/3次成功; 当前距低点3.22%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
9,72.13643911314162,63.697207569277225,688236,春立医疗,bottom_area,2024-06-03,17.19,2024-06-03,17.05,0.8211143695014695,6.510263929618764,28.95833333333333,False,-4.5,3.8136,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,14.178885630498531,0.8211143695014695,历史2/3次成功; 当前距低点0.82%; 最新日涨幅-4.50%; 状态bottom_area; 底部未确认
10,65.51629313852996,58.75188672141562,000514,渝开发,bottom_area,2024-06-03,3.7,2024-06-03,3.64,1.6483516483516498,3.296703296703287,27.634194831013918,False,-1.8568,3.9513,1,2,1,50.0,24.839400428265527,24.839400428265527,13.351648351648349,1.6483516483516498,历史1/2次成功; 当前距低点1.65%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
11,64.56518966604825,58.32447124304269,300511,雪榕生物,bottom_area,2024-06-03,3.5,2024-06-03,3.43,2.0408163265306074,4.956268221574342,28.39248434237995,False,-3.0471,2.9683,2,5,2,40.0,25.900712191034756,29.220779220779214,12.959183673469393,2.0408163265306074,历史2/5次成功; 当前距低点2.04%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
12,63.60724401086774,58.49370903996929,605108,同庆楼,bottom_area,2024-06-03,25.08,2024-05-31,24.35,2.997946611909638,3.039014373716626,29.725829725829715,False,2.1173,0.5495,1,2,1,50.0,17.52165223184544,17.52165223184544,12.002053388090362,2.997946611909638,历史1/2次成功; 当前距低点3.00%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
13,61.13485779399294,53.71097146421332,600310,广西能源,bottom_area,2024-06-03,3.65,2024-06-03,3.63,0.5509641873278243,4.958677685950417,28.823529411764703,False,-6.1697,8.4828,1,2,1,50.0,34.33962264150944,34.33962264150944,14.449035812672175,0.5509641873278243,历史1/2次成功; 当前距低点0.55%; 最新日涨幅-6.17%; 状态bottom_area; 底部未确认
14,60.9123274369619,54.379263179928806,000518,四环生物,bottom_area,2024-06-03,2.16,2024-06-03,2.13,1.408450704225364,4.225352112676071,30.84415584415585,False,-2.7027,1.6308,1,3,1,33.33333333333333,17.834394904458602,17.834394904458602,13.591549295774636,1.408450704225364,历史1/3次成功; 当前距低点1.41%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
15,60.22606902216359,54.97732776622176,688287,退市观典,bottom_area,2024-06-03,5.52,2024-05-30,5.38,2.6022304832713696,12.081784386617107,28.741721854304636,True,-6.2818,3.833,1,3,1,33.33333333333333,36.70473083197391,36.70473083197391,12.39776951672863,2.6022304832713696,历史1/3次成功; 当前距低点2.60%; 最新日涨幅-6.28%; 状态bottom_area; 底部已确认
