rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.6194894488065,89.98884559323686,603215,比依股份,bottom_area,2024-07-17,11.66,2024-07-09,11.5,1.3913043478260883,6.956521739130441,32.70918665886483,False,0.0,0.8996,4,4,4,100.0,25.48935218430281,36.01562499999999,6.608695652173912,1.3913043478260883,历史4/4次成功; 当前距低点1.39%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,92.23997711741995,88.76410905998006,603229,奥翔药业,bottom_area,2024-07-17,7.13,2024-07-17,6.99,2.002861230329037,3.2904148783977045,32.52895752895753,False,1.2784,0.6707,4,4,4,100.0,26.40125088779702,43.052109181141425,5.997138769670964,2.002861230329037,历史4/4次成功; 当前距低点2.00%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
3,90.4638182111467,87.1184690014895,600966,博汇纸业,confirmed_rebound,2024-07-17,4.5,2024-07-10,4.41,2.040816326530609,8.616780045351472,28.640776699029118,True,0.0,0.5084,5,5,5,100.0,19.04048508591009,40.28436018957346,5.959183673469391,2.040816326530609,历史5/5次成功; 当前距低点2.04%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
4,89.15457744608705,86.14675857606169,603368,柳药集团,bottom_area,2024-07-17,17.07,2024-07-16,16.7,2.2155688622754552,3.413173652694613,30.705394190871377,False,1.0059,1.1247,3,3,3,100.0,31.603524634675978,42.85714285714285,5.784431137724545,2.2155688622754552,历史3/3次成功; 当前距低点2.22%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
5,88.99651405504537,85.48139141732365,601388,怡球资源,bottom_area,2024-07-17,2.14,2024-07-09,2.1,1.9047619047619064,7.619047619047604,29.292929292929294,True,-1.8349,0.7808,4,4,4,100.0,20.829293334305355,35.632183908045974,6.095238095238094,1.9047619047619064,历史4/4次成功; 当前距低点1.90%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
6,87.86026129989783,83.03825094494407,603209,兴通股份,bottom_area,2024-07-17,12.33,2024-07-17,12.2,1.0655737704918098,2.8688524590164053,27.077106993424994,False,-1.1227,0.7387,3,3,3,100.0,23.267522267018258,26.115859449192786,6.93442622950819,1.0655737704918098,历史3/3次成功; 当前距低点1.07%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
7,86.59025164455444,83.36917007353162,002044,美年健康,bottom_area,2024-07-17,3.52,2024-07-17,3.45,2.028985507246372,3.1884057971014457,29.447852760736186,False,0.8596,0.7637,3,3,3,100.0,14.383102312114746,18.108108108108105,5.9710144927536275,2.028985507246372,历史3/3次成功; 当前距低点2.03%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
8,86.28166087228273,84.284000580542,300480,光力科技,bottom_area,2024-07-17,13.67,2024-07-09,13.3,2.781954887218039,7.4436090225563785,28.108108108108105,True,-2.7046,1.6442,5,5,5,100.0,25.144396362360865,39.69465648854962,5.218045112781962,2.781954887218039,历史5/5次成功; 当前距低点2.78%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
9,86.25060918807704,81.32547746849,000065,北方国际,bottom_area,2024-07-17,9.63,2024-07-09,9.54,0.9433962264151114,4.088050314465415,28.000000000000007,False,0.2081,0.5778,3,3,3,100.0,29.926993896325044,41.48061104582843,7.056603773584888,0.9433962264151114,历史3/3次成功; 当前距低点0.94%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
10,85.97338204086758,84.39990881458968,600094,大名城,confirmed_rebound,2024-07-17,3.39,2024-07-09,3.29,3.0395136778115526,9.726443768996955,30.000000000000004,True,0.0,1.04,2,2,2,100.0,51.71595225176342,87.28070175438596,4.960486322188448,3.0395136778115526,历史2/2次成功; 当前距低点3.04%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
11,85.91282600310302,82.26295772871546,601886,江河集团,bottom_area,2024-07-17,4.67,2024-07-09,4.59,1.7429193899782152,5.228758169934646,27.488151658767773,False,-0.6383,0.5835,3,3,3,100.0,27.40222547239673,33.5540838852097,6.257080610021785,1.7429193899782152,历史3/3次成功; 当前距低点1.74%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
