rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.23766233766234,67.69805194805195,002721,金一文化,bottom_area,2023-01-31,3.2,2023-01-31,3.2,0.0,0.0,27.107061503416848,False,-10.1124,1.531,1,1,1,100.0,23.376623376623378,23.376623376623378,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.11%; 状态bottom_area; 底部未确认
2,72.4015202528931,61.02665506196237,300562,乐心医疗,bottom_area,2023-01-31,9.7,2023-01-31,9.64,0.6224066390041361,3.73443983402489,27.790262172284635,False,-3.1936,6.5691,2,3,2,66.66666666666666,21.769223291533006,22.71604938271605,19.377593360995863,0.6224066390041361,历史2/3次成功; 当前距低点0.62%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
3,66.21163511580723,58.786031177585855,000419,通程控股,bottom_area,2023-01-31,6.27,2023-01-19,6.06,3.465346534653465,3.630363036303641,29.039812646370024,False,1.129,3.4157,1,2,1,50.0,24.82269503546099,24.82269503546099,16.534653465346537,3.465346534653465,历史1/2次成功; 当前距低点3.47%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
4,62.82859940068471,55.565683313976024,000715,中兴商业,bottom_area,2023-01-31,6.35,2023-01-19,6.15,3.2520325203251916,3.2520325203251916,31.05381165919282,False,0.1577,2.5453,1,3,1,33.33333333333333,24.33862433862435,24.33862433862435,16.74796747967481,3.2520325203251916,历史1/3次成功; 当前距低点3.25%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
5,62.67349243474975,55.434690603514156,300434,金石亚药,bottom_area,2023-01-31,12.36,2023-01-19,11.97,3.2581453634085107,4.09356725146199,31.127733026467197,False,-0.7229,3.6047,1,2,1,50.0,26.7379679144385,26.7379679144385,16.74185463659149,3.2581453634085107,历史1/2次成功; 当前距低点3.26%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
6,60.87069691909551,54.22142212427512,002838,道恩股份,bottom_area,2023-01-31,17.63,2023-01-13,17.01,3.6449147560258512,4.467960023515567,32.17703349282296,False,-0.3392,2.3762,1,2,1,50.0,24.95606326889279,24.95606326889279,16.35508524397415,3.6449147560258512,历史1/2次成功; 当前距低点3.64%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
7,58.58039342454027,51.35539432147063,002589,瑞康医药,bottom_area,2023-01-31,4.08,2023-01-31,3.97,2.770780856423171,4.785894206549117,27.55474452554745,False,-4.2254,5.4322,1,3,1,33.33333333333333,28.49162011173183,28.49162011173183,17.22921914357683,2.770780856423171,历史1/3次成功; 当前距低点2.77%; 最新日涨幅-4.23%; 状态bottom_area; 底部未确认
8,53.79686370873,48.59513133994693,000679,大连友谊,bottom_area,2023-01-31,5.68,2023-01-18,5.44,4.41176470588234,5.6985294117646985,28.515111695137975,False,-0.5254,1.608,1,4,1,25.0,24.94061757719715,24.94061757719715,15.588235294117661,4.41176470588234,历史1/4次成功; 当前距低点4.41%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
