rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.3395763381695,79.88044231830769,300449,汉邦高科,bottom_area,2024-04-15,3.9,2024-04-15,3.82,2.094240837696337,12.56544502617801,30.291970802919714,False,-9.3023,3.9077,2,2,2,100.0,45.78124423793193,71.7557251908397,12.905759162303662,2.094240837696337,历史2/2次成功; 当前距低点2.09%; 最新日涨幅-9.30%; 状态bottom_area; 底部未确认
2,87.0701078386974,78.76097754293264,603327,福蓉科技,bottom_area,2024-04-15,15.46,2024-04-15,15.14,2.1136063408190244,6.671070013210026,30.550458715596328,False,-3.2541,3.4125,4,5,4,80.0,58.84779650663165,129.39632545931758,12.886393659180975,2.1136063408190244,历史4/5次成功; 当前距低点2.11%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
3,86.22809921037323,77.81312348668281,688232,新点软件,bottom_area,2024-04-15,21.06,2024-04-15,20.65,1.9854721549636811,6.924939467312348,27.59467040673212,False,-3.483,3.4283,1,1,1,100.0,51.87398153177622,51.87398153177622,13.01452784503632,1.9854721549636811,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
4,86.13669364697589,77.99942440859786,002657,中科金财,bottom_area,2024-04-15,13.18,2024-04-15,12.9,2.1705426356589097,6.976744186046514,32.38993710691823,False,-4.1455,3.6467,2,2,2,100.0,36.60355708548481,56.540447504302946,12.82945736434109,2.1705426356589097,历史2/2次成功; 当前距低点2.17%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
5,84.86067577372576,76.15265816585702,300426,华智数媒,bottom_area,2024-04-15,7.84,2024-04-15,7.71,1.686121919584953,9.468223086900124,31.769911504424787,False,-7.109,2.2865,2,2,2,100.0,20.736645927476964,25.936811168258643,13.313878080415046,1.686121919584953,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-7.11%; 状态bottom_area; 底部未确认
6,83.5475,72.65,002388,新亚制程,bottom_area,2024-04-15,3.98,2024-04-15,3.98,0.0,10.050251256281404,28.80143112701252,False,-9.9548,5.918,1,1,1,100.0,50.505050505050505,50.505050505050505,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
7,83.28984064817627,75.33754430488307,002173,创新医疗,bottom_area,2024-04-15,7.74,2024-04-15,7.58,2.110817941952509,11.081794195250657,27.740705433746427,False,-8.076,5.8737,2,2,2,100.0,21.560264583520393,24.903474903474905,12.88918205804749,2.110817941952509,历史2/2次成功; 当前距低点2.11%; 最新日涨幅-8.08%; 状态bottom_area; 底部未确认
8,82.83920342552382,76.14324564098897,688114,华大智造,bottom_area,2024-04-15,54.39,2024-04-15,52.82,2.9723589549413107,4.770920106020453,29.033991670025532,False,0.5546,0.8968,1,1,1,100.0,20.431312141156706,20.431312141156706,12.027641045058688,2.9723589549413107,历史1/1次成功; 当前距低点2.97%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
9,82.43512659256156,75.93982382050764,600203,福日电子,bottom_area,2024-04-15,6.67,2024-04-15,6.47,3.0911901081916566,11.282843894899543,30.802139037433157,False,-5.3901,11.251,3,3,3,100.0,20.149125092390385,24.045801526717554,11.908809891808342,3.0911901081916566,历史3/3次成功; 当前距低点3.09%; 最新日涨幅-5.39%; 状态bottom_area; 底部未确认
10,81.82932604120845,76.07381088825215,002097,山河智能,bottom_area,2024-04-15,7.23,2024-04-15,6.98,3.5816618911174785,7.593123209169045,29.352226720647774,False,-1.8996,5.1713,1,1,1,100.0,50.210970464135016,50.210970464135016,11.418338108882521,3.5816618911174785,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
11,81.62695244797392,72.15816294377932,300417,南华仪器,confirmed_rebound,2024-04-15,6.87,2024-04-15,6.81,0.8810572687224744,17.327459618208525,27.24358974358974,False,-14.6584,7.5688,3,3,3,100.0,22.779427507884694,25.514403292181065,14.118942731277526,0.8810572687224744,历史3/3次成功; 当前距低点0.88%; 最新日涨幅-14.66%; 状态confirmed_rebound; 底部未确认
12,80.1445286561876,73.31154601333854,688337,普源精电,bottom_area,2024-04-15,28.77,2024-04-15,28.01,2.7133166726169153,6.069260978222061,27.01928087545597,False,-3.2291,5.294,3,4,3,75.0,38.886602295188766,54.46153846153845,12.286683327383084,2.7133166726169153,历史3/4次成功; 当前距低点2.71%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
13,79.87967368374197,72.20623176560098,300730,科创信息,bottom_area,2024-04-15,8.85,2024-04-15,8.67,2.076124567474045,9.919261822376003,31.67848699763593,False,-6.1506,3.6298,1,1,1,100.0,20.966643975493536,20.966643975493536,12.923875432525955,2.076124567474045,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-6.15%; 状态bottom_area; 底部未确认
14,79.79743396962449,72.32219246822945,688167,炬光科技,bottom_area,2024-04-15,70.53,2024-04-15,69.0,2.2173913043478275,7.898550724637684,31.676403604317255,False,-3.8839,2.9771,3,4,3,75.0,27.488412054529558,39.13715105373497,12.782608695652172,2.2173913043478275,历史3/4次成功; 当前距低点2.22%; 最新日涨幅-3.88%; 状态bottom_area; 底部未确认
15,79.44278136574158,71.83612208562606,301393,昊帆生物,bottom_area,2024-04-15,39.48,2024-04-15,38.67,2.0946470131885055,8.35272821308507,27.7196261682243,False,-5.1645,5.6982,1,1,1,100.0,19.203856320945413,19.203856320945413,12.905352986811494,2.0946470131885055,历史1/1次成功; 当前距低点2.09%; 最新日涨幅-5.16%; 状态bottom_area; 底部未确认
16,79.25226675088807,71.53744432381046,000002,万科A,bottom_area,2024-04-15,7.14,2024-04-15,7.0,1.9999999999999956,4.285714285714283,31.37254901960784,False,0.5634,1.8413,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,13.000000000000004,1.9999999999999956,历史2/3次成功; 当前距低点2.00%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
17,78.73192721658268,73.42078488772711,300461,田中精机,bottom_area,2024-04-15,15.78,2024-04-15,15.21,3.747534516765276,12.294543063773816,27.57142857142857,False,-7.6112,7.712,2,2,2,100.0,31.318083795440543,39.80283425754775,11.252465483234724,3.747534516765276,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
18,78.68464376321351,71.45767441860464,300528,幸福蓝海,bottom_area,2024-04-15,7.04,2024-04-15,6.88,2.325581395348839,10.465116279069765,29.072164948453604,False,-7.0013,2.488,1,1,1,100.0,20.0,20.0,12.67441860465116,2.325581395348839,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
19,78.3828407691154,72.4184867481706,000599,青岛双星,bottom_area,2024-04-15,4.45,2024-04-11,4.31,3.2482598607888766,12.529002320185617,31.259968102073366,True,-0.8909,5.251,1,1,1,100.0,17.06730769230769,17.06730769230769,11.751740139211122,3.2482598607888766,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-0.89%; 状态bottom_area; 底部已确认
20,77.7888270803631,68.98018218118293,002432,九安医疗,bottom_area,2024-04-15,40.49,2024-04-12,40.07,1.0481657100074913,3.6935363114549458,27.118952346307744,False,0.7966,2.5079,1,2,1,50.0,65.03496503496503,65.03496503496503,13.95183428999251,1.0481657100074913,历史1/2次成功; 当前距低点1.05%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
21,77.46457349945567,71.48671248898727,300645,正元智慧,bottom_area,2024-04-15,13.28,2024-04-15,12.87,3.1857031857031872,9.55710955710956,28.060368921185024,False,-5.4131,3.9766,1,1,1,100.0,30.699547055863096,30.699547055863096,11.814296814296812,3.1857031857031872,历史1/1次成功; 当前距低点3.19%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
22,76.9639598540146,66.92518248175183,603023,威帝股份,bottom_area,2024-04-15,2.99,2024-04-15,2.99,0.0,4.682274247491628,28.809523809523807,False,-9.9398,4.3783,1,1,1,100.0,19.22141119221411,19.22141119221411,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
23,76.9126220979695,70.10339855025983,603138,海量数据,bottom_area,2024-04-15,12.2,2024-04-15,11.9,2.5210084033613356,7.394957983193269,27.439024390243894,False,-5.1322,2.4347,1,1,1,100.0,15.114503816793897,15.114503816793897,12.478991596638664,2.5210084033613356,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-5.13%; 状态bottom_area; 底部未确认
24,75.39031859914596,69.58002763194251,002047,宝鹰股份,bottom_area,2024-04-15,1.94,2024-04-15,1.88,3.1914893617021307,11.70212765957448,30.627306273062732,False,-7.177,1.7848,1,1,1,100.0,20.51948051948051,20.51948051948051,11.808510638297868,3.1914893617021307,历史1/1次成功; 当前距低点3.19%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
25,74.83449154661156,67.16971569465264,300533,冰川网络,bottom_area,2024-04-15,19.17,2024-04-15,18.85,1.697612732095492,7.957559681697612,31.92488262910798,False,-4.5794,8.222,2,3,2,66.66666666666666,28.13766697399834,40.564081294068856,13.302387267904509,1.697612732095492,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
26,74.04654160178008,66.28627055766432,301499,维科精密,bottom_area,2024-04-15,22.2,2024-04-15,21.86,1.5553522415370533,11.116193961573648,29.025974025974026,False,-6.9573,9.2578,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,13.444647758462946,1.5553522415370533,历史2/3次成功; 当前距低点1.56%; 最新日涨幅-6.96%; 状态bottom_area; 底部未确认
