rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.68117196854169,89.46014307245365,000983,山西焦煤,bottom_area,2024-08-23,7.69,2024-08-21,7.61,1.0512483574244424,3.28515111695138,29.86175115207373,False,0.5229,0.4506,4,4,4,100.0,18.47843724398591,27.212389380530986,6.948751642575559,1.0512483574244424,历史4/4次成功; 当前距低点1.05%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,90.12001559339808,85.82110731582624,600343,航天动力,bottom_area,2024-08-23,7.65,2024-08-23,7.54,1.4588859416445665,3.183023872679048,32.67857142857142,False,-2.2989,1.8457,4,4,4,100.0,26.383694961160476,55.72413793103447,6.541114058355434,1.4588859416445665,历史4/4次成功; 当前距低点1.46%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
3,89.14573447149894,84.56003622388843,300639,凯普生物,bottom_area,2024-08-23,5.65,2024-08-23,5.58,1.2544802867383564,6.27240143369175,29.367088607594937,False,-2.2491,4.9978,4,4,4,100.0,17.09812514866608,33.27433628318583,6.745519713261644,1.2544802867383564,历史4/4次成功; 当前距低点1.25%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
4,88.85012855105667,84.96844096589822,300653,正海生物,bottom_area,2024-08-23,18.79,2024-08-23,18.48,1.6774891774891707,2.5974025974025996,27.071823204419886,False,0.3739,0.9563,3,3,3,100.0,18.672668228889858,29.647513278609367,6.3225108225108295,1.6774891774891707,历史3/3次成功; 当前距低点1.68%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,85.79509596608898,80.54000353674131,002685,华东重机,bottom_area,2024-08-23,2.82,2024-08-23,2.8,0.714285714285715,2.142857142857145,28.934010152284266,False,-1.3986,2.5831,3,3,3,100.0,45.36868260920823,109.52380952380952,7.285714285714286,0.714285714285715,历史3/3次成功; 当前距低点0.71%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
6,84.16929298136662,80.63050950849386,301510,固高科技,bottom_area,2024-08-23,20.16,2024-08-21,19.81,1.7667844522968272,3.63452801615347,28.91998564764981,False,0.4985,0.8916,2,2,2,100.0,13.11170999855176,16.010654039656714,6.233215547703173,1.7667844522968272,历史2/2次成功; 当前距低点1.77%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
7,83.98472593194302,79.5664478846986,603132,金徽股份,bottom_area,2024-08-23,11.05,2024-08-23,10.92,1.1904761904761978,2.1062271062271103,27.151434289526357,False,-0.1807,0.9037,2,2,2,100.0,22.799643005292072,33.20754716981132,6.809523809523803,1.1904761904761978,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
8,83.84848631223893,79.80531707482334,000037,深南电A,bottom_area,2024-08-23,7.09,2024-08-23,6.99,1.4306151645207388,3.0042918454935617,27.7892561983471,False,-0.8392,1.4086,7,8,7,87.5,20.777524999627015,45.16765285996055,6.569384835479261,1.4306151645207388,历史7/8次成功; 当前距低点1.43%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
9,83.71436734204958,80.07787546167367,002732,燕塘乳业,bottom_area,2024-08-23,13.23,2024-08-23,13.01,1.6910069177555775,2.22905457340508,29.599567099567103,False,-1.0471,0.551,3,3,3,100.0,15.018124914819245,25.344352617079892,6.308993082244423,1.6910069177555775,历史3/3次成功; 当前距低点1.69%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
10,83.49033881811111,82.58098928436618,002545,东方铁塔,bottom_area,2024-08-23,6.03,2024-07-25,5.83,3.430531732418528,7.375643224699823,29.247572815533985,True,0.5,0.5489,3,3,3,100.0,18.132266850969987,28.468653648509758,4.569468267581472,3.430531732418528,历史3/3次成功; 当前距低点3.43%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
11,83.12244202992079,78.58012735132007,002140,东华科技,bottom_area,2024-08-23,6.56,2024-08-23,6.49,1.0785824345146287,2.1571648690292706,27.888888888888886,False,0.0,0.4274,1,1,1,100.0,10.318791946308728,10.318791946308728,6.921417565485371,1.0785824345146287,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,82.54038928244226,77.50798666968583,000597,东北制药,bottom_area,2024-08-23,4.14,2024-08-23,4.11,0.7299270072992544,2.6763990267639763,31.38564273789649,False,-1.4286,2.5781,3,3,3,100.0,29.259248636172746,61.02150537634409,7.270072992700746,0.7299270072992544,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
13,82.24174620037346,79.69768376121174,688065,凯赛生物,bottom_area,2024-08-23,34.61,2024-08-23,33.81,2.366163856847078,2.8098195800059025,30.245512688260774,False,1.6148,0.2462,2,2,2,100.0,15.443749219478864,18.007614213197968,5.633836143152922,2.366163856847078,历史2/2次成功; 当前距低点2.37%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
14,81.96632159935821,77.7287365733095,301509,金凯生科,bottom_area,2024-08-23,26.12,2024-08-23,25.8,1.240310077519381,2.5193798449612346,28.03347280334728,False,-1.0231,2.2009,2,2,2,100.0,13.530341666955287,15.05054819877544,6.759689922480619,1.240310077519381,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
15,81.54646092448849,77.60213901975372,002293,罗莱生活,bottom_area,2024-08-23,7.13,2024-08-21,7.03,1.4224751066856278,2.9871977240398286,31.34765625,False,0.1404,0.1693,1,1,1,100.0,9.27624872579001,9.27624872579001,6.577524893314372,1.4224751066856278,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
16,80.88944784210507,75.75587336468632,002219,新里程,bottom_area,2024-08-23,1.7,2024-08-23,1.69,0.5917159763313614,2.3668639053254457,29.288702928870297,False,-0.5848,0.6984,2,2,2,100.0,34.81175156302061,45.685279187817265,7.408284023668639,0.5917159763313614,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
