rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.2017604192951,76.50795486847379,301367,瑞迈特,bottom_area,2024-04-18,73.83,2024-04-16,73.03,1.0954402300424444,8.024099685060932,28.387919199843108,False,-2.3413,1.7643,3,4,3,75.0,26.024508564357845,32.411969715178486,13.904559769957556,1.0954402300424444,历史3/4次成功; 当前距低点1.10%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
2,83.97540410891726,77.2059011794176,002652,扬子新材,bottom_area,2024-04-18,2.07,2024-04-16,2.01,2.985074626865675,7.9601990049751326,28.469750889679723,True,-2.3585,5.0599,2,2,2,100.0,22.913286713286713,23.426573426573423,12.014925373134325,2.985074626865675,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
3,81.64733242578906,76.97750589112002,000042,中洲控股,bottom_area,2024-04-18,3.61,2024-04-17,3.46,4.335260115606934,6.358381502890179,32.81553398058253,False,0.0,2.0529,2,2,2,100.0,24.956445993031362,28.57142857142858,10.664739884393065,4.335260115606934,历史2/2次成功; 当前距低点4.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,80.69693492844364,70.17124776386405,603030,全筑股份,bottom_area,2024-04-18,1.96,2024-04-18,1.96,0.0,4.081632653061228,31.2280701754386,False,-4.8544,1.4644,4,5,4,80.0,30.006708407871198,50.5813953488372,15.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
5,80.42886028185981,75.44109109518935,300725,药石科技,bottom_area,2024-04-18,30.5,2024-04-16,29.31,4.060047765267831,9.757761856021846,27.053260328521656,True,-1.5176,3.097,1,1,1,100.0,43.26881720430109,43.26881720430109,10.939952234732168,4.060047765267831,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
6,78.12986565610832,69.15879548682658,688114,华大智造,bottom_area,2024-04-18,53.0,2024-04-18,52.5,0.9523809523809524,4.723809523809518,29.463925836356314,False,-1.6698,0.6044,1,1,1,100.0,20.431312141156706,20.431312141156706,14.047619047619047,0.9523809523809524,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
7,75.28059531909113,70.82345886852842,301520,万邦医药,bottom_area,2024-04-18,42.72,2024-04-16,40.99,4.220541595511093,10.026835813613074,27.80908770693906,False,-0.0702,5.1411,1,1,1,100.0,29.60372960372961,29.60372960372961,10.779458404488906,4.220541595511093,历史1/1次成功; 当前距低点4.22%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
8,75.18499161733658,70.55077410274454,002638,勤上股份,bottom_area,2024-04-18,2.04,2024-04-15,1.96,4.081632653061228,11.224489795918377,29.496402877697836,True,-2.3923,1.139,1,1,1,100.0,17.241379310344833,17.241379310344833,10.918367346938771,4.081632653061228,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
9,74.66974128905525,69.56612172987093,002459,晶澳科技,bottom_area,2024-04-18,15.43,2024-04-18,14.88,3.6962365591397774,5.107526881720428,27.34375,False,-0.7717,1.7483,3,4,3,75.0,20.58355421886888,26.683937823834192,11.303763440860221,3.6962365591397774,历史3/4次成功; 当前距低点3.70%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
10,73.51094481922274,67.78809376599347,688276,百克生物,bottom_area,2024-04-18,41.31,2024-04-15,40.05,3.1460674157303496,5.86766541822722,27.445652173913054,False,0.5109,1.2237,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,11.85393258426965,3.1460674157303496,历史2/3次成功; 当前距低点3.15%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
11,73.07355992299125,69.4150526611494,301393,昊帆生物,bottom_area,2024-04-18,38.45,2024-04-16,36.71,4.739852901116867,8.96213565785889,31.38317757009346,True,-1.1822,4.2661,1,1,1,100.0,19.203856320945413,19.203856320945413,10.260147098883133,4.739852901116867,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
12,71.42229043812776,62.27556659455282,000002,万科A,bottom_area,2024-04-18,6.88,2024-04-18,6.87,0.14556040756913807,2.6200873362445374,32.647058823529406,False,-3.0986,3.1583,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,14.854439592430863,0.14556040756913807,历史2/3次成功; 当前距低点0.15%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
13,71.07311714625078,63.63108761329303,002432,九安医疗,bottom_area,2024-04-18,40.34,2024-04-17,39.72,1.560926485397796,3.57502517623364,27.75554747180793,False,-1.3692,2.4727,1,2,1,50.0,65.03496503496503,65.03496503496503,13.439073514602203,1.560926485397796,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
14,66.68211329361593,63.52244751070025,002256,兆新股份,bottom_area,2024-04-18,1.93,2024-04-16,1.84,4.891304347826079,8.152173913043473,30.82706766917293,True,-1.5306,1.0462,3,5,3,60.0,26.04635174055759,31.775700934579426,10.108695652173921,4.891304347826079,历史3/5次成功; 当前距低点4.89%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
