rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.2414642891076,82.75987968337728,000789,万年青,bottom_area,2021-11-01,11.63,2021-10-28,11.37,2.2867194371152295,3.6059806508355337,32.76167947959788,False,1.1304,1.674,1,1,1,100.0,47.599999999999994,47.599999999999994,17.71328056288477,2.2867194371152295,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
2,88.20104040747027,76.20491228070175,002075,沙钢股份,bottom_area,2021-11-01,6.2,2021-10-28,6.08,1.9736842105263175,2.960526315789469,30.195177956371992,False,-0.161,1.0028,1,1,1,100.0,30.994152046783608,30.994152046783608,18.026315789473685,1.9736842105263175,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
3,82.26649141721396,73.83144706201107,603069,海汽集团,bottom_area,2021-11-01,14.88,2021-10-29,14.3,4.055944055944057,5.244755244755245,29.03225806451612,False,1.9877,0.7598,1,1,1,100.0,21.284943599803825,21.284943599803825,15.944055944055947,4.055944055944057,历史1/1次成功; 当前距低点4.06%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
