rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.76658948407514,76.36099294486544,600318,新力金融,bottom_area,2024-11-18,9.0,2024-11-18,8.9,1.1235955056179736,6.853932584269656,27.049180327868843,False,-4.1534,8.7577,1,1,1,100.0,31.627906976744185,31.627906976744185,18.876404494382026,1.1235955056179736,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
2,83.35026917758769,74.15430867058383,688260,昀冢科技,bottom_area,2024-11-18,17.95,2024-11-18,17.33,3.5776110790536704,15.291402192729384,30.680000000000007,False,-8.3716,5.4021,2,2,2,100.0,33.17882758508712,35.05853357979052,16.42238892094633,3.5776110790536704,历史2/2次成功; 当前距低点3.58%; 最新日涨幅-8.37%; 状态bottom_area; 底部未确认
3,76.716,63.93,300337,银邦股份,confirmed_rebound,2024-11-18,14.81,2024-11-18,14.81,0.0,29.912221471978377,32.033042680128496,False,-19.9892,15.7706,3,5,3,60.0,62.81480014603586,131.5277777777778,20.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态confirmed_rebound; 底部未确认
4,76.6746678287594,66.56455944005168,688010,福光股份,bottom_area,2024-11-18,29.72,2024-11-18,29.07,2.235982112143098,13.96628826969385,30.62052505966587,False,-9.8027,6.0891,2,3,2,66.66666666666666,31.483505317587557,42.08955223880597,17.7640178878569,2.235982112143098,历史2/3次成功; 当前距低点2.24%; 最新日涨幅-9.80%; 状态bottom_area; 底部未确认
5,75.23584379640481,65.46669089807664,002693,双成药业,bottom_area,2024-11-18,22.53,2024-11-15,22.01,2.3625624716038143,9.76828714220808,28.49252761533463,False,1.3951,11.6978,2,6,2,33.33333333333333,68.73626373626374,102.85714285714285,17.637437528396188,2.3625624716038143,历史2/6次成功; 当前距低点2.36%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
6,72.4404352383826,61.98895157264105,002428,云南锗业,bottom_area,2024-11-18,20.32,2024-11-18,20.03,1.4478282576135753,9.885172241637544,32.33108108108108,False,-7.4681,11.3038,1,2,1,50.0,49.99999999999999,49.99999999999999,18.552171742386424,1.4478282576135753,历史1/2次成功; 当前距低点1.45%; 最新日涨幅-7.47%; 状态bottom_area; 底部未确认
7,70.14089300451015,59.606664017800405,300581,晨曦航空,bottom_area,2024-11-18,12.29,2024-11-18,12.16,1.069078947368413,7.319078947368425,27.402985074626862,False,-3.3805,4.2997,1,2,1,50.0,32.54926891290528,32.54926891290528,18.93092105263159,1.069078947368413,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
8,69.56984015009492,59.880213313348484,688262,国芯科技,bottom_area,2024-11-18,27.08,2024-11-18,26.61,1.7662532882375004,10.033821871476894,31.488156539649854,False,-6.2976,6.7663,2,5,2,40.0,30.89930543295688,34.73541383989144,18.2337467117625,1.7662532882375004,历史2/5次成功; 当前距低点1.77%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
9,66.95497731900684,57.35802622698885,301333,诺思格,bottom_area,2024-11-18,53.85,2024-11-18,53.05,1.5080113100848338,11.02733270499529,27.408319649698964,False,-8.7752,3.7928,1,2,1,50.0,25.840279645065877,25.840279645065877,18.491988689915168,1.5080113100848338,历史1/2次成功; 当前距低点1.51%; 最新日涨幅-8.78%; 状态bottom_area; 底部未确认
10,64.6852171458545,56.481803992246235,688195,腾景科技,bottom_area,2024-11-18,38.97,2024-11-18,38.0,2.5526315789473655,9.210526315789473,27.105313638979478,False,-4.4619,5.4901,3,8,3,37.5,27.684430065839933,38.77410468319559,17.447368421052637,2.5526315789473655,历史3/8次成功; 当前距低点2.55%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
11,64.04243750670345,54.432317927737394,688058,宝兰德,bottom_area,2024-11-18,31.9,2024-11-18,31.56,1.0773130544993659,13.022813688212937,28.564961521050254,False,-9.8615,3.631,1,3,1,33.33333333333333,24.27558257345491,24.27558257345491,18.922686945500637,1.0773130544993659,历史1/3次成功; 当前距低点1.08%; 最新日涨幅-9.86%; 状态bottom_area; 底部未确认
12,64.02051254767991,54.20300053471851,688089,嘉必优,bottom_area,2024-11-18,20.98,2024-11-18,20.8,0.8653846153846141,12.932692307692296,30.942895086321382,False,-7.9017,6.6197,1,2,1,50.0,40.83912611717973,40.83912611717973,19.134615384615387,0.8653846153846141,历史1/2次成功; 当前距低点0.87%; 最新日涨幅-7.90%; 状态bottom_area; 底部未确认
13,63.21550006818248,53.78756697961988,000572,海马汽车,bottom_area,2024-11-18,4.45,2024-11-18,4.4,1.1363636363636322,8.636363636363633,27.39273927392738,False,-4.9145,4.5953,1,4,1,25.0,22.92191435768261,22.92191435768261,18.863636363636367,1.1363636363636322,历史1/4次成功; 当前距低点1.14%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
14,62.59718906342862,53.92461606575105,300399,天利科技,bottom_area,2024-11-18,20.78,2024-11-18,20.41,1.812836844683983,19.990200881920618,28.461268839817738,False,-16.3109,12.8157,1,4,1,25.0,31.95098963242225,31.95098963242225,18.187163155316018,1.812836844683983,历史1/4次成功; 当前距低点1.81%; 最新日涨幅-16.31%; 状态bottom_area; 底部未确认
15,62.202348376427196,52.40978723404256,601777,千里科技,bottom_area,2024-11-18,6.69,2024-11-18,6.65,0.6015037593984968,7.368421052631568,27.322404371584696,False,-4.9716,2.0337,1,2,1,50.0,27.96352583586626,27.96352583586626,19.398496240601503,0.6015037593984968,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-4.97%; 状态bottom_area; 底部未确认
16,60.96493033180188,52.482322407757366,002298,中电鑫龙,bottom_area,2024-11-18,5.16,2024-11-18,5.07,1.7751479289940801,8.086785009861936,27.1551724137931,False,-4.6211,7.5339,1,4,1,25.0,23.734729493891784,23.734729493891784,18.22485207100592,1.7751479289940801,历史1/4次成功; 当前距低点1.78%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
17,60.36670329670329,50.30558608058608,605218,伟时电子,bottom_area,2024-11-18,24.75,2024-11-18,24.75,0.0,9.4949494949495,29.886685552407926,False,-10.0,6.3101,1,4,1,25.0,42.36874236874236,42.36874236874236,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
18,60.13627663927265,52.99294956496623,300757,罗博特科,bottom_area,2024-11-18,190.3,2024-11-18,184.66,3.0542618867107194,5.929816960901125,27.584313725490194,False,-1.6893,5.1094,1,6,1,16.666666666666664,74.11052233156698,74.11052233156698,16.945738113289284,3.0542618867107194,历史1/6次成功; 当前距低点3.05%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
19,59.12340803663099,50.0529871787626,603297,永新光学,bottom_area,2024-11-18,85.5,2024-11-18,84.77,0.8611537100389336,6.3819747552200194,28.161016949152547,False,-4.799,2.459,1,3,1,33.33333333333333,37.91980808773132,37.91980808773132,19.138846289961066,0.8611537100389336,历史1/3次成功; 当前距低点0.86%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
20,58.538594782103445,49.678593633993565,000566,海南海药,bottom_area,2024-11-18,5.08,2024-11-18,5.03,0.9940357852882667,7.355864811133203,29.254571026722925,False,-3.9698,4.429,1,3,1,33.33333333333333,37.53581661891116,37.53581661891116,19.005964214711735,0.9940357852882667,历史1/3次成功; 当前距低点0.99%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
21,58.146311987912384,50.82456672991776,300520,科大国创,bottom_area,2024-11-18,21.63,2024-11-18,21.08,2.609108159392793,13.757115749525628,27.10926694329185,False,-9.875,12.5929,1,3,1,33.33333333333333,23.65591397849461,23.65591397849461,17.39089184060721,2.609108159392793,历史1/3次成功; 当前距低点2.61%; 最新日涨幅-9.88%; 状态bottom_area; 底部未确认
22,57.19421955074492,48.225413702762154,300712,永福股份,bottom_area,2024-11-18,26.67,2024-11-18,26.5,0.6415094339622706,7.471698113207549,28.37837837837838,False,-6.0585,5.1905,1,3,1,33.33333333333333,25.401730531520393,25.401730531520393,19.35849056603773,0.6415094339622706,历史1/3次成功; 当前距低点0.64%; 最新日涨幅-6.06%; 状态bottom_area; 底部未确认
23,56.54126637072759,47.78406198993276,688143,长盈通,bottom_area,2024-11-18,22.35,2024-11-18,22.18,0.7664562669071312,10.054102795311092,32.990936555891246,False,-7.0686,6.536,1,4,1,25.0,25.949367088607595,25.949367088607595,19.23354373309287,0.7664562669071312,历史1/4次成功; 当前距低点0.77%; 最新日涨幅-7.07%; 状态bottom_area; 底部未确认
24,56.51863108022152,47.63297000833102,000670,盈方微,bottom_area,2024-11-18,6.54,2024-11-18,6.5,0.6153846153846159,13.076923076923071,27.697441601779754,False,-7.3654,9.5743,1,4,1,25.0,23.28519855595668,23.28519855595668,19.384615384615387,0.6153846153846159,历史1/4次成功; 当前距低点0.62%; 最新日涨幅-7.37%; 状态bottom_area; 底部未确认
