rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.73553027812484,80.49671641791048,301009,可靠股份,bottom_area,2025-09-18,13.62,2025-09-05,13.4,1.641791044776111,5.597014925373134,27.762803234501348,False,-1.9438,3.6376,1,1,1,100.0,53.96648044692738,53.96648044692738,18.35820895522389,1.641791044776111,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
2,88.22535815292977,75.47859257358262,300645,正元智慧,bottom_area,2025-09-18,18.38,2025-09-05,18.12,1.434878587196457,6.236203090507721,27.3164861612515,False,-3.9205,6.2299,1,1,1,100.0,30.699547055863096,30.699547055863096,18.565121412803546,1.434878587196457,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
3,87.02792498157885,75.27099520029398,300510,金冠股份,bottom_area,2025-09-18,4.52,2025-09-03,4.43,2.0316027088036086,6.997742663656896,30.01579778830964,False,-1.7391,4.8077,3,4,3,75.0,30.849727829925854,40.000000000000014,17.968397291196393,2.0316027088036086,历史3/4次成功; 当前距低点2.03%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
4,84.81156932077535,76.27249381976335,300192,科德教育,bottom_area,2025-09-18,19.49,2025-09-09,18.71,4.168893639764819,8.177445216461772,32.649388048956084,True,1.3521,11.8692,1,1,1,100.0,26.599845797995382,26.599845797995382,15.83110636023518,4.168893639764819,历史1/1次成功; 当前距低点4.17%; 最新日涨幅1.35%; 状态bottom_area; 底部已确认
5,76.64867881555789,65.76377229517757,600316,洪都航空,bottom_area,2025-09-18,34.45,2025-09-16,33.91,1.5924506045414517,4.747861987614293,28.565409732462616,False,0.7605,3.4611,2,5,2,40.0,27.712686416839073,30.462519936204153,18.40754939545855,1.5924506045414517,历史2/5次成功; 当前距低点1.59%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
6,75.09725259743428,67.90561883119747,002795,永和智控,bottom_area,2025-09-18,4.91,2025-08-28,4.7,4.468085106382977,7.234042553191486,31.884057971014496,True,-1.8,3.201,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,15.531914893617024,4.468085106382977,历史4/6次成功; 当前距低点4.47%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
7,68.93058503813626,61.75830017713875,000561,烽火电子,bottom_area,2025-09-18,11.28,2025-09-04,10.85,3.9631336405529933,8.20276497695853,32.60869565217392,True,-1.3986,5.5894,2,4,2,50.0,26.85077891182564,31.050955414012744,16.036866359447007,3.9631336405529933,历史2/4次成功; 当前距低点3.96%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
8,67.00656226415094,56.48603773584906,601900,南方传媒,bottom_area,2025-09-18,12.8,2025-09-18,12.72,0.6289308176100634,2.8301886792452784,29.254727474972192,False,-2.0658,1.3452,1,2,1,50.0,39.999999999999986,39.999999999999986,19.371069182389938,0.6289308176100634,历史1/2次成功; 当前距低点0.63%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
9,64.01718735074085,56.75629572520589,688682,霍莱沃,bottom_area,2025-09-18,29.0,2025-09-04,28.05,3.3868092691622076,8.698752228163984,27.687548337200308,True,-2.8476,2.2354,1,2,1,50.0,26.22699386503069,26.22699386503069,16.613190730837793,3.3868092691622076,历史1/2次成功; 当前距低点3.39%; 最新日涨幅-2.85%; 状态bottom_area; 底部已确认
10,63.85692853708838,54.177258374226575,603839,安正时尚,bottom_area,2025-09-18,8.25,2025-09-18,8.17,0.9791921664626693,3.0599755201958385,29.447322970639036,False,-1.3158,4.1384,1,2,1,50.0,31.88073394495412,31.88073394495412,19.020807833537333,0.9791921664626693,历史1/2次成功; 当前距低点0.98%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
11,63.59364469833161,56.27543443065298,603080,新疆火炬,bottom_area,2025-09-18,21.07,2025-08-28,20.4,3.2843137254902044,7.745098039215696,29.655172413793107,True,-2.1366,3.1387,1,2,1,50.0,22.385321100917427,22.385321100917427,16.715686274509796,3.2843137254902044,历史1/2次成功; 当前距低点3.28%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
