rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.43279943783446,82.88736338143326,001202,炬申股份,bottom_area,2022-09-20,13.95,2022-09-19,13.65,2.19780219780219,3.296703296703291,27.161152614727847,False,1.4545,4.7185,3,3,3,100.0,13.862109636678731,15.03225806451612,7.802197802197811,2.19780219780219,历史3/3次成功; 当前距低点2.20%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
2,86.44717541627078,82.67464315576501,002316,亚联发展,bottom_area,2022-09-20,3.09,2022-09-20,3.01,2.657807308970102,3.3222591362126277,27.990430622009573,False,0.0,3.843,3,3,3,100.0,18.35722483987543,24.890829694323134,7.342192691029899,2.657807308970102,历史3/3次成功; 当前距低点2.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,86.2527420436498,80.64518561391539,688183,生益电子,bottom_area,2022-09-20,9.65,2022-09-19,9.51,1.4721345951629923,2.73396424815983,28.28054298642534,False,1.153,0.2899,1,1,1,100.0,26.24544349939247,26.24544349939247,8.527865404837009,1.4721345951629923,历史1/1次成功; 当前距低点1.47%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
4,85.95351366013564,81.35517753839999,688079,美迪凯,bottom_area,2022-09-20,9.66,2022-09-19,9.46,2.1141649048625717,3.0655391120507307,29.13857677902621,False,1.5773,0.3106,2,2,2,100.0,21.265986674659317,29.007036747458958,7.88583509513743,2.1141649048625717,历史2/2次成功; 当前距低点2.11%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
5,85.92050200334711,81.71621552287922,603229,奥翔药业,bottom_area,2022-09-20,25.52,2022-09-19,24.93,2.3666265543521856,4.011231448054553,28.669527896995717,False,2.2026,1.6767,2,2,2,100.0,26.30174229463547,41.48479427549196,7.633373445647814,2.3666265543521856,历史2/2次成功; 当前距低点2.37%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
6,85.43075482469666,83.67215857153388,300437,清水源,bottom_area,2022-09-20,18.08,2022-09-19,17.4,3.9080459770114926,4.252873563218403,29.354445797807553,False,2.0892,1.7811,6,6,6,100.0,22.379050532903687,30.330330330330323,6.091954022988507,3.9080459770114926,历史6/6次成功; 当前距低点3.91%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
7,84.79438996711643,78.85580605792724,605358,立昂微,bottom_area,2022-09-20,48.48,2022-09-20,47.91,1.1897307451471515,1.8576497599666053,27.409090909090917,False,0.7063,1.2217,1,1,1,100.0,13.16339869281045,13.16339869281045,8.810269254852848,1.1897307451471515,历史1/1次成功; 当前距低点1.19%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
8,84.69563070316698,80.3298765432099,002278,神开股份,bottom_area,2022-09-20,5.06,2022-09-20,4.95,2.2222222222222103,2.828282828282822,29.184549356223176,False,1.2,8.6556,1,1,1,100.0,33.74485596707818,33.74485596707818,7.77777777777779,2.2222222222222103,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
9,84.38544278185658,80.50042239662801,600215,派斯林,bottom_area,2022-09-20,6.9,2022-09-16,6.73,2.5260029717682007,4.606240713224363,29.1578947368421,False,0.7299,0.8126,2,2,2,100.0,21.718866517524237,23.993288590604024,7.473997028231799,2.5260029717682007,历史2/2次成功; 当前距低点2.53%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
10,83.85366771821879,80.47332039354795,688010,福光股份,bottom_area,2022-09-20,20.64,2022-09-19,20.07,2.840059790732438,4.384653712007967,28.270192994996425,False,2.3302,0.15,1,1,1,100.0,42.08955223880597,42.08955223880597,7.159940209267562,2.840059790732438,历史1/1次成功; 当前距低点2.84%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
11,82.73307913745481,79.18249448781363,002283,天润工业,bottom_area,2022-09-20,5.33,2022-09-19,5.19,2.6974951830443095,3.8535645472061515,27.816411682892905,False,1.912,0.6213,1,1,1,100.0,33.402061855670105,33.402061855670105,7.3025048169556905,2.6974951830443095,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
