rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.59169256669657,84.05068174840598,603222,济民健康,bottom_area,2023-07-10,9.61,2023-07-10,9.49,1.264488935721804,4.636459430979974,27.112135176651304,False,-3.3199,3.1956,7,7,7,100.0,24.697400655116585,68.46504559270518,6.735511064278196,1.264488935721804,历史7/7次成功; 当前距低点1.26%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
2,86.98252685192493,83.4609400149429,605266,健之佳,bottom_area,2023-07-10,59.97,2023-07-10,58.88,1.85122282608695,4.330842391304343,32.50028659864726,False,-2.1697,1.624,4,4,4,100.0,18.503914292586888,33.154615273148806,6.14877717391305,1.85122282608695,历史4/4次成功; 当前距低点1.85%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
3,84.86600581256299,80.52482699789861,002825,纳尔股份,bottom_area,2023-07-10,8.77,2023-07-07,8.66,1.2702078521939888,2.3094688221708926,32.55451713395638,False,0.3432,1.0434,1,1,1,100.0,23.123123123123136,23.123123123123136,6.729792147806012,1.2702078521939888,历史1/1次成功; 当前距低点1.27%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,84.37445667244623,80.94426061536117,688258,卓易信息,bottom_area,2023-07-10,61.92,2023-07-07,60.8,1.8421052631579022,7.828947368421062,29.654055304871,False,-0.7374,2.0417,3,3,3,100.0,21.528282878285978,27.716894977168955,6.157894736842098,1.8421052631579022,历史3/3次成功; 当前距低点1.84%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
5,83.60093130312659,79.08781377774126,688156,路德科技,confirmed_rebound,2023-07-10,26.3,2023-07-03,26.01,1.1149557862360597,9.765474817377928,27.72992497916088,False,-1.2021,1.0489,2,2,2,100.0,29.515661130964897,44.22535211267606,6.885044213763941,1.1149557862360597,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-1.20%; 状态confirmed_rebound; 底部未确认
6,82.9975906853708,78.45617663335393,002507,涪陵榨菜,bottom_area,2023-07-10,17.87,2023-06-26,17.68,1.0746606334841702,4.8076923076923155,28.967456809963842,False,0.5062,0.5775,1,1,1,100.0,9.604316546762583,9.604316546762583,6.92533936651583,1.0746606334841702,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
7,79.44265582508828,76.73703395905474,688338,赛科希德,bottom_area,2023-07-10,42.77,2023-07-10,41.85,2.198327359617686,2.4850657108721603,27.469670710571926,False,0.0,0.9713,1,1,1,100.0,14.135593220338988,14.135593220338988,5.801672640382314,2.198327359617686,历史1/1次成功; 当前距低点2.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,78.7640194389973,78.43719778157407,000792,盐湖股份,bottom_area,2023-07-10,19.2,2023-05-30,18.5,3.7837837837837798,7.5675675675675595,29.49695121951219,True,1.2124,0.3357,2,2,2,100.0,16.850671013984325,24.904214559386965,4.21621621621622,3.7837837837837798,历史2/2次成功; 当前距低点3.78%; 最新日涨幅1.21%; 状态bottom_area; 底部已确认
9,78.46200000000002,72.65,002535,林州重机,bottom_area,2023-07-10,4.28,2023-07-10,4.28,0.0,4.672897196261686,30.179445350734092,False,-8.3512,20.895,1,1,1,100.0,54.03225806451613,54.03225806451613,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.35%; 状态bottom_area; 底部未确认
10,77.88318757593808,73.0567893011675,688236,春立医疗,bottom_area,2023-07-10,23.88,2023-06-28,23.72,0.674536256323778,7.082630691399662,32.228571428571435,True,-2.4908,1.8657,1,1,1,100.0,28.788881535407025,28.788881535407025,7.325463743676222,0.674536256323778,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-2.49%; 状态bottom_area; 底部已确认
11,77.87438766142246,77.50357777609594,002545,东方铁塔,bottom_area,2023-07-10,7.19,2023-06-26,6.93,3.7518037518037617,4.32900432900434,27.58620689655173,False,0.1393,0.3125,2,2,2,100.0,20.63274371079842,28.468653648509758,4.248196248196239,3.7518037518037617,历史2/2次成功; 当前距低点3.75%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
