rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.25092834586927,91.72344988130486,001212,中旗新材,bottom_area,2024-06-21,21.12,2024-06-21,20.83,1.3922227556409155,2.256361017762854,27.040280210157626,False,0.7153,1.323,4,4,4,100.0,34.82643959229107,82.06521739130437,8.607777244359086,1.3922227556409155,历史4/4次成功; 当前距低点1.39%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
2,94.20770113460934,87.93118232789901,603326,我乐家居,bottom_area,2024-06-21,5.87,2024-06-21,5.79,1.381692573402419,2.763385146804838,28.78228782287823,False,0.1706,0.8467,4,4,4,100.0,14.30882470568014,20.141843971631218,8.618307426597582,1.381692573402419,历史4/4次成功; 当前距低点1.38%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
3,92.87063735550514,87.91596037125704,002761,浙江建投,bottom_area,2024-06-21,8.18,2024-06-21,8.01,2.1223470661672903,3.4956304619225884,30.347826086956527,False,1.7413,1.7131,6,6,6,100.0,23.305976785583134,43.73730534867976,7.87765293383271,2.1223470661672903,历史6/6次成功; 当前距低点2.12%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
4,91.16371451483562,84.735503875969,000718,苏宁环球,bottom_area,2024-06-21,1.74,2024-06-20,1.72,1.1627906976744196,4.069767441860469,29.795918367346946,False,0.578,0.6425,2,2,2,100.0,27.77777777777778,36.111111111111114,8.837209302325581,1.1627906976744196,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
5,88.53695613433943,80.60136882808634,002240,盛新锂能,bottom_area,2024-06-21,13.59,2024-06-21,13.58,0.0736377025036803,3.976435935198815,28.937728937728934,False,-2.6504,1.2498,4,4,4,100.0,21.178832203197413,33.42198581560282,9.92636229749632,0.0736377025036803,历史4/4次成功; 当前距低点0.07%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
6,87.46722137850327,81.82073814700429,000034,神州数码,bottom_area,2024-06-21,23.04,2024-06-21,22.7,1.4977973568281933,2.2907488986784124,27.637870576984387,False,0.1739,3.097,2,2,2,100.0,16.213527529960025,16.910866910866908,8.502202643171808,1.4977973568281933,历史2/2次成功; 当前距低点1.50%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
7,87.1778448275862,81.95,002491,通鼎互联,bottom_area,2024-06-21,3.48,2024-06-06,3.42,1.7543859649122824,8.479532163742691,29.48453608247422,True,-0.8547,0.494,1,1,1,100.0,52.39520958083833,52.39520958083833,8.24561403508772,1.7543859649122824,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
8,87.17278543590133,81.21688084090185,002790,瑞尔特,bottom_area,2024-06-21,9.45,2024-06-21,9.33,1.286173633440506,1.9292604501607686,32.732516222062,False,-0.1057,1.0941,1,1,1,100.0,49.512670565302145,49.512670565302145,8.713826366559495,1.286173633440506,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
9,87.12125930941099,79.92428571428573,002687,乔治白,bottom_area,2024-06-21,4.22,2024-06-06,4.2,0.476190476190466,5.714285714285719,28.2051282051282,False,0.0,0.9344,1,1,1,100.0,64.00000000000001,64.00000000000001,9.523809523809534,0.476190476190466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,86.4998014937552,82.14722466451593,600162,香江控股,bottom_area,2024-06-21,1.34,2024-06-20,1.31,2.2900763358778646,3.8167938931297747,31.770833333333325,False,1.5152,0.4145,2,2,2,100.0,27.68063822751323,28.90624999999999,7.709923664122136,2.2900763358778646,历史2/2次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
11,85.74388125618825,79.55444455507464,300639,凯普生物,bottom_area,2024-06-21,4.73,2024-06-21,4.68,1.0683760683760837,2.991452991453004,31.378299120234608,False,0.2119,0.8247,3,4,3,75.0,19.59861285468876,33.27433628318583,8.931623931623916,1.0683760683760837,历史3/4次成功; 当前距低点1.07%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
