rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.36176319034777,78.288836160471,601226,华电科工,bottom_area,2023-10-11,5.89,2023-09-25,5.87,0.340715502555359,4.088586030664399,27.975460122699385,False,0.0,0.3296,1,1,1,100.0,39.54659949622166,39.54659949622166,19.65928449744464,0.340715502555359,历史1/1次成功; 当前距低点0.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,92.7878942035111,78.19887574193896,300649,杭州园林,bottom_area,2023-10-11,18.01,2023-10-11,17.9,0.6145251396648211,2.0670391061452573,31.15384615384616,False,-0.9896,3.7615,2,2,2,100.0,48.22576914179969,71.60305343511452,19.38547486033518,0.6145251396648211,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
3,88.33840085627088,78.20834995659985,301313,凡拓数创,bottom_area,2023-10-11,28.72,2023-10-09,27.8,3.3093525179856047,10.215827338129497,30.93167701863354,False,2.4982,9.9001,3,4,3,75.0,39.831579019392564,52.43243243243245,16.6906474820144,3.3093525179856047,历史3/4次成功; 当前距低点3.31%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
4,85.87806776463032,72.30631411758344,600004,白云机场,bottom_area,2023-10-11,10.73,2023-10-11,10.67,0.5623242736644846,1.9681349578256873,27.661016949152543,False,-0.9234,0.5667,1,1,1,100.0,32.57211538461537,32.57211538461537,19.437675726335517,0.5623242736644846,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
5,82.68921657011342,74.08752889349572,000058,深赛格,bottom_area,2023-10-11,7.08,2023-09-22,6.81,3.9647577092511086,7.635829662261387,27.16577540106952,True,-0.8403,2.8761,1,1,1,100.0,34.82352941176472,34.82352941176472,16.03524229074889,3.9647577092511086,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-0.84%; 状态bottom_area; 底部已确认
6,81.58098546682406,72.50229852440413,300749,顶固集创,bottom_area,2023-10-11,9.12,2023-09-11,8.81,3.518728717366614,9.421112372304199,28.663967611336027,True,-0.7617,2.1316,1,1,1,100.0,20.833333333333336,20.833333333333336,16.481271282633386,3.518728717366614,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
7,79.46535564231014,69.30055220681484,002534,西子洁能,bottom_area,2023-10-11,12.79,2023-09-22,12.48,2.483974358974349,7.2115384615384635,27.861271676300582,True,-0.6988,0.378,2,3,2,66.66666666666666,29.824446659191896,33.11594202898551,17.51602564102565,2.483974358974349,历史2/3次成功; 当前距低点2.48%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
8,70.41035125187722,61.243796142906284,002333,罗普斯金,bottom_area,2023-10-11,6.12,2023-10-11,5.98,2.341137123745814,3.3444816053511586,27.16199756394641,False,-0.3257,4.163,1,2,1,50.0,46.728971962616825,46.728971962616825,17.65886287625419,2.341137123745814,历史1/2次成功; 当前距低点2.34%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
9,67.1031795439433,57.20454921422664,002069,獐子岛,bottom_area,2023-10-11,4.08,2023-09-14,4.03,1.2406947890818814,6.699751861042174,28.79858657243816,False,-0.7299,0.7862,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,18.75930521091812,1.2406947890818814,历史1/3次成功; 当前距低点1.24%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
10,65.13295417793954,55.15290474744881,600322,津投城开,bottom_area,2023-10-11,2.31,2023-10-11,2.29,0.873362445414848,3.9301310043668063,30.182926829268286,False,-1.2821,3.7854,1,2,1,50.0,35.828877005347586,35.828877005347586,19.12663755458515,0.873362445414848,历史1/2次成功; 当前距低点0.87%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
11,64.71845122029096,57.023912231559294,603226,菲林格尔,bottom_area,2023-10-11,5.41,2023-09-12,5.25,3.0476190476190506,8.952380952380947,29.71887550200803,True,0.0,0.987,1,3,1,33.33333333333333,20.479302832244016,20.479302832244016,16.952380952380953,3.0476190476190506,历史1/3次成功; 当前距低点3.05%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
